seed,model,task,method,n_realignment_langs,realignment_langs,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,udpos,before_dico,3,"af,he,lv",1970,1970,31520,31520,0.12978675961494446,0,0.12978675961494446,0.8902314932587128,0.8729143747708105,0.8926782733126639,0.8675415715683078,0.8621391422326072,0.8892200695479384,0.6749362681091836,0.8926903255829987,0.9005287837972663,0.8493087979492814,0.7653199066683041,0.8836503823548,0.8738590017479122,0.6650815666072254,0.7265311882585379,0.8534788017992152,0.8632003585835948,0.5601503759398496,0.6616425451742742,0.8637536873156342,0.9188747246879797,0.8557382857480291,0.8437147437800606,0.8652291105121294,0.8712566962325459,0.8664110429447853,0.8675143851672942,0.9174220592088027,0.6335318369216675,0.6905295224442254,0.727246343162294,0.8613653588293593,0.6526976160602258,0.7277948888703905,0.8120053979161445,0.9670480909126656,0.8902314932587128,0.8729143747708105,0.8926782733126639,0.8675415715683078,0.8621391422326072,0.8892200695479384,0.6749362681091836,0.8926903255829987,0.9005287837972663,0.8493087979492814,0.7653199066683041,0.8836503823548,0.8738590017479122,0.6650815666072254,0.7265311882585379,0.8534788017992152,0.8632003585835948,0.5601503759398496,0.6616425451742742,0.8637536873156342,0.9188747246879797,0.8557382857480291,0.8437147437800606,0.8652291105121294,0.8712566962325459,0.8664110429447853,0.8675143851672942,0.9174220592088027,0.6335318369216675,0.6905295224442254,0.727246343162294,0.8613653588293593,0.6526976160602258,0.7277948888703905,0.8120053979161445,0.9670480909126656
42,xlm-roberta-base,udpos,before_dico,3,"hu,lt,sv",1970,1970,31520,31520,0.08421273529529572,0,0.08421273529529572,0.8923937929280081,0.8734472405573891,0.897507751013594,0.8694163677861102,0.8583327052084119,0.8855439642324888,0.661537026674128,0.8846412382150675,0.9029232764641325,0.8572736427721322,0.7655655163944493,0.8806168236111989,0.8761895513691978,0.6750544878145432,0.7342647473892182,0.8540530194276964,0.8647243388614971,0.576415528617462,0.6640404213410979,0.8644911504424779,0.9207435093105519,0.8555611325991319,0.8392316370761831,0.8673119333496692,0.8705541406867481,0.8657208588957055,0.8662357036300348,0.9183652082787529,0.6266605588639487,0.6850640623600036,0.739842117483167,0.8632892205445112,0.645922208281054,0.7127278781320237,0.8122253753121115,0.9680704651802917,0.8923937929280081,0.8734472405573891,0.897507751013594,0.8694163677861102,0.8583327052084119,0.8855439642324888,0.661537026674128,0.8846412382150675,0.9029232764641325,0.8572736427721322,0.7655655163944493,0.8806168236111989,0.8761895513691978,0.6750544878145432,0.7342647473892182,0.8540530194276964,0.8647243388614971,0.576415528617462,0.6640404213410979,0.8644911504424779,0.9207435093105519,0.8555611325991319,0.8392316370761831,0.8673119333496692,0.8705541406867481,0.8657208588957055,0.8662357036300348,0.9183652082787529,0.6266605588639487,0.6850640623600036,0.739842117483167,0.8632892205445112,0.645922208281054,0.7127278781320237,0.8122253753121115,0.9680704651802917
66,xlm-roberta-base,udpos,before_dico,3,"cs,sk,zh",1970,1970,31520,31520,0.09535204619169235,0,0.09535204619169235,0.8887687611294836,0.8621711129446278,0.8972692582876223,0.8633029018584937,0.8535463933067008,0.8858420268256334,0.6341789467139215,0.887536841379548,0.899131996408261,0.8496749977112514,0.7404314544189283,0.8831447892308665,0.8732763643425908,0.6730070669044317,0.7301157211402766,0.8444827256196765,0.858718063648588,0.5682829522786558,0.6442579429648027,0.8652286135693216,0.9170059400654075,0.836576220142313,0.8353720087880767,0.8573878951237441,0.862474751910073,0.8532208588957055,0.8549406833842438,0.9167408959916165,0.6362803481447549,0.6925006719827972,0.7273624332482006,0.855127382965079,0.6466750313676286,0.7394489303254808,0.8068671465593765,0.9665369037788526,0.8887687611294836,0.8621711129446278,0.8972692582876223,0.8633029018584937,0.8535463933067008,0.8858420268256334,0.6341789467139215,0.887536841379548,0.899131996408261,0.8496749977112514,0.7404314544189283,0.8831447892308665,0.8732763643425908,0.6730070669044317,0.7301157211402766,0.8444827256196765,0.858718063648588,0.5682829522786558,0.6442579429648027,0.8652286135693216,0.9170059400654075,0.836576220142313,0.8353720087880767,0.8573878951237441,0.862474751910073,0.8532208588957055,0.8549406833842438,0.9167408959916165,0.6362803481447549,0.6925006719827972,0.7273624332482006,0.855127382965079,0.6466750313676286,0.7394489303254808,0.8068671465593765,0.9665369037788526
23,xlm-roberta-base,udpos,before_dico,3,"ro,ru,sl",1970,1970,31520,31520,0.15063141286373138,0,0.15063141286373138,0.8916306283388451,0.8712011826182618,0.8982232291915097,0.8662373655037496,0.8539232682595914,0.8816691505216095,0.6517751663246907,0.8957410503455765,0.9014267185473411,0.8566327931886845,0.7537353145851242,0.881185615875624,0.8772577199456205,0.6672610791889572,0.7067174710697149,0.8439085079911953,0.8664276109367997,0.5621451588154058,0.660357968656333,0.8617256637168141,0.9209103650804245,0.8508665741533555,0.8437147437800606,0.8698235726537613,0.8772284183718275,0.8639570552147239,0.8589898415855651,0.9179984280848834,0.6211635364177737,0.6819281426395484,0.723763640585094,0.8674284381740803,0.6483479715600168,0.7041538333472072,0.8088075654491109,0.9664582596044198,0.8916306283388451,0.8712011826182618,0.8982232291915097,0.8662373655037496,0.8539232682595914,0.8816691505216095,0.6517751663246907,0.8957410503455765,0.9014267185473411,0.8566327931886845,0.7537353145851242,0.881185615875624,0.8772577199456205,0.6672610791889572,0.7067174710697149,0.8439085079911953,0.8664276109367997,0.5621451588154058,0.660357968656333,0.8617256637168141,0.9209103650804245,0.8508665741533555,0.8437147437800606,0.8698235726537613,0.8772284183718275,0.8639570552147239,0.8589898415855651,0.9179984280848834,0.6211635364177737,0.6819281426395484,0.723763640585094,0.8674284381740803,0.6483479715600168,0.7041538333472072,0.8088075654491109,0.9664582596044198
17,xlm-roberta-base,udpos,before_dico,3,"sl,th,zh",1970,1970,31520,31520,0.06667327135801315,0,0.06667327135801315,0.8874968201475452,0.8651219288595526,0.8994156928213689,0.8699054450603195,0.8533202683349664,0.8864381520119226,0.6624385997637257,0.8843999379513607,0.9010276364361968,0.8556257438432665,0.756437021572721,0.8820704038425078,0.8744416391532336,0.6788191004557163,0.7373976855771944,0.8487893578332855,0.8651725683549978,0.5632192726714746,0.6496531643401559,0.8603429203539823,0.9171394246813055,0.8435147184741209,0.8402707677691349,0.8666993383974516,0.8713445156757706,0.8616564417177914,0.8520991688570008,0.9175268535499083,0.6440677966101694,0.6857808440103933,0.7349082888321338,0.8674284381740803,0.6389795064826432,0.6951635727961375,0.8093562657474569,0.9674019896976132,0.8874968201475452,0.8651219288595526,0.8994156928213689,0.8699054450603195,0.8533202683349664,0.8864381520119226,0.6624385997637257,0.8843999379513607,0.9010276364361968,0.8556257438432665,0.756437021572721,0.8820704038425078,0.8744416391532336,0.6788191004557163,0.7373976855771944,0.8487893578332855,0.8651725683549978,0.5632192726714746,0.6496531643401559,0.8603429203539823,0.9171394246813055,0.8435147184741209,0.8402707677691349,0.8666993383974516,0.8713445156757706,0.8616564417177914,0.8520991688570008,0.9175268535499083,0.6440677966101694,0.6857808440103933,0.7349082888321338,0.8674284381740803,0.6389795064826432,0.6951635727961375,0.8093562657474569,0.9674019896976132
31,xlm-roberta-base,udpos,before_dico,7,"af,bg,cs,he,lv,pl,ru",1970,1970,31520,31520,0.1119929626584053,0,0.1119929626584053,0.8897863139150344,0.8722669141914191,0.8948247078464107,0.8683567003586566,0.8626667671666541,0.8850471932439146,0.6711745321146553,0.8936210551715817,0.9029232764641325,0.8479355488418933,0.760571451962831,0.8844719711811919,0.8746358516216741,0.6658741166369461,0.7205193338978267,0.8513733371614508,0.8640968175705962,0.555163418750959,0.661813822043333,0.865320796460177,0.9189414669959287,0.8506598954796422,0.8402410783207648,0.8657191864739034,0.8667779046280847,0.8592791411042945,0.863607302692335,0.914121037463977,0.625286303252405,0.6892751545560434,0.725679127002554,0.8596746924736198,0.6511919698870765,0.7203030050778324,0.8100941527061704,0.9675199559592623,0.8897863139150344,0.8722669141914191,0.8948247078464107,0.8683567003586566,0.8626667671666541,0.8850471932439146,0.6711745321146553,0.8936210551715817,0.9029232764641325,0.8479355488418933,0.760571451962831,0.8844719711811919,0.8746358516216741,0.6658741166369461,0.7205193338978267,0.8513733371614508,0.8640968175705962,0.555163418750959,0.661813822043333,0.865320796460177,0.9189414669959287,0.8506598954796422,0.8402410783207648,0.8657191864739034,0.8667779046280847,0.8592791411042945,0.863607302692335,0.914121037463977,0.625286303252405,0.6892751545560434,0.725679127002554,0.8596746924736198,0.6511919698870765,0.7203030050778324,0.8100941527061704,0.9675199559592623
42,xlm-roberta-base,udpos,before_dico,7,"da,hu,lt,pl,ru,sl,sv",1970,1970,31520,31520,0.09222529083490372,0,0.09222529083490372,0.8936657339099465,0.8776643289328933,0.8998330550918197,0.8704760352135638,0.8595763925529509,0.8844510680576254,0.6540446434122987,0.887743670177011,0.9028235059363464,0.8575482925936098,0.7671619796143927,0.881817607280541,0.8775490386482813,0.6720163793672809,0.7270110076206605,0.8528088812326539,0.8681308830121022,0.5561608101887372,0.6678085124603922,0.8643067846607669,0.9213775612360675,0.8585727361303848,0.8396769788017339,0.8693334966919872,0.8731887239834899,0.872622699386503,0.8671591958513888,0.9189415771548336,0.61978928080623,0.685108861213153,0.7332830276294404,0.8641637031423075,0.6435800920117106,0.7076500457837342,0.8116778408760833,0.9682670756163737,0.8936657339099465,0.8776643289328933,0.8998330550918197,0.8704760352135638,0.8595763925529509,0.8844510680576254,0.6540446434122987,0.887743670177011,0.9028235059363464,0.8575482925936098,0.7671619796143927,0.881817607280541,0.8775490386482813,0.6720163793672809,0.7270110076206605,0.8528088812326539,0.8681308830121022,0.5561608101887372,0.6678085124603922,0.8643067846607669,0.9213775612360675,0.8585727361303848,0.8396769788017339,0.8693334966919872,0.8731887239834899,0.872622699386503,0.8671591958513888,0.9189415771548336,0.61978928080623,0.685108861213153,0.7332830276294404,0.8641637031423075,0.6435800920117106,0.7076500457837342,0.8116778408760833,0.9682670756163737
66,xlm-roberta-base,udpos,before_dico,7,"af,cs,es,ja,ru,sk,zh",1970,1970,31520,31520,0.09435200691223145,0,0.09435200691223145,0.8893411345713559,0.8659813898056472,0.901025518721679,0.8671340071731334,0.8544132056983493,0.888822652757079,0.6494746005098552,0.8970337303297196,0.9006285543250524,0.8484848484848485,0.7387531212902697,0.8833975857928332,0.8769664012429598,0.6864143715738723,0.7228055320349986,0.8477366255144033,0.8657104437471985,0.5906091760012275,0.6561616853643916,0.8621865781710915,0.9193419208436228,0.841802238034781,0.8438335015735408,0.8627787307032591,0.8698515851409502,0.8572085889570552,0.8565035163742275,0.9187319884726225,0.6637654603756299,0.6933518501926351,0.7314255862549338,0.8587419110359704,0.6485152655792555,0.7388662282527262,0.8116999863206227,0.9683457197908065,0.8893411345713559,0.8659813898056472,0.901025518721679,0.8671340071731334,0.8544132056983493,0.888822652757079,0.6494746005098552,0.8970337303297196,0.9006285543250524,0.8484848484848485,0.7387531212902697,0.8833975857928332,0.8769664012429598,0.6864143715738723,0.7228055320349986,0.8477366255144033,0.8657104437471985,0.5906091760012275,0.6561616853643916,0.8621865781710915,0.9193419208436228,0.841802238034781,0.8438335015735408,0.8627787307032591,0.8698515851409502,0.8572085889570552,0.8565035163742275,0.9187319884726225,0.6637654603756299,0.6933518501926351,0.7314255862549338,0.8587419110359704,0.6485152655792555,0.7388662282527262,0.8116999863206227,0.9683457197908065
23,xlm-roberta-base,udpos,before_dico,7,"hi,lv,ro,ru,sl,tr,uk",1970,1970,31520,31520,0.11017216742038727,0,0.11017216742038727,0.8934113457135588,0.8726221580491382,0.8983424755544955,0.868845777632866,0.857239767845029,0.8825633383010432,0.6504383510539079,0.896016822075527,0.9009278659084107,0.8539778449144008,0.7542265340374146,0.8815016115780825,0.875801126432317,0.6713559210091804,0.7259949195596952,0.8507991195329697,0.8658897355445988,0.5761086389442995,0.6563329622334504,0.8625553097345132,0.9220116131615831,0.8487997874162213,0.8437444332284306,0.8705586865964224,0.8766136822692544,0.8627300613496932,0.8587056901328408,0.9188891799842809,0.6339899221255153,0.6846608726816593,0.725853262131414,0.8664956567364309,0.6479297365119197,0.7043203196537084,0.8105957214598314,0.967087412999882,0.8934113457135588,0.8726221580491382,0.8983424755544955,0.868845777632866,0.857239767845029,0.8825633383010432,0.6504383510539079,0.896016822075527,0.9009278659084107,0.8539778449144008,0.7542265340374146,0.8815016115780825,0.875801126432317,0.6713559210091804,0.7259949195596952,0.8507991195329697,0.8658897355445988,0.5761086389442995,0.6563329622334504,0.8625553097345132,0.9220116131615831,0.8487997874162213,0.8437444332284306,0.8705586865964224,0.8766136822692544,0.8627300613496932,0.8587056901328408,0.9188891799842809,0.6339899221255153,0.6846608726816593,0.725853262131414,0.8664956567364309,0.6479297365119197,0.7043203196537084,0.8105957214598314,0.967087412999882
17,xlm-roberta-base,udpos,before_dico,7,"af,bg,da,sl,sv,th,zh",1970,1970,31520,31520,0.07998575270175934,0,0.07998575270175934,0.8918214194861358,0.8727252933626696,0.8997138087288338,0.866644929898924,0.8558076430240447,0.8859413810233482,0.6634645277622334,0.8905530946758821,0.9021251122418438,0.8512313466996246,0.7568054361619386,0.8803008279087404,0.8743445329190134,0.6915659467670563,0.7483770815692916,0.843238587424634,0.8636485880770954,0.5663648918213902,0.6482829493876852,0.8637536873156342,0.9206767670026029,0.8510142017774366,0.8364705183777685,0.8670056358735604,0.8719592517783438,0.868021472392638,0.8605526745755487,0.9185223997904113,0.6431516262024737,0.6861840336887376,0.728291153935454,0.8642803008220137,0.6422417398578001,0.7162240905685507,0.8115090280264518,0.9682670756163737,0.8918214194861358,0.8727252933626696,0.8997138087288338,0.866644929898924,0.8558076430240447,0.8859413810233482,0.6634645277622334,0.8905530946758821,0.9021251122418438,0.8512313466996246,0.7568054361619386,0.8803008279087404,0.8743445329190134,0.6915659467670563,0.7483770815692916,0.843238587424634,0.8636485880770954,0.5663648918213902,0.6482829493876852,0.8637536873156342,0.9206767670026029,0.8510142017774366,0.8364705183777685,0.8670056358735604,0.8719592517783438,0.868021472392638,0.8605526745755487,0.9185223997904113,0.6431516262024737,0.6861840336887376,0.728291153935454,0.8642803008220137,0.6422417398578001,0.7162240905685507,0.8115090280264518,0.9682670756163737
