seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_zh_accuracy,eval_th_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_zh_accuracy,final_eval_th_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.43255382776260376,0,0.43255382776260376,0.7075848303393214,0.7221556886227545,0.7039920159680638,0.7112441783100465,0.8255489021956088,0.7075848303393214,0.7221556886227545,0.7039920159680638,0.7112441783100465,0.8255489021956088
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5468484163284302,0,0.5468484163284302,0.6940119760479042,0.7055888223552894,0.6924151696606786,0.6973386560212909,0.8189620758483034,0.6940119760479042,0.7055888223552894,0.6924151696606786,0.6973386560212909,0.8189620758483034
