seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.506352961063385,0,0.506352961063385,0.7089820359281437,0.7646706586826347,0.7530938123752495,0.7429141716566866,0.7806387225548902,0.7660678642714571,0.6788423153692614,0.7477045908183633,0.7059880239520958,0.7203592814371258,0.7431137724550898,0.7253493013972055,0.7364770459081836,0.8311377245508982,0.7089820359281437,0.7646706586826347,0.7530938123752495,0.7429141716566866,0.7806387225548902,0.7660678642714571,0.6788423153692614,0.7477045908183633,0.7059880239520958,0.7203592814371258,0.7431137724550898,0.7253493013972055,0.7364770459081836,0.8311377245508982
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.6001455783843994,0,0.6001455783843994,0.6972055888223553,0.7580838323353294,0.7447105788423154,0.7333333333333333,0.7726546906187625,0.7650698602794411,0.6780439121756487,0.7351297405189621,0.7063872255489022,0.7067864271457086,0.7335329341317365,0.719560878243513,0.7292082501663341,0.8305389221556886,0.6972055888223553,0.7580838323353294,0.7447105788423154,0.7333333333333333,0.7726546906187625,0.7650698602794411,0.6780439121756487,0.7351297405189621,0.7063872255489022,0.7067864271457086,0.7335329341317365,0.719560878243513,0.7292082501663341,0.8305389221556886
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5052395462989807,0,0.5052395462989807,0.7019960079840319,0.756686626746507,0.7427145708582834,0.7365269461077845,0.7676646706586826,0.7628742514970059,0.680439121756487,0.7393213572854291,0.7047904191616766,0.719560878243513,0.7343313373253493,0.7167664670658682,0.7303060545575516,0.8229540918163673,0.7019960079840319,0.756686626746507,0.7427145708582834,0.7365269461077845,0.7676646706586826,0.7628742514970059,0.680439121756487,0.7393213572854291,0.7047904191616766,0.719560878243513,0.7343313373253493,0.7167664670658682,0.7303060545575516,0.8229540918163673
23,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.3994082510471344,0,0.3994082510471344,0.6916167664670658,0.7504990019960079,0.7361277445109781,0.7321357285429142,0.7652694610778443,0.7568862275449102,0.6626746506986028,0.7321357285429142,0.6922155688622754,0.7019960079840319,0.7221556886227545,0.7043912175648702,0.7206753160345974,0.8219560878243513,0.6916167664670658,0.7504990019960079,0.7361277445109781,0.7321357285429142,0.7652694610778443,0.7568862275449102,0.6626746506986028,0.7321357285429142,0.6922155688622754,0.7019960079840319,0.7221556886227545,0.7043912175648702,0.7206753160345974,0.8219560878243513
17,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5248693823814392,0,0.5248693823814392,0.7103792415169661,0.7672654690618762,0.7504990019960079,0.7393213572854291,0.7756487025948103,0.7660678642714571,0.6846307385229541,0.7463073852295409,0.7075848303393214,0.7095808383233533,0.7355289421157685,0.7145708582834331,0.73394876912841,0.8233532934131736,0.7103792415169661,0.7672654690618762,0.7504990019960079,0.7393213572854291,0.7756487025948103,0.7660678642714571,0.6846307385229541,0.7463073852295409,0.7075848303393214,0.7095808383233533,0.7355289421157685,0.7145708582834331,0.73394876912841,0.8233532934131736
