seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_zh_accuracy,eval_ar_accuracy,eval_th_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_zh_accuracy,final_eval_ar_accuracy,final_eval_th_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5083823204040527,0,0.5083823204040527,0.7247504990019961,0.7069860279441118,0.7065868263473054,0.7127744510978045,0.8265469061876247,0.7247504990019961,0.7069860279441118,0.7065868263473054,0.7127744510978045,0.8265469061876247
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5179448127746582,0,0.5179448127746582,0.7015968063872255,0.6908183632734531,0.6916167664670658,0.6946773120425815,0.8141716566866267,0.7015968063872255,0.6908183632734531,0.6916167664670658,0.6946773120425815,0.8141716566866267
