seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_th_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_th_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.4516527056694031,0,0.4516527056694031,0.7075848303393214,0.7091816367265469,0.7275449101796407,0.7147704590818362,0.830938123752495,0.7075848303393214,0.7091816367265469,0.7275449101796407,0.7147704590818362,0.830938123752495
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,589056,589056,0.5447658896446228,0,0.5447658896446228,0.6924151696606786,0.6830339321357285,0.6982035928143713,0.6912175648702594,0.8161676646706587,0.6924151696606786,0.6830339321357285,0.6982035928143713,0.6912175648702594,0.8161676646706587
