seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_ru_accuracy,eval_zh_accuracy,eval_hi_accuracy,eval_vi_accuracy,eval_th_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_ru_accuracy,final_eval_zh_accuracy,final_eval_hi_accuracy,final_eval_vi_accuracy,final_eval_th_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,562431,589055,0.46926915645599365,0,0.46926915645599365,0.7095808383233533,0.7471057884231537,0.7217564870259481,0.675249500998004,0.7383233532934131,0.7011976047904191,0.7155355954757153,0.8325349301397206,0.7095808383233533,0.7471057884231537,0.7217564870259481,0.675249500998004,0.7383233532934131,0.7011976047904191,0.7155355954757153,0.8325349301397206
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,562431,589055,0.6264235973358154,0,0.6264235973358154,0.7023952095808383,0.7417165668662674,0.7249500998003992,0.6784431137724551,0.7291417165668662,0.7059880239520958,0.7137724550898202,0.8259481037924151,0.7023952095808383,0.7417165668662674,0.7249500998003992,0.6784431137724551,0.7291417165668662,0.7059880239520958,0.7137724550898202,0.8259481037924151
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,36816,36816,562431,589055,0.5829046964645386,0,0.5829046964645386,0.6954091816367265,0.7343313373253493,0.7079840319361277,0.6746506986027944,0.7239520958083833,0.692814371257485,0.7048569527611445,0.8173652694610778,0.6954091816367265,0.7343313373253493,0.7079840319361277,0.6746506986027944,0.7239520958083833,0.692814371257485,0.7048569527611445,0.8173652694610778
