seed,model,task,method,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_bbj_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_pcm_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
42,bert-base-multilingual-cased,udpos,before_dico,0.8584329687102519,0.8715207352149151,0.8916646792272835,0.860123899576133,0.8052907261559332,0.8677595628415301,0.6276044092532216,0.8861638688773223,0.8865609099072134,0.7906721536351166,0.7491505996970813,0.8684193894963028,0.8735676830452515,0.6500924458531432,0.6239062941010444,0.8256292468178773,0.8612157073695536,0.48400460299194475,0.6559904084953327,0.806047197640118,0.9124007208169258,0.8473735494729383,0.8363863076329305,0.8441749356854098,0.84680888420683,0.8628067484662577,0.856229578065066,0.9067330364160335,0.5958810068649886,0.5447831341479791,0.711167866264221,0.8422709256236885,0.6182350480970306,0.6953046953046953,0.3131988091300033,0.1989907854322071,0.32457142857142857,0.18761347589267702,0.3182407047545019,0.3206072175256795,0.31033264645275244,0.2825773195876289,0.3044922110856177,0.31458131264144845,0.31790499390986604,0.6476840309670647,0.3365136668385766,0.5716596168201045,0.27182898475846035,0.25090782122905025,0.289871743256456,0.3918350600061545,0.34958649207443143,0.34301506448466457,0.6168590242850063,0.9676772443081278
66,bert-base-multilingual-cased,udpos,before_dico,0.8542991605189519,0.8744657201462179,0.8865370856188887,0.8605314639713074,0.8078531861174963,0.8701440635866865,0.6005589194224499,0.8899555341077522,0.8880574678240047,0.8124371284865112,0.7567645012075812,0.8730329267521961,0.8772577199456205,0.6550449022715267,0.6648320632232572,0.830318690783807,0.8631880939573248,0.507096279248178,0.6668664896805686,0.8085361356932154,0.9152372689047588,0.8476983494256947,0.8411958554760561,0.8385397525419576,0.8501448511983145,0.873542944785276,0.8543116920017048,0.9115011789363374,0.5963386727688788,0.5760709010339734,0.7159275597863942,0.8428538120774073,0.6223337515683814,0.6936396936396937,0.3883559378101224,0.20634050021939448,0.3576190476190476,0.21061125680855355,0.3501748931208706,0.40896282156167624,0.31969384751251106,0.3190721649484536,0.32689288733244776,0.3762528289686389,0.35515631343889564,0.646240650833224,0.3592057761732852,0.5822343866633491,0.30334538878842676,0.30377094972067037,0.3091390119054466,0.42630013334700995,0.32713071444980474,0.36078898883710847,0.6308222651253206,0.9675592780464787
23,bert-base-multilingual-cased,udpos,before_dico,0.8576698041210887,0.8616086263994408,0.8940496064870022,0.8583306162373655,0.8164449636356785,0.8741182314952807,0.6171091445427729,0.8797697425114611,0.8901526489075127,0.7891175125743027,0.7489459249252937,0.8644378436453264,0.8724995144688289,0.6432910723718964,0.6402483770815693,0.8250550291893961,0.8587053971669356,0.48929804372842345,0.6540207245011561,0.811301622418879,0.9155376092905293,0.844302713555969,0.8349909449870855,0.8361509249050594,0.8396980071986656,0.8585122699386503,0.8376189799687456,0.9075189939743253,0.5890160183066362,0.5531533951031735,0.7151149291850476,0.8371415248309629,0.6248431618569636,0.7043789543789544,0.34780019847833277,0.2025010969723563,0.3538095238095238,0.20450877546903368,0.37103251716543595,0.4073720570857195,0.31045039740947894,0.30030927835051546,0.32840236686390534,0.37487875848690594,0.3598254161591555,0.6571316100249311,0.3528880866425993,0.5785643194824583,0.3021183156807027,0.26333798882681564,0.30511301547132913,0.4272233049543543,0.38496439237307606,0.38073046493985047,0.6269836066395713,0.9681884314419409
17,bert-base-multilingual-cased,udpos,before_dico,0.8676545408293055,0.871709810122956,0.8898759837824947,0.8579230518421911,0.8151260504201681,0.8751117734724292,0.6185064430988977,0.8850436041501499,0.8950414047690313,0.8022862368541381,0.7559867370747881,0.8712633508184289,0.8753155952612157,0.6582805071315373,0.6585944115156647,0.8337639965546942,0.860229514075668,0.49696969696969695,0.6673803202877452,0.8160951327433629,0.9190415804578522,0.8516550033956358,0.8350800106878841,0.8492588509126546,0.8560266877359318,0.8601226993865031,0.8561585452479046,0.9194655488603616,0.6128146453089245,0.5446488518866658,0.7176108660320408,0.8488575425507111,0.6222501045587621,0.6948051948051948,0.384254052265961,0.21950416849495394,0.34895238095238096,0.22523703853136978,0.3869024485036922,0.3915553131533497,0.3868707683249926,0.37597938144329895,0.33293080545827797,0.3646944713870029,0.41514413317092974,0.64007348117045,0.3860881897885508,0.575018661358547,0.3322784810126582,0.28701117318435754,0.3547478000805199,0.4540978561903785,0.38151849299333795,0.4063075755933673,0.6390577956788883,0.967795210569777
