seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_3_dico,36816,36816,589056,589056,0.46449461579322815,0,0.46449461579322815,0.6962075848303393,0.7243512974051897,0.7102794411177644,0.8231536926147704,0.6962075848303393,0.7243512974051897,0.7102794411177644,0.8231536926147704
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_3_dico,36816,36816,589056,589056,0.5325030088424683,0,0.5325030088424683,0.6884231536926148,0.7097804391217565,0.6991017964071856,0.8183632734530938,0.6884231536926148,0.7097804391217565,0.6991017964071856,0.8183632734530938
23,xlm-roberta-base,xnli,before_oneatatime_bottomup_3_dico,36816,36816,589056,589056,0.41516122221946716,0,0.41516122221946716,0.6898203592814371,0.6952095808383234,0.6925149700598803,0.8137724550898203,0.6898203592814371,0.6952095808383234,0.6925149700598803,0.8137724550898203
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_3_dico,36816,36816,589056,589056,0.5272934436798096,0,0.5272934436798096,0.6866267465069861,0.7083832335329341,0.6975049900199601,0.8105788423153693,0.6866267465069861,0.7083832335329341,0.6975049900199601,0.8105788423153693
