seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_topdown_13_dico,36816,36816,589056,589056,0.2969377636909485,0,0.2969377636909485,0.7077844311377246,0.7393213572854291,0.7235528942115769,0.8409181636726547,0.7077844311377246,0.7393213572854291,0.7235528942115769,0.8409181636726547
42,xlm-roberta-base,xnli,before_oneatatime_topdown_13_dico,36816,36816,589056,589056,0.48125794529914856,0,0.48125794529914856,0.7095808383233533,0.7271457085828343,0.7183632734530938,0.8389221556886227,0.7095808383233533,0.7271457085828343,0.7183632734530938,0.8389221556886227
66,xlm-roberta-base,xnli,before_oneatatime_topdown_13_dico,36816,36816,589056,589056,0.5437049865722656,0,0.5437049865722656,0.7101796407185629,0.7279441117764471,0.719061876247505,0.8409181636726547,0.7101796407185629,0.7279441117764471,0.719061876247505,0.8409181636726547
23,xlm-roberta-base,xnli,before_oneatatime_topdown_13_dico,36816,36816,589056,589056,0.22427742183208466,0,0.22427742183208466,0.7149700598802395,0.7317365269461078,0.7233532934131737,0.8417165668662675,0.7149700598802395,0.7317365269461078,0.7233532934131737,0.8417165668662675
17,xlm-roberta-base,xnli,before_oneatatime_topdown_13_dico,36816,36816,589056,589056,0.42447152733802795,0,0.42447152733802795,0.7157684630738523,0.7339321357285429,0.7248502994011976,0.8405189620758483,0.7157684630738523,0.7339321357285429,0.7248502994011976,0.8405189620758483
