eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
52.58 \scriptsize $\pm$ 1.57,67.59 \scriptsize $\pm$ 0.90,63.06 \scriptsize $\pm$ 1.08,68.62 \scriptsize $\pm$ 0.90,59.33 \scriptsize $\pm$ 1.27,66.91 \scriptsize $\pm$ 1.24,60.64 \scriptsize $\pm$ 1.20,61.69 \scriptsize $\pm$ 1.46,66.63 \scriptsize $\pm$ 1.38,48.42 \scriptsize $\pm$ 0.41,73.62 \scriptsize $\pm$ 0.88,77.03 \scriptsize $\pm$ 0.77,63.84 \scriptsize $\pm$ 0.95,abla_most_script_joshi45,xquad,"[42, 66, 17, 23]","[64.17680801590906, 62.56342417365145, 64.82521227919584, 63.80533228284955]",0.14212800917743484,0.6847736840516067,0.3770182815625248
51.83 \scriptsize $\pm$ 2.43,67.34 \scriptsize $\pm$ 1.96,62.94 \scriptsize $\pm$ 2.19,69.17 \scriptsize $\pm$ 1.18,59.70 \scriptsize $\pm$ 2.67,67.11 \scriptsize $\pm$ 1.72,60.04 \scriptsize $\pm$ 1.92,62.43 \scriptsize $\pm$ 2.06,67.48 \scriptsize $\pm$ 2.01,47.82 \scriptsize $\pm$ 1.34,73.54 \scriptsize $\pm$ 1.36,77.09 \scriptsize $\pm$ 1.02,63.87 \scriptsize $\pm$ 1.75,abla_most_script_seen_mbert,xquad,"[42, 66, 17, 23]","[66.2275770540482, 62.30362464122371, 64.13565936912322, 62.832466260887095]",0.31508125419436656,0.7518958403106395,0.6048421239068279
50.39 \scriptsize $\pm$ 0.89,66.56 \scriptsize $\pm$ 0.86,62.27 \scriptsize $\pm$ 1.47,68.97 \scriptsize $\pm$ 0.96,58.89 \scriptsize $\pm$ 1.42,66.54 \scriptsize $\pm$ 0.70,59.56 \scriptsize $\pm$ 1.15,61.85 \scriptsize $\pm$ 1.01,66.64 \scriptsize $\pm$ 0.81,47.85 \scriptsize $\pm$ 1.38,72.96 \scriptsize $\pm$ 1.15,76.74 \scriptsize $\pm$ 0.53,63.27 \scriptsize $\pm$ 0.85,abla_most_script_seen_xlmr,xquad,"[42, 66, 17, 23]","[63.799855297569614, 62.30362464122371, 64.13565936912322, 62.832466260887095]",0.29021085241363886,0.7331287205330155,0.9119762765599746
50.18 \scriptsize $\pm$ 1.07,65.22 \scriptsize $\pm$ 1.42,61.13 \scriptsize $\pm$ 2.13,67.25 \scriptsize $\pm$ 1.32,58.35 \scriptsize $\pm$ 2.23,65.97 \scriptsize $\pm$ 1.46,59.29 \scriptsize $\pm$ 1.82,60.34 \scriptsize $\pm$ 1.93,65.31 \scriptsize $\pm$ 1.88,46.97 \scriptsize $\pm$ 0.78,71.86 \scriptsize $\pm$ 1.70,76.23 \scriptsize $\pm$ 0.93,62.34 \scriptsize $\pm$ 1.49,abla_most_uriel_joshi2,xquad,"[42, 66, 17, 23]","[60.53175348032618, 61.713381588656915, 63.54729966744417, 63.5709900973766]",0.9583431575516714,0.26300863839003735,0.1876166695941674
52.33 \scriptsize $\pm$ 1.71,67.48 \scriptsize $\pm$ 1.41,63.23 \scriptsize $\pm$ 2.18,69.49 \scriptsize $\pm$ 1.95,60.27 \scriptsize $\pm$ 1.83,67.09 \scriptsize $\pm$ 2.29,59.73 \scriptsize $\pm$ 1.71,61.89 \scriptsize $\pm$ 1.94,67.61 \scriptsize $\pm$ 0.76,47.92 \scriptsize $\pm$ 0.58,73.04 \scriptsize $\pm$ 0.74,77.08 \scriptsize $\pm$ 0.79,63.93 \scriptsize $\pm$ 1.35,abla_most_uriel_joshi3,xquad,"[42, 66, 17, 23]","[65.56062978957495, 63.88603831927011, 62.26009386141542, 64.01093164515576]",0.2479715782381979,0.49917888796793836,0.5210909553049636
51.53 \scriptsize $\pm$ 1.24,67.43 \scriptsize $\pm$ 1.19,62.74 \scriptsize $\pm$ 0.93,69.69 \scriptsize $\pm$ 0.69,59.20 \scriptsize $\pm$ 2.13,66.95 \scriptsize $\pm$ 1.13,59.42 \scriptsize $\pm$ 1.66,61.89 \scriptsize $\pm$ 1.23,67.13 \scriptsize $\pm$ 0.97,47.83 \scriptsize $\pm$ 1.08,73.57 \scriptsize $\pm$ 1.24,77.10 \scriptsize $\pm$ 0.69,63.71 \scriptsize $\pm$ 1.03,abla_most_uriel_joshi35,xquad,"[42, 66, 17, 23]","[63.97394089476581, 62.62573845498923, 65.01723644943912, 63.214049249574224]",0.1553179849047992,0.8340957366146514,0.4721645116007929
51.95 \scriptsize $\pm$ 1.41,66.37 \scriptsize $\pm$ 1.30,62.49 \scriptsize $\pm$ 1.17,68.78 \scriptsize $\pm$ 1.36,60.10 \scriptsize $\pm$ 1.47,66.70 \scriptsize $\pm$ 1.51,59.68 \scriptsize $\pm$ 1.41,60.67 \scriptsize $\pm$ 0.78,66.99 \scriptsize $\pm$ 1.16,48.30 \scriptsize $\pm$ 0.59,73.37 \scriptsize $\pm$ 1.33,76.77 \scriptsize $\pm$ 0.82,63.51 \scriptsize $\pm$ 1.05,abla_most_uriel_joshi45,xquad,"[42, 66, 17, 23]","[63.69735923108923, 62.78197753054709, 62.64898402372413, 64.92629998305534]",0.27149553998792025,0.9741894349592866,0.6876386921616097
50.30 \scriptsize $\pm$ 0.78,66.65 \scriptsize $\pm$ 1.45,62.69 \scriptsize $\pm$ 1.43,68.90 \scriptsize $\pm$ 1.11,59.37 \scriptsize $\pm$ 1.39,66.59 \scriptsize $\pm$ 1.31,59.73 \scriptsize $\pm$ 1.63,61.38 \scriptsize $\pm$ 1.05,66.99 \scriptsize $\pm$ 0.97,47.31 \scriptsize $\pm$ 0.43,73.65 \scriptsize $\pm$ 0.70,76.86 \scriptsize $\pm$ 0.67,63.37 \scriptsize $\pm$ 0.88,abla_most_uriel_seen_mbert,xquad,"[42, 66, 17, 23]","[64.4850770345372, 63.05394593016545, 62.398639985062694, 63.53754296574508]",0.3355275880968531,0.6871193035034722,0.8385515864431305
49.31 \scriptsize $\pm$ 1.09,65.46 \scriptsize $\pm$ 0.61,61.48 \scriptsize $\pm$ 1.36,68.26 \scriptsize $\pm$ 0.73,57.07 \scriptsize $\pm$ 0.94,65.58 \scriptsize $\pm$ 1.02,56.46 \scriptsize $\pm$ 0.37,59.88 \scriptsize $\pm$ 0.42,65.20 \scriptsize $\pm$ 0.59,46.82 \scriptsize $\pm$ 1.00,72.62 \scriptsize $\pm$ 0.85,76.56 \scriptsize $\pm$ 0.16,62.06 \scriptsize $\pm$ 0.50,abla_most_uriel_seen_xlmr,xquad,"[42, 66, 17, 23]","[61.753149080540425, 61.55946092632821, 62.2425105785595, 62.67866778701997]",0.6834947302999272,0.03017787504995137,0.05318656624662394
50.12 \scriptsize $\pm$ 0.07,65.41 \scriptsize $\pm$ 1.14,61.64 \scriptsize $\pm$ 1.33,67.94 \scriptsize $\pm$ 0.77,57.57 \scriptsize $\pm$ 0.84,65.94 \scriptsize $\pm$ 1.16,57.61 \scriptsize $\pm$ 1.70,59.97 \scriptsize $\pm$ 1.35,65.36 \scriptsize $\pm$ 1.54,46.36 \scriptsize $\pm$ 1.09,71.91 \scriptsize $\pm$ 0.86,76.45 \scriptsize $\pm$ 0.56,62.19 \scriptsize $\pm$ 0.97,abla_most_uriel_unseen_mbert,xquad,"[42, 66, 17, 23]","[60.75190058766219, 62.72699689149122, 62.44600652002239, 62.83450218125217]",0.7018046464388886,0.09893866550404248,0.01683495311147388
