final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
26.20 \scriptsize $\pm$ 1.99,56.50 \scriptsize $\pm$ 0.63,41.35 \scriptsize $\pm$ 1.12,abla_most_uriel_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[40.70477524964204, 40.282406686345006, 41.59202878660555, 42.81797262859176]",0.0026403122175108554,0.8832189636660659,0.03450659486150415
29.25 \scriptsize $\pm$ 0.97,55.72 \scriptsize $\pm$ 0.45,42.48 \scriptsize $\pm$ 0.45,abla_most_uriel_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[42.916905737459956, 41.93454981732202, 42.312311075982905, 42.77567045657065]",0.06455672894011218,0.1698945665226026,0.15259177801145177
28.53 \scriptsize $\pm$ 1.24,54.99 \scriptsize $\pm$ 0.59,41.76 \scriptsize $\pm$ 0.35,abla_most_uriel_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[41.33954511243185, 41.6807292238419, 41.840004453853226, 42.17815466219949]",0.01091322584338559,0.425202348002751,0.02044905143409802
29.08 \scriptsize $\pm$ 2.12,56.11 \scriptsize $\pm$ 0.44,42.60 \scriptsize $\pm$ 0.93,abla_random_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[43.34558190980892, 42.96013327512003, 41.24501703205671, 42.83640684828759]",0.17784522248037896,0.299089098682552,0.15615717562809345
25.94 \scriptsize $\pm$ 2.14,56.55 \scriptsize $\pm$ 0.63,41.25 \scriptsize $\pm$ 1.13,abla_random_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[41.64788018391631, 42.276308231531345, 41.42026688149936, 39.63670130611507]",0.09784429946097009,0.972345123475937,0.0815616333926183
26.72 \scriptsize $\pm$ 1.35,56.70 \scriptsize $\pm$ 0.63,41.71 \scriptsize $\pm$ 0.37,abla_random_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[41.944962521179356, 42.11291926516779, 41.34103649938773, 41.44960241251247]",0.043591414374967254,0.6388564094646565,0.0339074694832287
28.33 \scriptsize $\pm$ 2.16,56.82 \scriptsize $\pm$ 0.51,42.57 \scriptsize $\pm$ 1.31,abla_random_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[43.099208889432475, 40.678216535674736, 42.85640950873181, 43.660738762381285]",0.13272569272992954,0.134985598182575,0.34358430725375666
27.60 \scriptsize $\pm$ 3.27,56.83 \scriptsize $\pm$ 0.43,42.22 \scriptsize $\pm$ 1.67,abla_random_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[44.69750618209058, 41.55628302817199, 41.04851329820275, 41.560679415118216]",0.26381028107924437,0.5405191406128105,0.3148971458069319
26.55 \scriptsize $\pm$ 1.94,56.66 \scriptsize $\pm$ 1.01,41.60 \scriptsize $\pm$ 1.18,abla_random_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[41.13813946114252, 41.34676116409355, 40.61598047551955, 43.3090648933214]",0.0021804704413538236,0.711274000259444,0.00938054780636236
29.18 \scriptsize $\pm$ 1.99,56.44 \scriptsize $\pm$ 1.47,42.81 \scriptsize $\pm$ 1.45,abla_random_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[42.470823689487105, 42.8616372844953, 41.19286781743073, 44.704765081421954]",0.13141559423040836,0.2212000193147126,0.14183302068227865
