final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
38.60 \scriptsize $\pm$ 1.01,38.80 \scriptsize $\pm$ 0.92,43.20 \scriptsize $\pm$ 1.22,39.87 \scriptsize $\pm$ 1.97,37.77 \scriptsize $\pm$ 1.24,45.26 \scriptsize $\pm$ 0.91,40.94 \scriptsize $\pm$ 1.37,40.70 \scriptsize $\pm$ 1.15,44.13 \scriptsize $\pm$ 1.08,38.27 \scriptsize $\pm$ 0.45,40.75 \scriptsize $\pm$ 0.71,abla_most_script_joshi45,americasnli,"[42, 66, 17, 23]","[40.445489036708544, 40.90944132863788, 40.00217149978986, 41.656217845600914]",0.013450685445780024,0.22703178081593592,0.02616659998162694
39.53 \scriptsize $\pm$ 1.83,39.73 \scriptsize $\pm$ 0.93,40.10 \scriptsize $\pm$ 1.28,40.00 \scriptsize $\pm$ 0.71,37.37 \scriptsize $\pm$ 1.24,43.70 \scriptsize $\pm$ 0.23,40.44 \scriptsize $\pm$ 1.02,38.50 \scriptsize $\pm$ 1.01,41.77 \scriptsize $\pm$ 1.37,36.00 \scriptsize $\pm$ 0.98,39.71 \scriptsize $\pm$ 0.62,abla_most_script_seen_mbert,americasnli,"[42, 66, 17, 23]","[40.14752865817428, 38.78692259756822, 39.96028868310073, 39.96140544614003]",0.011189378445197498,0.03573352355704863,0.0015611491635420598
39.53 \scriptsize $\pm$ 1.83,39.73 \scriptsize $\pm$ 0.93,40.10 \scriptsize $\pm$ 1.28,40.00 \scriptsize $\pm$ 0.71,37.37 \scriptsize $\pm$ 1.24,43.70 \scriptsize $\pm$ 0.23,40.44 \scriptsize $\pm$ 1.02,38.50 \scriptsize $\pm$ 1.01,41.77 \scriptsize $\pm$ 1.37,36.00 \scriptsize $\pm$ 0.98,39.71 \scriptsize $\pm$ 0.62,abla_most_script_seen_xlmr,americasnli,"[42, 66, 17, 23]","[40.14752865817428, 38.78692259756822, 39.96028868310073, 39.96140544614003]",0.011189378445197498,0.03573352355704863,0.0015611491635420598
42.67 \scriptsize $\pm$ 2.25,41.33 \scriptsize $\pm$ 0.79,45.47 \scriptsize $\pm$ 0.38,43.10 \scriptsize $\pm$ 1.44,39.93 \scriptsize $\pm$ 1.06,46.65 \scriptsize $\pm$ 1.12,45.52 \scriptsize $\pm$ 1.78,40.93 \scriptsize $\pm$ 0.34,44.80 \scriptsize $\pm$ 0.82,41.70 \scriptsize $\pm$ 2.35,43.21 \scriptsize $\pm$ 0.25,abla_most_uriel_joshi2,americasnli,"[42, 66, 17, 23]","[43.57901308638755, 43.04547454458502, 43.15409243076388, 43.06184600669536]",0.19235897020670314,0.013392765725717582,0.1635316963491792
41.37 \scriptsize $\pm$ 1.26,41.30 \scriptsize $\pm$ 1.45,40.90 \scriptsize $\pm$ 0.96,40.63 \scriptsize $\pm$ 1.91,39.03 \scriptsize $\pm$ 0.56,43.97 \scriptsize $\pm$ 1.90,40.64 \scriptsize $\pm$ 0.79,38.63 \scriptsize $\pm$ 0.57,43.77 \scriptsize $\pm$ 1.01,37.83 \scriptsize $\pm$ 1.47,40.81 \scriptsize $\pm$ 0.90,abla_most_uriel_joshi3,americasnli,"[42, 66, 17, 23]","[39.717544454588925, 40.53333101459357, 41.148686868686866, 41.83186470153471]",0.04967255610114341,0.45845347778443235,0.0681288917145829
41.97 \scriptsize $\pm$ 2.62,40.73 \scriptsize $\pm$ 1.44,43.00 \scriptsize $\pm$ 2.39,40.93 \scriptsize $\pm$ 1.62,37.40 \scriptsize $\pm$ 1.32,45.49 \scriptsize $\pm$ 1.80,42.38 \scriptsize $\pm$ 1.18,40.20 \scriptsize $\pm$ 2.64,44.47 \scriptsize $\pm$ 1.26,39.30 \scriptsize $\pm$ 1.22,41.59 \scriptsize $\pm$ 1.26,abla_most_uriel_joshi35,americasnli,"[42, 66, 17, 23]","[39.8042209758996, 41.668571221541086, 42.1751723838094, 42.701739054823705]",0.21985061698703232,0.9152582060326442,0.30100369250494846
38.97 \scriptsize $\pm$ 1.63,39.73 \scriptsize $\pm$ 0.94,41.87 \scriptsize $\pm$ 0.76,40.60 \scriptsize $\pm$ 1.22,39.10 \scriptsize $\pm$ 0.43,44.92 \scriptsize $\pm$ 1.21,41.31 \scriptsize $\pm$ 0.38,39.83 \scriptsize $\pm$ 2.12,45.60 \scriptsize $\pm$ 1.36,37.43 \scriptsize $\pm$ 1.04,40.94 \scriptsize $\pm$ 0.32,abla_most_uriel_joshi45,americasnli,"[42, 66, 17, 23]","[40.562920162891466, 41.14763850847065, 40.78872251931076, 41.245595988580206]",0.00562703932106904,0.3452857472907688,0.030791616998393303
40.10 \scriptsize $\pm$ 1.65,39.77 \scriptsize $\pm$ 1.06,41.43 \scriptsize $\pm$ 0.27,40.80 \scriptsize $\pm$ 1.71,39.07 \scriptsize $\pm$ 0.93,45.49 \scriptsize $\pm$ 3.18,42.11 \scriptsize $\pm$ 1.57,39.47 \scriptsize $\pm$ 1.13,43.87 \scriptsize $\pm$ 0.99,40.80 \scriptsize $\pm$ 1.00,41.29 \scriptsize $\pm$ 0.68,abla_most_uriel_seen_mbert,americasnli,"[42, 66, 17, 23]","[40.87861687173021, 42.02863962436416, 41.676346245815395, 40.57914902250627]",0.019806730083298103,0.7925079649446612,0.12026529918242353
41.70 \scriptsize $\pm$ 2.76,41.70 \scriptsize $\pm$ 0.56,43.10 \scriptsize $\pm$ 1.52,42.00 \scriptsize $\pm$ 1.20,39.87 \scriptsize $\pm$ 1.82,45.80 \scriptsize $\pm$ 1.26,49.50 \scriptsize $\pm$ 1.49,42.03 \scriptsize $\pm$ 1.00,45.73 \scriptsize $\pm$ 1.58,40.53 \scriptsize $\pm$ 0.54,43.20 \scriptsize $\pm$ 0.92,abla_most_uriel_seen_xlmr,americasnli,"[42, 66, 17, 23]","[44.52960914742837, 43.05954784574583, 42.73947654449806, 42.45728156746808]",0.39031639976123333,0.007863553961068581,0.2410372685028613
42.53 \scriptsize $\pm$ 1.00,41.70 \scriptsize $\pm$ 0.55,44.23 \scriptsize $\pm$ 0.85,42.10 \scriptsize $\pm$ 0.91,38.33 \scriptsize $\pm$ 0.63,45.16 \scriptsize $\pm$ 1.15,46.52 \scriptsize $\pm$ 1.63,40.47 \scriptsize $\pm$ 1.83,44.70 \scriptsize $\pm$ 0.83,41.07 \scriptsize $\pm$ 2.43,42.68 \scriptsize $\pm$ 0.40,abla_most_uriel_unseen_mbert,americasnli,"[42, 66, 17, 23]","[42.31003579554512, 43.23346897960958, 42.711927307508375, 42.46985754242569]",0.8273063150673978,0.10315269167024337,0.946077209267945
41.73 \scriptsize $\pm$ 0.90,40.67 \scriptsize $\pm$ 0.33,44.30 \scriptsize $\pm$ 0.30,42.80 \scriptsize $\pm$ 2.10,40.97 \scriptsize $\pm$ 0.92,46.10 \scriptsize $\pm$ 1.11,43.11 \scriptsize $\pm$ 1.49,41.67 \scriptsize $\pm$ 1.59,43.83 \scriptsize $\pm$ 1.37,41.17 \scriptsize $\pm$ 1.41,42.64 \scriptsize $\pm$ 0.46,abla_most_uriel_unseen_xlmr,americasnli,"[42, 66, 17, 23]","[42.44486848397896, 42.09827601698477, 42.830513745779164, 43.16739880874744]",0.854989484780994,0.11919504000364624,0.8411715004925626
40.73 \scriptsize $\pm$ 1.49,40.97 \scriptsize $\pm$ 1.20,45.17 \scriptsize $\pm$ 1.34,41.87 \scriptsize $\pm$ 1.53,40.10 \scriptsize $\pm$ 2.00,45.63 \scriptsize $\pm$ 0.96,43.28 \scriptsize $\pm$ 2.23,41.63 \scriptsize $\pm$ 1.75,44.40 \scriptsize $\pm$ 1.76,40.97 \scriptsize $\pm$ 0.62,42.47 \scriptsize $\pm$ 0.83,abla_random_joshi2,americasnli,"[42, 66, 17, 23]","[42.7121499065258, 42.92525194556758, 41.24194600234772, 43.01885222381635]",0.48983565311693206,0.05085561416586141,0.6164247453819122
41.90 \scriptsize $\pm$ 1.58,40.10 \scriptsize $\pm$ 0.35,42.10 \scriptsize $\pm$ 1.87,42.17 \scriptsize $\pm$ 0.37,38.87 \scriptsize $\pm$ 0.89,45.83 \scriptsize $\pm$ 1.38,40.81 \scriptsize $\pm$ 0.70,39.37 \scriptsize $\pm$ 1.80,44.40 \scriptsize $\pm$ 1.13,39.37 \scriptsize $\pm$ 1.73,41.49 \scriptsize $\pm$ 0.56,abla_random_joshi3,americasnli,"[42, 66, 17, 23]","[41.457702708577884, 40.86970247670391, 42.23403272321493, 41.40209150326798]",0.0959227988964146,0.9792446164308827,0.07525202122256551
41.47 \scriptsize $\pm$ 1.94,40.70 \scriptsize $\pm$ 0.81,43.17 \scriptsize $\pm$ 1.90,42.10 \scriptsize $\pm$ 0.93,39.57 \scriptsize $\pm$ 1.62,47.49 \scriptsize $\pm$ 1.51,41.24 \scriptsize $\pm$ 0.91,40.67 \scriptsize $\pm$ 0.70,46.40 \scriptsize $\pm$ 0.71,39.63 \scriptsize $\pm$ 0.84,42.24 \scriptsize $\pm$ 0.68,abla_random_joshi35,americasnli,"[42, 66, 17, 23]","[41.48545048765995, 42.38240105502659, 42.00429807399678, 43.102466559424954]",0.3322356920933483,0.2982083161736036,0.4680233595936135
39.77 \scriptsize $\pm$ 0.23,41.57 \scriptsize $\pm$ 0.85,42.30 \scriptsize $\pm$ 0.91,40.83 \scriptsize $\pm$ 0.74,38.87 \scriptsize $\pm$ 1.42,45.49 \scriptsize $\pm$ 1.02,41.78 \scriptsize $\pm$ 1.29,39.40 \scriptsize $\pm$ 1.51,45.80 \scriptsize $\pm$ 1.79,39.90 \scriptsize $\pm$ 3.20,41.57 \scriptsize $\pm$ 0.09,abla_random_joshi45,americasnli,"[42, 66, 17, 23]","[41.57878382099329, 41.6316478993667, 41.44278045882063, 41.62918307899656]",0.013059671234627016,0.8158214743648642,0.0473260423304457
