final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
42.43 \scriptsize $\pm$ 1.10,41.80 \scriptsize $\pm$ 1.03,45.87 \scriptsize $\pm$ 0.93,43.93 \scriptsize $\pm$ 1.74,42.03 \scriptsize $\pm$ 0.75,47.26 \scriptsize $\pm$ 1.49,49.77 \scriptsize $\pm$ 0.30,40.37 \scriptsize $\pm$ 0.59,46.37 \scriptsize $\pm$ 0.30,43.43 \scriptsize $\pm$ 1.24,44.33 \scriptsize $\pm$ 0.57,least_same_script_20,americasnli,"[42, 66, 17, 23]","[44.6514919641175, 44.69033375360492, 43.4733533324638, 44.48701041983682]",0.0038892649452509837,0.001181396091587542,0.020304827152858567
38.30 \scriptsize $\pm$ 1.40,40.73 \scriptsize $\pm$ 1.45,41.83 \scriptsize $\pm$ 1.31,41.20 \scriptsize $\pm$ 2.28,38.23 \scriptsize $\pm$ 1.47,44.95 \scriptsize $\pm$ 1.20,40.51 \scriptsize $\pm$ 0.27,38.37 \scriptsize $\pm$ 2.40,42.87 \scriptsize $\pm$ 1.48,37.33 \scriptsize $\pm$ 2.47,40.43 \scriptsize $\pm$ 1.23,least_same_script_5,americasnli,"[42, 66, 17, 23]","[40.51092909003956, 39.73369331768184, 42.1242624233729, 39.362020202020204]",0.06073391767535743,0.3278843415570161,0.05865244228575287
38.90 \scriptsize $\pm$ 1.00,41.10 \scriptsize $\pm$ 2.05,40.83 \scriptsize $\pm$ 1.37,42.90 \scriptsize $\pm$ 1.47,37.97 \scriptsize $\pm$ 1.17,46.38 \scriptsize $\pm$ 1.03,41.61 \scriptsize $\pm$ 1.09,38.27 \scriptsize $\pm$ 1.19,43.90 \scriptsize $\pm$ 0.97,38.57 \scriptsize $\pm$ 0.62,41.04 \scriptsize $\pm$ 0.77,least_uriel_en_10,americasnli,"[42, 66, 17, 23]","[40.1379580597945, 41.10973233047838, 40.91370317232584, 42.006460298827584]",0.03867600849894304,0.5662767469737389,0.07331876586412558
39.77 \scriptsize $\pm$ 1.44,41.23 \scriptsize $\pm$ 0.56,42.97 \scriptsize $\pm$ 0.55,43.13 \scriptsize $\pm$ 2.03,39.13 \scriptsize $\pm$ 0.58,46.78 \scriptsize $\pm$ 0.77,42.08 \scriptsize $\pm$ 0.78,41.17 \scriptsize $\pm$ 1.47,45.20 \scriptsize $\pm$ 0.66,38.90 \scriptsize $\pm$ 2.04,42.04 \scriptsize $\pm$ 0.37,least_uriel_en_20,americasnli,"[42, 66, 17, 23]","[41.84656725069924, 42.51384867324609, 41.672806109879275, 42.111065895685684]",0.010977843163861856,0.26726887214531864,0.23351959986468054
41.23 \scriptsize $\pm$ 1.37,41.13 \scriptsize $\pm$ 1.40,41.07 \scriptsize $\pm$ 0.15,41.40 \scriptsize $\pm$ 1.06,40.47 \scriptsize $\pm$ 0.96,45.43 \scriptsize $\pm$ 1.47,43.15 \scriptsize $\pm$ 1.06,40.27 \scriptsize $\pm$ 1.60,43.70 \scriptsize $\pm$ 0.67,40.33 \scriptsize $\pm$ 2.84,41.82 \scriptsize $\pm$ 0.97,least_uriel_en_40,americasnli,"[42, 66, 17, 23]","[41.75088184571685, 43.2077524165616, 41.04150949958697, 41.269946234221706]",0.03440278854269268,0.5620149555784861,0.28290314052196947
38.53 \scriptsize $\pm$ 1.23,41.03 \scriptsize $\pm$ 1.06,42.53 \scriptsize $\pm$ 1.01,42.30 \scriptsize $\pm$ 1.65,39.63 \scriptsize $\pm$ 0.57,45.80 \scriptsize $\pm$ 1.03,42.18 \scriptsize $\pm$ 1.05,36.77 \scriptsize $\pm$ 1.90,42.63 \scriptsize $\pm$ 0.75,37.13 \scriptsize $\pm$ 1.32,40.85 \scriptsize $\pm$ 0.56,least_uriel_en_5,americasnli,"[42, 66, 17, 23]","[40.496039592481495, 41.096719852760025, 41.52656435227454, 40.298783820993286]",0.01653819022767322,0.40490188516115816,0.05339329652770182
37.60 \scriptsize $\pm$ 0.73,40.37 \scriptsize $\pm$ 1.61,39.57 \scriptsize $\pm$ 0.77,40.07 \scriptsize $\pm$ 1.68,37.00 \scriptsize $\pm$ 1.09,43.83 \scriptsize $\pm$ 2.08,41.01 \scriptsize $\pm$ 1.26,37.97 \scriptsize $\pm$ 1.77,42.13 \scriptsize $\pm$ 1.90,36.20 \scriptsize $\pm$ 1.29,39.57 \scriptsize $\pm$ 1.23,most_distinct_script_10,americasnli,"[42, 66, 17, 23]","[38.46377751691955, 39.89502978131385, 38.773111314000836, 41.16570004202716]",0.015394840028594488,0.09303989425704026,0.026756921930565707
39.03 \scriptsize $\pm$ 1.50,40.30 \scriptsize $\pm$ 1.30,39.30 \scriptsize $\pm$ 1.15,39.83 \scriptsize $\pm$ 1.10,37.97 \scriptsize $\pm$ 0.97,43.77 \scriptsize $\pm$ 1.35,40.14 \scriptsize $\pm$ 1.99,38.50 \scriptsize $\pm$ 0.82,42.47 \scriptsize $\pm$ 0.86,36.70 \scriptsize $\pm$ 0.74,39.80 \scriptsize $\pm$ 0.45,most_distinct_script_18,americasnli,"[42, 66, 17, 23]","[39.197948205150496, 40.24389722185992, 40.000906337405624, 39.76017303595496]",0.001856612354200256,0.06604073508163877,0.015264304568966824
39.37 \scriptsize $\pm$ 0.37,39.80 \scriptsize $\pm$ 0.86,39.90 \scriptsize $\pm$ 0.59,41.63 \scriptsize $\pm$ 0.82,37.27 \scriptsize $\pm$ 0.95,43.56 \scriptsize $\pm$ 1.31,40.78 \scriptsize $\pm$ 0.72,38.53 \scriptsize $\pm$ 1.14,43.00 \scriptsize $\pm$ 0.59,36.27 \scriptsize $\pm$ 0.90,40.01 \scriptsize $\pm$ 0.56,most_distinct_script_5,americasnli,"[42, 66, 17, 23]","[40.22958972798284, 39.38507253307827, 39.75909772038896, 40.66854136776662]",0.009646279158161023,0.038573751635332165,0.001810465866884218
42.43 \scriptsize $\pm$ 1.06,42.10 \scriptsize $\pm$ 1.24,43.33 \scriptsize $\pm$ 0.79,42.30 \scriptsize $\pm$ 0.82,40.77 \scriptsize $\pm$ 1.39,46.38 \scriptsize $\pm$ 1.33,48.73 \scriptsize $\pm$ 0.40,40.53 \scriptsize $\pm$ 1.67,45.30 \scriptsize $\pm$ 1.23,41.43 \scriptsize $\pm$ 1.40,43.33 \scriptsize $\pm$ 0.52,most_family_en_10,americasnli,"[42, 66, 17, 23]","[43.44618176021332, 43.43263452313668, 43.83711316899265, 42.60618465863802]",0.1928880679826529,0.04101881046418287,0.313536474006052
40.60 \scriptsize $\pm$ 1.01,41.37 \scriptsize $\pm$ 1.59,42.97 \scriptsize $\pm$ 0.96,40.63 \scriptsize $\pm$ 0.41,40.20 \scriptsize $\pm$ 1.20,45.97 \scriptsize $\pm$ 1.38,48.73 \scriptsize $\pm$ 0.67,39.60 \scriptsize $\pm$ 0.84,45.77 \scriptsize $\pm$ 0.89,40.83 \scriptsize $\pm$ 1.63,42.67 \scriptsize $\pm$ 0.51,most_family_en_20,americasnli,"[42, 66, 17, 23]","[43.049472341782234, 41.91187136791153, 42.80456009159022, 42.90027535034709]",0.9083234431543035,0.07259849309905637,0.8367166790605405
41.53 \scriptsize $\pm$ 1.84,41.77 \scriptsize $\pm$ 0.82,43.87 \scriptsize $\pm$ 1.71,41.77 \scriptsize $\pm$ 1.23,38.53 \scriptsize $\pm$ 1.49,46.24 \scriptsize $\pm$ 0.79,47.69 \scriptsize $\pm$ 0.88,40.23 \scriptsize $\pm$ 0.75,44.00 \scriptsize $\pm$ 1.90,42.30 \scriptsize $\pm$ 1.35,42.79 \scriptsize $\pm$ 0.89,most_family_en_25,americasnli,"[42, 66, 17, 23]","[43.80817732562352, 41.885641204005616, 43.25984464443575, 42.219811892236564]",0.9197421457962773,0.083988687561464,0.8550452286542789
43.73 \scriptsize $\pm$ 1.40,42.03 \scriptsize $\pm$ 2.57,45.37 \scriptsize $\pm$ 2.12,42.13 \scriptsize $\pm$ 2.62,39.80 \scriptsize $\pm$ 0.73,46.04 \scriptsize $\pm$ 1.32,47.33 \scriptsize $\pm$ 0.65,41.87 \scriptsize $\pm$ 0.82,45.00 \scriptsize $\pm$ 2.06,41.87 \scriptsize $\pm$ 1.80,43.52 \scriptsize $\pm$ 1.05,most_family_en_5,americasnli,"[42, 66, 17, 23]","[45.089148587742564, 42.95372143240148, 42.897572569308586, 43.1246728403113]",0.2633437397053099,0.004947943548427054,0.05146484726452916
43.17 \scriptsize $\pm$ 2.26,41.50 \scriptsize $\pm$ 1.68,44.77 \scriptsize $\pm$ 0.50,43.50 \scriptsize $\pm$ 1.44,40.13 \scriptsize $\pm$ 0.71,45.46 \scriptsize $\pm$ 1.25,48.43 \scriptsize $\pm$ 1.76,40.07 \scriptsize $\pm$ 0.35,45.23 \scriptsize $\pm$ 0.91,40.37 \scriptsize $\pm$ 0.97,43.26 \scriptsize $\pm$ 0.67,most_same_script_10,americasnli,"[42, 66, 17, 23]","[43.16376708259061, 43.951325014854426, 42.381041403996925, 43.553139428720485]",0.06628756616889632,0.019313142993915896,0.35854248161257857
40.30 \scriptsize $\pm$ 0.91,42.00 \scriptsize $\pm$ 1.18,42.63 \scriptsize $\pm$ 1.25,40.53 \scriptsize $\pm$ 1.39,39.43 \scriptsize $\pm$ 0.51,45.63 \scriptsize $\pm$ 1.32,43.88 \scriptsize $\pm$ 0.67,39.07 \scriptsize $\pm$ 0.95,44.23 \scriptsize $\pm$ 0.74,41.03 \scriptsize $\pm$ 1.53,41.87 \scriptsize $\pm$ 0.37,most_same_script_20,americasnli,"[42, 66, 17, 23]","[41.56479138588177, 41.85906612755967, 41.68157790241004, 42.393406373635926]",0.07419554648850771,0.4587414400906899,0.1385442267067509
42.33 \scriptsize $\pm$ 0.79,40.37 \scriptsize $\pm$ 1.36,41.87 \scriptsize $\pm$ 2.03,42.67 \scriptsize $\pm$ 1.34,40.27 \scriptsize $\pm$ 1.25,46.48 \scriptsize $\pm$ 0.57,47.46 \scriptsize $\pm$ 2.42,40.23 \scriptsize $\pm$ 1.12,43.20 \scriptsize $\pm$ 1.60,42.47 \scriptsize $\pm$ 1.03,42.73 \scriptsize $\pm$ 0.45,most_same_script_41,americasnli,"[42, 66, 17, 23]","[43.258736576670586, 42.72668956422184, 42.15448458762663, 42.79483239859137]",0.9790706169634229,0.006433189997277106,0.959230749117306
45.60 \scriptsize $\pm$ 0.63,41.67 \scriptsize $\pm$ 2.29,44.50 \scriptsize $\pm$ 1.73,42.77 \scriptsize $\pm$ 1.37,40.00 \scriptsize $\pm$ 1.27,47.09 \scriptsize $\pm$ 0.70,47.83 \scriptsize $\pm$ 1.78,41.27 \scriptsize $\pm$ 1.85,44.17 \scriptsize $\pm$ 1.04,41.67 \scriptsize $\pm$ 1.88,43.65 \scriptsize $\pm$ 0.73,most_same_script_5,americasnli,"[42, 66, 17, 23]","[44.44831992811906, 42.699309885077454, 43.56900598524702, 43.902401924554006]",0.18879642559029544,0.011656804972124958,0.009057975288124982
42.87 \scriptsize $\pm$ 2.98,41.77 \scriptsize $\pm$ 1.04,44.23 \scriptsize $\pm$ 1.90,42.60 \scriptsize $\pm$ 2.58,40.43 \scriptsize $\pm$ 1.49,46.51 \scriptsize $\pm$ 2.09,48.93 \scriptsize $\pm$ 1.31,41.87 \scriptsize $\pm$ 1.24,45.43 \scriptsize $\pm$ 0.91,43.07 \scriptsize $\pm$ 0.98,43.77 \scriptsize $\pm$ 1.46,most_uriel_en_10,americasnli,"[42, 66, 17, 23]","[45.331996869701314, 42.25749836963611, 42.83155051229657, 44.662149471762085]",0.30430626994099386,0.02386614582256384,0.0754123585358675
39.53 \scriptsize $\pm$ 1.62,40.60 \scriptsize $\pm$ 0.90,44.67 \scriptsize $\pm$ 1.25,40.60 \scriptsize $\pm$ 1.63,39.90 \scriptsize $\pm$ 0.91,46.04 \scriptsize $\pm$ 2.37,48.26 \scriptsize $\pm$ 1.56,39.30 \scriptsize $\pm$ 1.45,44.07 \scriptsize $\pm$ 1.04,42.60 \scriptsize $\pm$ 1.69,42.56 \scriptsize $\pm$ 1.02,most_uriel_en_20,americasnli,"[42, 66, 17, 23]","[41.96221091836586, 43.916857817776034, 41.60384418068779, 42.74320073040303]",0.6341336366018948,0.17354678315581487,0.8379127416560304
40.27 \scriptsize $\pm$ 1.25,40.37 \scriptsize $\pm$ 0.92,43.03 \scriptsize $\pm$ 1.58,41.87 \scriptsize $\pm$ 1.24,39.13 \scriptsize $\pm$ 0.44,45.60 \scriptsize $\pm$ 0.36,47.93 \scriptsize $\pm$ 1.48,40.77 \scriptsize $\pm$ 0.55,44.67 \scriptsize $\pm$ 1.96,40.80 \scriptsize $\pm$ 1.44,42.44 \scriptsize $\pm$ 0.75,most_uriel_en_40,americasnli,"[42, 66, 17, 23]","[43.2194110400997, 42.860055649754365, 42.16502934655015, 41.52510934307204]",0.42980145294188393,0.0699260110514657,0.5781441950944203
45.33 \scriptsize $\pm$ 1.77,43.30 \scriptsize $\pm$ 1.42,44.30 \scriptsize $\pm$ 1.13,42.20 \scriptsize $\pm$ 1.20,39.77 \scriptsize $\pm$ 1.66,46.27 \scriptsize $\pm$ 1.05,47.53 \scriptsize $\pm$ 1.12,40.83 \scriptsize $\pm$ 2.11,44.17 \scriptsize $\pm$ 0.80,41.63 \scriptsize $\pm$ 1.21,43.53 \scriptsize $\pm$ 0.24,most_uriel_en_5,americasnli,"[42, 66, 17, 23]","[43.645685549903625, 43.53825862643653, 43.755672651913684, 43.19389678709621]",0.06485707241177872,0.018606843364093684,0.13261325824449158
40.27 \scriptsize $\pm$ 1.73,41.07 \scriptsize $\pm$ 1.96,42.63 \scriptsize $\pm$ 1.10,41.40 \scriptsize $\pm$ 1.48,39.53 \scriptsize $\pm$ 1.83,45.93 \scriptsize $\pm$ 2.67,44.12 \scriptsize $\pm$ 3.89,39.53 \scriptsize $\pm$ 1.24,44.47 \scriptsize $\pm$ 1.27,40.73 \scriptsize $\pm$ 1.24,41.97 \scriptsize $\pm$ 1.42,random_langs_with_seed_10,americasnli,"[42, 66, 17, 23]","[40.65470023042476, 43.98641421387476, 41.629943335796995, 41.603318116603624]",0.2629896408119918,0.6245149017997336,0.5135889195328653
39.87 \scriptsize $\pm$ 1.04,41.17 \scriptsize $\pm$ 1.09,42.47 \scriptsize $\pm$ 0.60,41.37 \scriptsize $\pm$ 0.23,38.93 \scriptsize $\pm$ 1.03,46.24 \scriptsize $\pm$ 1.29,45.25 \scriptsize $\pm$ 3.36,40.03 \scriptsize $\pm$ 0.69,45.30 \scriptsize $\pm$ 0.66,41.97 \scriptsize $\pm$ 1.37,42.26 \scriptsize $\pm$ 0.46,random_langs_with_seed_20,americasnli,"[42, 66, 17, 23]","[42.073198266742025, 42.750573453328116, 42.50100285494834, 41.71276466240598]",0.15009175734196062,0.23684854612491213,0.46181405874465115
40.83 \scriptsize $\pm$ 0.65,40.57 \scriptsize $\pm$ 1.16,42.43 \scriptsize $\pm$ 1.20,41.70 \scriptsize $\pm$ 1.43,39.53 \scriptsize $\pm$ 1.00,46.07 \scriptsize $\pm$ 1.04,47.53 \scriptsize $\pm$ 3.82,39.83 \scriptsize $\pm$ 1.80,44.87 \scriptsize $\pm$ 0.71,43.17 \scriptsize $\pm$ 1.86,42.65 \scriptsize $\pm$ 0.32,random_langs_with_seed_40,americasnli,"[42, 66, 17, 23]","[43.12806167847775, 42.44466414503717, 42.57998145008188, 42.45950552874513]",0.8274417299223555,0.03288367517215423,0.7984089885338186
42.80 \scriptsize $\pm$ 2.28,40.50 \scriptsize $\pm$ 0.61,43.47 \scriptsize $\pm$ 1.39,42.00 \scriptsize $\pm$ 0.92,40.07 \scriptsize $\pm$ 0.55,46.17 \scriptsize $\pm$ 1.93,43.28 \scriptsize $\pm$ 3.08,39.67 \scriptsize $\pm$ 0.95,45.40 \scriptsize $\pm$ 1.74,40.37 \scriptsize $\pm$ 1.48,42.37 \scriptsize $\pm$ 0.48,random_langs_with_seed_5,americasnli,"[42, 66, 17, 23]","[41.68245090793154, 42.78219381766011, 42.429043374925726, 42.59464747909511]",0.31786214811790364,0.22616318873769714,0.5898884676429225
40.53 \scriptsize $\pm$ 1.02,41.37 \scriptsize $\pm$ 0.62,41.83 \scriptsize $\pm$ 1.68,42.30 \scriptsize $\pm$ 0.95,39.27 \scriptsize $\pm$ 0.55,45.80 \scriptsize $\pm$ 1.69,49.03 \scriptsize $\pm$ 1.13,39.93 \scriptsize $\pm$ 1.06,45.13 \scriptsize $\pm$ 1.50,42.07 \scriptsize $\pm$ 1.74,42.73 \scriptsize $\pm$ 0.49,xt_afri,americasnli,"[42, 66, 17, 23]","[42.749706244656025, 43.39638856281611, 42.24662116139878, 42.51270002753503]",-1.0,0.04442324676621965,0.9922372784188029
40.27 \scriptsize $\pm$ 1.72,40.63 \scriptsize $\pm$ 1.37,40.20 \scriptsize $\pm$ 1.02,41.40 \scriptsize $\pm$ 0.90,40.00 \scriptsize $\pm$ 1.32,45.36 \scriptsize $\pm$ 1.48,41.58 \scriptsize $\pm$ 0.42,40.03 \scriptsize $\pm$ 0.91,44.87 \scriptsize $\pm$ 1.51,40.40 \scriptsize $\pm$ 1.82,41.47 \scriptsize $\pm$ 0.81,xt_only,americasnli,"[42, 66, 17, 23]","[42.485812790748234, 41.48548613828384, 40.4943408257612, 41.42900772430184]",0.04442324676621965,-1.0,0.014805124759368385
