final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_et_accuracy,final_eval_eu_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_id_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_kk_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_mr_accuracy,final_eval_nl_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_ta_accuracy,final_eval_te_accuracy,final_eval_th_accuracy,final_eval_tl_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
88.14 \scriptsize $\pm$ 0.39,64.79 \scriptsize $\pm$ 0.61,87.80 \scriptsize $\pm$ 0.19,88.17 \scriptsize $\pm$ 0.31,84.80 \scriptsize $\pm$ 0.23,88.64 \scriptsize $\pm$ 0.21,82.01 \scriptsize $\pm$ 0.35,74.95 \scriptsize $\pm$ 0.70,73.13 \scriptsize $\pm$ 0.30,81.25 \scriptsize $\pm$ 0.38,85.76 \scriptsize $\pm$ 0.40,80.17 \scriptsize $\pm$ 0.56,71.27 \scriptsize $\pm$ 1.22,82.51 \scriptsize $\pm$ 0.50,85.17 \scriptsize $\pm$ 0.14,89.51 \scriptsize $\pm$ 0.26,53.24 \scriptsize $\pm$ 1.75,78.63 \scriptsize $\pm$ 0.32,63.81 \scriptsize $\pm$ 0.65,80.30 \scriptsize $\pm$ 0.47,75.44 \scriptsize $\pm$ 1.94,89.90 \scriptsize $\pm$ 0.11,83.59 \scriptsize $\pm$ 0.50,89.51 \scriptsize $\pm$ 0.14,80.15 \scriptsize $\pm$ 0.37,88.96 \scriptsize $\pm$ 0.40,71.71 \scriptsize $\pm$ 1.39,78.33 \scriptsize $\pm$ 1.12,52.55 \scriptsize $\pm$ 1.56,61.58 \scriptsize $\pm$ 1.18,76.77 \scriptsize $\pm$ 0.18,85.27 \scriptsize $\pm$ 0.56,64.84 \scriptsize $\pm$ 1.00,62.15 \scriptsize $\pm$ 0.22,70.51 \scriptsize $\pm$ 0.96,32.01 \scriptsize $\pm$ 1.20,35.87 \scriptsize $\pm$ 1.27,21.86 \scriptsize $\pm$ 1.94,36.36 \scriptsize $\pm$ 2.34,34.76 \scriptsize $\pm$ 1.64,33.85 \scriptsize $\pm$ 1.39,35.14 \scriptsize $\pm$ 1.81,30.95 \scriptsize $\pm$ 1.74,34.95 \scriptsize $\pm$ 1.69,32.91 \scriptsize $\pm$ 1.90,35.81 \scriptsize $\pm$ 1.79,53.64 \scriptsize $\pm$ 0.47,28.67 \scriptsize $\pm$ 0.63,29.38 \scriptsize $\pm$ 1.11,31.34 \scriptsize $\pm$ 1.96,41.82 \scriptsize $\pm$ 0.34,34.22 \scriptsize $\pm$ 2.36,36.38 \scriptsize $\pm$ 1.01,95.99 \scriptsize $\pm$ 0.03,63.54 \scriptsize $\pm$ 0.35,abla_most_script_joshi45,xtreme_r.udpos,"[42, 66, 17, 23]","[63.62268674320338, 63.03123348680414, 63.72929346081237, 63.7805461464438]",3.279547957038724e-05,0.007158021524255522,0.0012421957846833929
87.83 \scriptsize $\pm$ 0.52,64.27 \scriptsize $\pm$ 0.89,88.46 \scriptsize $\pm$ 0.42,88.11 \scriptsize $\pm$ 0.39,84.25 \scriptsize $\pm$ 1.38,88.41 \scriptsize $\pm$ 0.46,82.43 \scriptsize $\pm$ 0.74,71.74 \scriptsize $\pm$ 0.67,72.99 \scriptsize $\pm$ 0.58,81.07 \scriptsize $\pm$ 0.40,85.40 \scriptsize $\pm$ 0.29,79.77 \scriptsize $\pm$ 0.28,69.14 \scriptsize $\pm$ 2.53,82.35 \scriptsize $\pm$ 0.52,84.74 \scriptsize $\pm$ 0.30,89.31 \scriptsize $\pm$ 0.28,53.06 \scriptsize $\pm$ 2.69,79.57 \scriptsize $\pm$ 0.27,63.62 \scriptsize $\pm$ 0.32,81.06 \scriptsize $\pm$ 0.31,78.31 \scriptsize $\pm$ 0.61,89.90 \scriptsize $\pm$ 0.06,83.94 \scriptsize $\pm$ 0.42,89.34 \scriptsize $\pm$ 0.32,79.91 \scriptsize $\pm$ 0.95,88.82 \scriptsize $\pm$ 0.31,71.95 \scriptsize $\pm$ 1.00,79.30 \scriptsize $\pm$ 0.89,59.77 \scriptsize $\pm$ 1.01,61.80 \scriptsize $\pm$ 1.51,74.63 \scriptsize $\pm$ 0.47,85.40 \scriptsize $\pm$ 0.40,63.37 \scriptsize $\pm$ 1.95,62.61 \scriptsize $\pm$ 0.43,69.85 \scriptsize $\pm$ 0.82,26.76 \scriptsize $\pm$ 1.50,31.03 \scriptsize $\pm$ 1.77,22.37 \scriptsize $\pm$ 2.52,32.82 \scriptsize $\pm$ 1.24,28.51 \scriptsize $\pm$ 1.00,26.92 \scriptsize $\pm$ 2.41,28.23 \scriptsize $\pm$ 1.46,27.39 \scriptsize $\pm$ 2.09,30.56 \scriptsize $\pm$ 1.53,26.39 \scriptsize $\pm$ 2.58,28.88 \scriptsize $\pm$ 2.46,53.71 \scriptsize $\pm$ 1.50,23.81 \scriptsize $\pm$ 3.37,23.66 \scriptsize $\pm$ 2.52,25.63 \scriptsize $\pm$ 2.73,33.54 \scriptsize $\pm$ 2.40,33.76 \scriptsize $\pm$ 1.85,28.79 \scriptsize $\pm$ 0.77,96.00 \scriptsize $\pm$ 0.04,61.95 \scriptsize $\pm$ 0.37,abla_most_script_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[62.23846430959957, 62.202806460432356, 61.440362723517666, 61.914583567273]",0.0004867280080607471,0.0006660352509835219,0.00029570651298914565
87.83 \scriptsize $\pm$ 0.52,64.27 \scriptsize $\pm$ 0.89,88.46 \scriptsize $\pm$ 0.42,88.11 \scriptsize $\pm$ 0.39,84.25 \scriptsize $\pm$ 1.38,88.41 \scriptsize $\pm$ 0.46,82.43 \scriptsize $\pm$ 0.74,71.74 \scriptsize $\pm$ 0.67,72.99 \scriptsize $\pm$ 0.58,81.07 \scriptsize $\pm$ 0.40,85.40 \scriptsize $\pm$ 0.29,79.77 \scriptsize $\pm$ 0.28,69.14 \scriptsize $\pm$ 2.53,82.35 \scriptsize $\pm$ 0.52,84.74 \scriptsize $\pm$ 0.30,89.31 \scriptsize $\pm$ 0.28,53.06 \scriptsize $\pm$ 2.69,79.57 \scriptsize $\pm$ 0.27,63.62 \scriptsize $\pm$ 0.32,81.06 \scriptsize $\pm$ 0.31,78.31 \scriptsize $\pm$ 0.61,89.90 \scriptsize $\pm$ 0.06,83.94 \scriptsize $\pm$ 0.42,89.34 \scriptsize $\pm$ 0.32,79.91 \scriptsize $\pm$ 0.95,88.82 \scriptsize $\pm$ 0.31,71.95 \scriptsize $\pm$ 1.00,79.30 \scriptsize $\pm$ 0.89,59.77 \scriptsize $\pm$ 1.01,61.80 \scriptsize $\pm$ 1.51,74.63 \scriptsize $\pm$ 0.47,85.40 \scriptsize $\pm$ 0.40,63.37 \scriptsize $\pm$ 1.95,62.61 \scriptsize $\pm$ 0.43,69.85 \scriptsize $\pm$ 0.82,26.76 \scriptsize $\pm$ 1.50,31.03 \scriptsize $\pm$ 1.77,22.37 \scriptsize $\pm$ 2.52,32.82 \scriptsize $\pm$ 1.24,28.51 \scriptsize $\pm$ 1.00,26.92 \scriptsize $\pm$ 2.41,28.23 \scriptsize $\pm$ 1.46,27.39 \scriptsize $\pm$ 2.09,30.56 \scriptsize $\pm$ 1.53,26.39 \scriptsize $\pm$ 2.58,28.88 \scriptsize $\pm$ 2.46,53.71 \scriptsize $\pm$ 1.50,23.81 \scriptsize $\pm$ 3.37,23.66 \scriptsize $\pm$ 2.52,25.63 \scriptsize $\pm$ 2.73,33.54 \scriptsize $\pm$ 2.40,33.76 \scriptsize $\pm$ 1.85,28.79 \scriptsize $\pm$ 0.77,96.00 \scriptsize $\pm$ 0.04,61.95 \scriptsize $\pm$ 0.37,abla_most_script_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[62.23846430959957, 62.202806460432356, 61.440362723517666, 61.914583567273]",0.0004867280080607471,0.0006660352509835219,0.00029570651298914565
86.19 \scriptsize $\pm$ 0.32,64.84 \scriptsize $\pm$ 0.96,87.99 \scriptsize $\pm$ 0.54,88.22 \scriptsize $\pm$ 0.32,84.91 \scriptsize $\pm$ 0.99,88.92 \scriptsize $\pm$ 0.17,79.35 \scriptsize $\pm$ 0.53,67.88 \scriptsize $\pm$ 0.83,73.14 \scriptsize $\pm$ 0.53,78.77 \scriptsize $\pm$ 0.57,85.34 \scriptsize $\pm$ 0.60,79.20 \scriptsize $\pm$ 1.17,68.09 \scriptsize $\pm$ 2.61,82.30 \scriptsize $\pm$ 0.22,83.87 \scriptsize $\pm$ 0.39,89.27 \scriptsize $\pm$ 0.09,51.54 \scriptsize $\pm$ 2.23,77.49 \scriptsize $\pm$ 0.94,62.51 \scriptsize $\pm$ 0.56,76.73 \scriptsize $\pm$ 0.71,75.81 \scriptsize $\pm$ 0.61,89.62 \scriptsize $\pm$ 0.17,83.73 \scriptsize $\pm$ 0.41,89.75 \scriptsize $\pm$ 0.13,78.99 \scriptsize $\pm$ 0.42,88.91 \scriptsize $\pm$ 0.27,69.85 \scriptsize $\pm$ 1.41,79.26 \scriptsize $\pm$ 1.31,50.10 \scriptsize $\pm$ 1.02,57.71 \scriptsize $\pm$ 0.80,74.63 \scriptsize $\pm$ 0.27,85.12 \scriptsize $\pm$ 0.40,63.59 \scriptsize $\pm$ 2.82,61.74 \scriptsize $\pm$ 0.36,69.19 \scriptsize $\pm$ 0.63,37.01 \scriptsize $\pm$ 2.21,39.77 \scriptsize $\pm$ 1.52,32.06 \scriptsize $\pm$ 1.30,37.02 \scriptsize $\pm$ 0.40,43.32 \scriptsize $\pm$ 1.69,48.46 \scriptsize $\pm$ 1.56,50.82 \scriptsize $\pm$ 1.60,34.79 \scriptsize $\pm$ 0.76,36.75 \scriptsize $\pm$ 1.10,41.95 \scriptsize $\pm$ 0.46,48.59 \scriptsize $\pm$ 0.94,50.36 \scriptsize $\pm$ 1.54,36.53 \scriptsize $\pm$ 0.57,28.52 \scriptsize $\pm$ 0.38,31.91 \scriptsize $\pm$ 0.37,46.15 \scriptsize $\pm$ 1.51,38.00 \scriptsize $\pm$ 0.59,42.18 \scriptsize $\pm$ 1.37,95.96 \scriptsize $\pm$ 0.03,64.72 \scriptsize $\pm$ 0.26,abla_most_uriel_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[64.90379100871635, 64.46400713104066, 64.96928257994115, 64.5312338119267]",0.0008061755957671524,0.31797583403168506,0.0007823527035927275
88.48 \scriptsize $\pm$ 0.74,64.87 \scriptsize $\pm$ 1.64,88.58 \scriptsize $\pm$ 0.55,88.09 \scriptsize $\pm$ 0.23,85.85 \scriptsize $\pm$ 0.71,88.60 \scriptsize $\pm$ 0.49,82.45 \scriptsize $\pm$ 0.32,71.27 \scriptsize $\pm$ 0.53,73.88 \scriptsize $\pm$ 0.99,81.05 \scriptsize $\pm$ 0.27,85.45 \scriptsize $\pm$ 0.49,79.37 \scriptsize $\pm$ 1.01,69.44 \scriptsize $\pm$ 2.52,82.59 \scriptsize $\pm$ 0.17,84.97 \scriptsize $\pm$ 0.29,89.52 \scriptsize $\pm$ 0.54,50.41 \scriptsize $\pm$ 0.74,79.87 \scriptsize $\pm$ 0.29,63.38 \scriptsize $\pm$ 0.38,80.61 \scriptsize $\pm$ 0.57,76.69 \scriptsize $\pm$ 1.00,90.06 \scriptsize $\pm$ 0.16,84.83 \scriptsize $\pm$ 0.58,89.62 \scriptsize $\pm$ 0.42,80.83 \scriptsize $\pm$ 0.80,89.09 \scriptsize $\pm$ 0.35,70.42 \scriptsize $\pm$ 1.19,80.55 \scriptsize $\pm$ 0.49,59.83 \scriptsize $\pm$ 0.64,70.17 \scriptsize $\pm$ 1.19,74.77 \scriptsize $\pm$ 0.71,85.67 \scriptsize $\pm$ 0.42,63.07 \scriptsize $\pm$ 1.69,62.09 \scriptsize $\pm$ 0.14,69.68 \scriptsize $\pm$ 0.97,31.07 \scriptsize $\pm$ 3.29,34.30 \scriptsize $\pm$ 1.66,24.23 \scriptsize $\pm$ 2.78,35.25 \scriptsize $\pm$ 2.51,31.43 \scriptsize $\pm$ 2.45,29.24 \scriptsize $\pm$ 2.81,31.46 \scriptsize $\pm$ 1.65,29.26 \scriptsize $\pm$ 1.15,34.09 \scriptsize $\pm$ 1.43,34.15 \scriptsize $\pm$ 2.04,32.18 \scriptsize $\pm$ 2.42,54.55 \scriptsize $\pm$ 0.93,28.18 \scriptsize $\pm$ 1.27,27.62 \scriptsize $\pm$ 3.12,32.01 \scriptsize $\pm$ 1.62,37.89 \scriptsize $\pm$ 2.59,35.79 \scriptsize $\pm$ 2.31,33.21 \scriptsize $\pm$ 2.37,96.00 \scriptsize $\pm$ 0.04,63.30 \scriptsize $\pm$ 0.64,abla_most_uriel_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[62.81567141048682, 62.81492324737084, 64.15753760382215, 63.39699992361089]",0.0005499745561429178,0.024314629086935578,0.005232461401628118
88.53 \scriptsize $\pm$ 1.10,65.14 \scriptsize $\pm$ 1.04,88.42 \scriptsize $\pm$ 0.24,88.25 \scriptsize $\pm$ 0.27,85.93 \scriptsize $\pm$ 0.74,88.78 \scriptsize $\pm$ 0.31,81.43 \scriptsize $\pm$ 0.94,73.70 \scriptsize $\pm$ 0.63,74.04 \scriptsize $\pm$ 1.04,80.50 \scriptsize $\pm$ 0.57,85.51 \scriptsize $\pm$ 0.35,80.73 \scriptsize $\pm$ 0.78,70.38 \scriptsize $\pm$ 1.15,82.33 \scriptsize $\pm$ 0.61,85.17 \scriptsize $\pm$ 0.25,89.54 \scriptsize $\pm$ 0.25,52.48 \scriptsize $\pm$ 1.02,79.47 \scriptsize $\pm$ 0.60,63.55 \scriptsize $\pm$ 0.43,80.49 \scriptsize $\pm$ 0.60,75.59 \scriptsize $\pm$ 2.11,89.92 \scriptsize $\pm$ 0.20,84.36 \scriptsize $\pm$ 0.50,89.65 \scriptsize $\pm$ 0.29,80.29 \scriptsize $\pm$ 0.64,88.99 \scriptsize $\pm$ 0.27,71.74 \scriptsize $\pm$ 0.91,79.23 \scriptsize $\pm$ 0.77,53.83 \scriptsize $\pm$ 1.09,62.14 \scriptsize $\pm$ 0.93,74.46 \scriptsize $\pm$ 0.49,85.42 \scriptsize $\pm$ 0.21,64.19 \scriptsize $\pm$ 1.08,61.90 \scriptsize $\pm$ 0.49,69.13 \scriptsize $\pm$ 0.65,32.48 \scriptsize $\pm$ 2.61,35.97 \scriptsize $\pm$ 2.57,22.57 \scriptsize $\pm$ 1.87,36.14 \scriptsize $\pm$ 2.95,33.49 \scriptsize $\pm$ 3.17,30.58 \scriptsize $\pm$ 3.58,33.57 \scriptsize $\pm$ 3.39,31.56 \scriptsize $\pm$ 2.06,34.83 \scriptsize $\pm$ 2.26,32.35 \scriptsize $\pm$ 4.07,33.93 \scriptsize $\pm$ 3.43,52.68 \scriptsize $\pm$ 1.86,27.84 \scriptsize $\pm$ 2.86,29.31 \scriptsize $\pm$ 1.36,32.23 \scriptsize $\pm$ 2.18,39.90 \scriptsize $\pm$ 3.33,35.67 \scriptsize $\pm$ 3.11,34.64 \scriptsize $\pm$ 4.03,95.99 \scriptsize $\pm$ 0.05,63.35 \scriptsize $\pm$ 1.02,abla_most_uriel_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[62.35750024144146, 63.368154552925034, 62.92614830672317, 64.75323794195334]",0.004764752594272754,0.019349586865337495,0.026642951158301047
87.91 \scriptsize $\pm$ 0.32,64.93 \scriptsize $\pm$ 0.76,88.13 \scriptsize $\pm$ 0.31,87.97 \scriptsize $\pm$ 0.36,85.02 \scriptsize $\pm$ 0.39,88.69 \scriptsize $\pm$ 0.19,82.22 \scriptsize $\pm$ 0.54,74.55 \scriptsize $\pm$ 1.69,73.35 \scriptsize $\pm$ 0.25,81.01 \scriptsize $\pm$ 0.42,85.74 \scriptsize $\pm$ 0.32,80.76 \scriptsize $\pm$ 0.83,71.49 \scriptsize $\pm$ 1.07,82.69 \scriptsize $\pm$ 0.33,85.00 \scriptsize $\pm$ 0.24,89.38 \scriptsize $\pm$ 0.19,53.31 \scriptsize $\pm$ 0.98,78.39 \scriptsize $\pm$ 0.67,63.66 \scriptsize $\pm$ 0.44,80.28 \scriptsize $\pm$ 0.34,77.13 \scriptsize $\pm$ 2.51,89.84 \scriptsize $\pm$ 0.11,83.94 \scriptsize $\pm$ 0.37,89.53 \scriptsize $\pm$ 0.13,80.26 \scriptsize $\pm$ 0.43,88.92 \scriptsize $\pm$ 0.32,72.95 \scriptsize $\pm$ 1.63,79.61 \scriptsize $\pm$ 0.63,52.74 \scriptsize $\pm$ 1.82,61.74 \scriptsize $\pm$ 0.83,76.97 \scriptsize $\pm$ 0.52,85.49 \scriptsize $\pm$ 0.34,64.85 \scriptsize $\pm$ 1.14,61.51 \scriptsize $\pm$ 0.62,70.01 \scriptsize $\pm$ 1.00,34.00 \scriptsize $\pm$ 1.54,36.51 \scriptsize $\pm$ 1.13,23.21 \scriptsize $\pm$ 2.50,36.51 \scriptsize $\pm$ 0.88,35.42 \scriptsize $\pm$ 1.47,32.97 \scriptsize $\pm$ 1.76,34.86 \scriptsize $\pm$ 1.35,30.88 \scriptsize $\pm$ 1.35,35.73 \scriptsize $\pm$ 1.30,34.08 \scriptsize $\pm$ 3.23,35.75 \scriptsize $\pm$ 2.29,53.87 \scriptsize $\pm$ 0.56,29.20 \scriptsize $\pm$ 1.86,29.96 \scriptsize $\pm$ 1.66,32.72 \scriptsize $\pm$ 1.08,43.49 \scriptsize $\pm$ 1.38,34.72 \scriptsize $\pm$ 1.39,37.50 \scriptsize $\pm$ 1.52,96.01 \scriptsize $\pm$ 0.05,63.84 \scriptsize $\pm$ 0.52,abla_most_uriel_joshi45,xtreme_r.udpos,"[42, 66, 17, 23]","[63.78805900591782, 63.182600049161366, 63.95914013405942, 64.43061519298712]",0.00023347338274516373,0.013010736035595043,0.007088258598894476
88.85 \scriptsize $\pm$ 1.06,65.35 \scriptsize $\pm$ 1.05,87.78 \scriptsize $\pm$ 0.11,87.88 \scriptsize $\pm$ 0.45,85.03 \scriptsize $\pm$ 0.82,88.37 \scriptsize $\pm$ 0.45,81.08 \scriptsize $\pm$ 0.61,70.53 \scriptsize $\pm$ 0.23,74.09 \scriptsize $\pm$ 0.53,80.27 \scriptsize $\pm$ 0.34,85.15 \scriptsize $\pm$ 0.43,81.08 \scriptsize $\pm$ 0.26,70.29 \scriptsize $\pm$ 3.21,82.24 \scriptsize $\pm$ 0.44,85.00 \scriptsize $\pm$ 0.21,88.94 \scriptsize $\pm$ 0.19,53.41 \scriptsize $\pm$ 1.21,79.15 \scriptsize $\pm$ 0.51,63.29 \scriptsize $\pm$ 0.43,80.20 \scriptsize $\pm$ 0.76,76.32 \scriptsize $\pm$ 1.93,90.04 \scriptsize $\pm$ 0.04,84.05 \scriptsize $\pm$ 0.33,89.58 \scriptsize $\pm$ 0.40,79.70 \scriptsize $\pm$ 0.68,88.77 \scriptsize $\pm$ 0.25,72.51 \scriptsize $\pm$ 1.58,79.09 \scriptsize $\pm$ 1.47,53.00 \scriptsize $\pm$ 1.53,60.88 \scriptsize $\pm$ 0.76,74.52 \scriptsize $\pm$ 0.45,85.37 \scriptsize $\pm$ 0.45,65.07 \scriptsize $\pm$ 3.02,61.95 \scriptsize $\pm$ 0.17,69.32 \scriptsize $\pm$ 0.78,34.97 \scriptsize $\pm$ 3.26,39.09 \scriptsize $\pm$ 2.32,24.76 \scriptsize $\pm$ 2.06,37.14 \scriptsize $\pm$ 1.36,40.88 \scriptsize $\pm$ 4.49,39.29 \scriptsize $\pm$ 2.46,40.35 \scriptsize $\pm$ 2.60,33.38 \scriptsize $\pm$ 2.44,35.73 \scriptsize $\pm$ 1.29,42.54 \scriptsize $\pm$ 1.28,40.64 \scriptsize $\pm$ 2.41,54.89 \scriptsize $\pm$ 1.93,33.37 \scriptsize $\pm$ 2.11,28.46 \scriptsize $\pm$ 2.99,32.46 \scriptsize $\pm$ 3.83,41.86 \scriptsize $\pm$ 1.53,39.82 \scriptsize $\pm$ 2.25,39.05 \scriptsize $\pm$ 1.82,96.01 \scriptsize $\pm$ 0.02,64.50 \scriptsize $\pm$ 0.88,abla_most_uriel_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[63.951508483591674, 64.35957727419732, 65.7853392612518, 63.89048432714572]",0.010944843300657191,0.41479997416011666,0.05867889979217538
88.52 \scriptsize $\pm$ 1.13,64.64 \scriptsize $\pm$ 0.47,88.33 \scriptsize $\pm$ 0.25,88.00 \scriptsize $\pm$ 0.26,85.22 \scriptsize $\pm$ 0.29,88.62 \scriptsize $\pm$ 0.30,80.21 \scriptsize $\pm$ 0.74,72.11 \scriptsize $\pm$ 1.17,73.74 \scriptsize $\pm$ 0.30,80.55 \scriptsize $\pm$ 0.30,85.43 \scriptsize $\pm$ 0.25,80.49 \scriptsize $\pm$ 0.33,71.58 \scriptsize $\pm$ 1.19,82.53 \scriptsize $\pm$ 0.54,85.03 \scriptsize $\pm$ 0.22,89.29 \scriptsize $\pm$ 0.20,54.31 \scriptsize $\pm$ 1.70,79.61 \scriptsize $\pm$ 0.33,63.35 \scriptsize $\pm$ 0.42,80.75 \scriptsize $\pm$ 0.29,79.12 \scriptsize $\pm$ 1.40,90.05 \scriptsize $\pm$ 0.19,84.33 \scriptsize $\pm$ 0.05,89.56 \scriptsize $\pm$ 0.23,79.83 \scriptsize $\pm$ 0.50,88.85 \scriptsize $\pm$ 0.19,72.79 \scriptsize $\pm$ 0.72,80.10 \scriptsize $\pm$ 1.14,52.96 \scriptsize $\pm$ 1.02,62.03 \scriptsize $\pm$ 0.83,75.28 \scriptsize $\pm$ 0.44,85.42 \scriptsize $\pm$ 0.22,65.01 \scriptsize $\pm$ 1.75,62.14 \scriptsize $\pm$ 0.22,69.79 \scriptsize $\pm$ 0.70,34.96 \scriptsize $\pm$ 2.05,38.95 \scriptsize $\pm$ 1.63,24.03 \scriptsize $\pm$ 1.96,36.18 \scriptsize $\pm$ 1.37,34.03 \scriptsize $\pm$ 1.61,36.56 \scriptsize $\pm$ 0.94,38.05 \scriptsize $\pm$ 1.01,32.71 \scriptsize $\pm$ 2.00,36.95 \scriptsize $\pm$ 2.29,40.59 \scriptsize $\pm$ 0.50,39.28 \scriptsize $\pm$ 1.71,55.85 \scriptsize $\pm$ 0.90,34.78 \scriptsize $\pm$ 1.01,29.26 \scriptsize $\pm$ 1.47,31.75 \scriptsize $\pm$ 1.60,44.21 \scriptsize $\pm$ 1.85,33.82 \scriptsize $\pm$ 2.77,39.76 \scriptsize $\pm$ 1.77,95.99 \scriptsize $\pm$ 0.04,64.39 \scriptsize $\pm$ 0.26,abla_most_uriel_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[64.38750949478924, 64.36134900639959, 64.09770970321553, 64.72924083357736]",0.0006969468076992457,0.0016041029249060082,0.005864725290594557
85.76 \scriptsize $\pm$ 0.80,64.31 \scriptsize $\pm$ 1.14,87.38 \scriptsize $\pm$ 0.46,87.66 \scriptsize $\pm$ 0.18,84.62 \scriptsize $\pm$ 0.61,88.45 \scriptsize $\pm$ 0.45,78.02 \scriptsize $\pm$ 0.91,65.09 \scriptsize $\pm$ 0.72,72.67 \scriptsize $\pm$ 1.09,78.35 \scriptsize $\pm$ 0.43,85.08 \scriptsize $\pm$ 0.25,79.11 \scriptsize $\pm$ 0.98,69.58 \scriptsize $\pm$ 1.42,82.17 \scriptsize $\pm$ 0.32,83.85 \scriptsize $\pm$ 0.19,89.15 \scriptsize $\pm$ 0.26,49.06 \scriptsize $\pm$ 1.99,74.99 \scriptsize $\pm$ 0.76,62.77 \scriptsize $\pm$ 0.42,75.61 \scriptsize $\pm$ 0.34,70.44 \scriptsize $\pm$ 1.60,89.61 \scriptsize $\pm$ 0.05,82.52 \scriptsize $\pm$ 0.46,89.16 \scriptsize $\pm$ 0.30,77.66 \scriptsize $\pm$ 0.37,88.42 \scriptsize $\pm$ 0.23,70.44 \scriptsize $\pm$ 0.83,78.40 \scriptsize $\pm$ 1.75,44.98 \scriptsize $\pm$ 2.39,59.07 \scriptsize $\pm$ 1.38,70.26 \scriptsize $\pm$ 0.66,84.54 \scriptsize $\pm$ 0.25,62.87 \scriptsize $\pm$ 0.81,61.37 \scriptsize $\pm$ 0.07,69.36 \scriptsize $\pm$ 0.89,37.33 \scriptsize $\pm$ 1.66,49.71 \scriptsize $\pm$ 2.82,32.31 \scriptsize $\pm$ 3.38,43.47 \scriptsize $\pm$ 1.79,35.14 \scriptsize $\pm$ 2.35,38.07 \scriptsize $\pm$ 0.58,41.56 \scriptsize $\pm$ 1.24,43.87 \scriptsize $\pm$ 1.43,37.45 \scriptsize $\pm$ 1.57,40.36 \scriptsize $\pm$ 1.27,45.56 \scriptsize $\pm$ 1.40,48.79 \scriptsize $\pm$ 0.73,36.08 \scriptsize $\pm$ 0.72,35.56 \scriptsize $\pm$ 1.27,32.03 \scriptsize $\pm$ 1.11,47.23 \scriptsize $\pm$ 1.93,31.25 \scriptsize $\pm$ 1.73,42.37 \scriptsize $\pm$ 1.06,95.96 \scriptsize $\pm$ 0.05,64.02 \scriptsize $\pm$ 0.23,abla_most_uriel_unseen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[64.0604785531974, 63.69370306523765, 64.07590654206665, 64.23189102729604]",2.434039176952447e-05,0.009706405996153019,0.0012791396935886389
