eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
47.98 \scriptsize $\pm$ 1.16,62.40 \scriptsize $\pm$ 1.30,45.21 \scriptsize $\pm$ 1.23,64.42 \scriptsize $\pm$ 1.07,39.57 \scriptsize $\pm$ 0.79,60.71 \scriptsize $\pm$ 0.56,26.85 \scriptsize $\pm$ 1.49,43.18 \scriptsize $\pm$ 1.55,60.48 \scriptsize $\pm$ 1.75,48.27 \scriptsize $\pm$ 1.23,51.38 \scriptsize $\pm$ 0.95,75.25 \scriptsize $\pm$ 0.63,52.14 \scriptsize $\pm$ 0.63,abla_most_script_joshi45,xquad,"[42, 66, 17, 23]","[53.0055785632774, 51.53495642032578, 52.18770609022937, 51.841162424442025]",0.006024100558732468,0.056411389771875875,0.01547901738349514
48.78 \scriptsize $\pm$ 1.04,62.00 \scriptsize $\pm$ 1.51,48.31 \scriptsize $\pm$ 0.79,63.55 \scriptsize $\pm$ 0.59,39.22 \scriptsize $\pm$ 1.14,59.08 \scriptsize $\pm$ 1.28,28.79 \scriptsize $\pm$ 1.84,38.15 \scriptsize $\pm$ 2.85,56.42 \scriptsize $\pm$ 2.51,47.71 \scriptsize $\pm$ 1.66,51.68 \scriptsize $\pm$ 2.35,75.17 \scriptsize $\pm$ 0.35,51.57 \scriptsize $\pm$ 0.85,abla_most_script_seen_mbert,xquad,"[42, 66, 17, 23]","[51.4201947241722, 52.53612342510012, 50.49852162132736, 51.82659215628798]",0.25992985575705585,0.8858008441697122,0.0061614272032408934
48.78 \scriptsize $\pm$ 1.04,62.00 \scriptsize $\pm$ 1.51,48.31 \scriptsize $\pm$ 0.79,63.55 \scriptsize $\pm$ 0.59,39.22 \scriptsize $\pm$ 1.14,59.08 \scriptsize $\pm$ 1.28,28.79 \scriptsize $\pm$ 1.84,38.15 \scriptsize $\pm$ 2.85,56.42 \scriptsize $\pm$ 2.51,47.71 \scriptsize $\pm$ 1.66,51.68 \scriptsize $\pm$ 2.35,75.17 \scriptsize $\pm$ 0.35,51.57 \scriptsize $\pm$ 0.85,abla_most_script_seen_xlmr,xquad,"[42, 66, 17, 23]","[51.4201947241722, 52.53612342510012, 50.49852162132736, 51.82659215628798]",0.25992985575705585,0.8858008441697122,0.0061614272032408934
44.34 \scriptsize $\pm$ 0.58,60.27 \scriptsize $\pm$ 2.29,43.94 \scriptsize $\pm$ 1.77,62.73 \scriptsize $\pm$ 1.62,36.27 \scriptsize $\pm$ 0.32,58.04 \scriptsize $\pm$ 0.19,25.60 \scriptsize $\pm$ 2.66,35.56 \scriptsize $\pm$ 0.70,55.27 \scriptsize $\pm$ 0.96,45.46 \scriptsize $\pm$ 2.26,48.93 \scriptsize $\pm$ 1.90,74.66 \scriptsize $\pm$ 0.59,49.26 \scriptsize $\pm$ 0.88,abla_most_uriel_joshi2,xquad,"[42, 66, 17, 23]","[49.49066683488123, 48.56383286691249, 50.399081215235505, 48.56931525451816]",0.020800099982096056,0.005531164624780303,0.8184967168328692
45.18 \scriptsize $\pm$ 1.86,61.16 \scriptsize $\pm$ 1.01,46.38 \scriptsize $\pm$ 2.24,61.15 \scriptsize $\pm$ 0.72,38.55 \scriptsize $\pm$ 1.00,58.55 \scriptsize $\pm$ 0.96,29.61 \scriptsize $\pm$ 2.07,36.86 \scriptsize $\pm$ 0.97,55.79 \scriptsize $\pm$ 0.61,46.76 \scriptsize $\pm$ 1.30,53.59 \scriptsize $\pm$ 1.52,74.49 \scriptsize $\pm$ 0.56,50.67 \scriptsize $\pm$ 0.54,abla_most_uriel_joshi3,xquad,"[42, 66, 17, 23]","[51.325989505104054, 50.42506079834528, 50.08393981551038, 50.8565471159283]",0.5826298237448815,0.07297762661863573,0.06902040558648596
49.88 \scriptsize $\pm$ 0.85,61.96 \scriptsize $\pm$ 0.77,46.05 \scriptsize $\pm$ 1.55,64.84 \scriptsize $\pm$ 0.41,39.75 \scriptsize $\pm$ 1.15,59.10 \scriptsize $\pm$ 1.04,29.77 \scriptsize $\pm$ 1.89,38.84 \scriptsize $\pm$ 1.19,59.30 \scriptsize $\pm$ 1.60,47.00 \scriptsize $\pm$ 1.07,54.10 \scriptsize $\pm$ 0.86,75.20 \scriptsize $\pm$ 0.23,52.15 \scriptsize $\pm$ 0.16,abla_most_uriel_joshi35,xquad,"[42, 66, 17, 23]","[52.3124529244291, 52.02180115633837, 52.258072168008795, 52.00347387188776]",0.0009592701947343785,0.20449961169260186,0.003149574333293061
49.55 \scriptsize $\pm$ 0.95,62.21 \scriptsize $\pm$ 0.61,45.82 \scriptsize $\pm$ 0.64,64.74 \scriptsize $\pm$ 0.74,39.66 \scriptsize $\pm$ 1.10,60.28 \scriptsize $\pm$ 1.13,28.61 \scriptsize $\pm$ 1.94,43.72 \scriptsize $\pm$ 1.20,60.46 \scriptsize $\pm$ 1.93,47.69 \scriptsize $\pm$ 1.81,52.01 \scriptsize $\pm$ 0.80,75.18 \scriptsize $\pm$ 0.39,52.49 \scriptsize $\pm$ 0.49,abla_most_uriel_joshi45,xquad,"[42, 66, 17, 23]","[52.25240534559623, 52.12611351663557, 53.213218062966185, 52.3849852464991]",0.009535734940788366,0.13750579630939302,0.004704005628904155
49.62 \scriptsize $\pm$ 0.58,62.01 \scriptsize $\pm$ 1.01,45.28 \scriptsize $\pm$ 1.81,63.98 \scriptsize $\pm$ 1.52,38.67 \scriptsize $\pm$ 0.70,59.39 \scriptsize $\pm$ 1.75,26.74 \scriptsize $\pm$ 2.14,39.01 \scriptsize $\pm$ 0.88,58.56 \scriptsize $\pm$ 0.85,47.53 \scriptsize $\pm$ 0.81,51.65 \scriptsize $\pm$ 1.26,75.29 \scriptsize $\pm$ 0.26,51.48 \scriptsize $\pm$ 0.72,abla_most_uriel_seen_mbert,xquad,"[42, 66, 17, 23]","[51.38493542686319, 50.95969568317929, 51.043544485135335, 52.52185615198815]",0.27134462757089545,0.7691199973727576,0.02676110581290865
49.70 \scriptsize $\pm$ 1.26,61.22 \scriptsize $\pm$ 0.65,47.17 \scriptsize $\pm$ 0.37,62.95 \scriptsize $\pm$ 1.69,40.35 \scriptsize $\pm$ 0.50,59.57 \scriptsize $\pm$ 1.39,30.12 \scriptsize $\pm$ 0.40,38.35 \scriptsize $\pm$ 2.12,59.01 \scriptsize $\pm$ 1.43,47.71 \scriptsize $\pm$ 1.11,53.35 \scriptsize $\pm$ 1.14,75.45 \scriptsize $\pm$ 0.22,52.08 \scriptsize $\pm$ 0.44,abla_most_uriel_seen_xlmr,xquad,"[42, 66, 17, 23]","[52.538130390025685, 52.2584361160248, 51.50037262675056, 52.02102976524685]",0.013724379680877936,0.36385558707893334,0.004119445622293274
45.28 \scriptsize $\pm$ 1.24,58.73 \scriptsize $\pm$ 0.68,45.06 \scriptsize $\pm$ 0.53,62.43 \scriptsize $\pm$ 0.58,40.10 \scriptsize $\pm$ 0.85,58.23 \scriptsize $\pm$ 0.58,27.00 \scriptsize $\pm$ 1.35,35.24 \scriptsize $\pm$ 1.04,54.00 \scriptsize $\pm$ 0.71,45.98 \scriptsize $\pm$ 0.77,50.34 \scriptsize $\pm$ 0.40,74.51 \scriptsize $\pm$ 0.25,49.74 \scriptsize $\pm$ 0.44,abla_most_uriel_unseen_mbert,xquad,"[42, 66, 17, 23]","[50.40456302530564, 49.487972469999285, 49.518244472961975, 49.553837767572475]",0.0038350608328528496,0.003346876004258641,0.49712272170857225
45.62 \scriptsize $\pm$ 1.05,59.53 \scriptsize $\pm$ 0.91,43.69 \scriptsize $\pm$ 1.67,62.14 \scriptsize $\pm$ 1.06,39.28 \scriptsize $\pm$ 0.62,57.69 \scriptsize $\pm$ 0.68,25.42 \scriptsize $\pm$ 2.17,34.29 \scriptsize $\pm$ 1.35,55.98 \scriptsize $\pm$ 1.05,45.79 \scriptsize $\pm$ 0.96,49.89 \scriptsize $\pm$ 1.91,74.31 \scriptsize $\pm$ 0.45,49.47 \scriptsize $\pm$ 0.64,abla_most_uriel_unseen_xlmr,xquad,"[42, 66, 17, 23]","[49.68588909789481, 50.10962642757094, 48.58555736803078, 49.49358205778601]",0.03863299741088857,0.025751879676345065,0.8513139690591649
46.18 \scriptsize $\pm$ 0.29,59.38 \scriptsize $\pm$ 1.32,44.67 \scriptsize $\pm$ 1.88,62.29 \scriptsize $\pm$ 1.80,37.81 \scriptsize $\pm$ 2.09,57.77 \scriptsize $\pm$ 0.94,25.43 \scriptsize $\pm$ 2.55,36.41 \scriptsize $\pm$ 1.72,56.09 \scriptsize $\pm$ 1.61,45.48 \scriptsize $\pm$ 1.09,50.63 \scriptsize $\pm$ 2.39,74.33 \scriptsize $\pm$ 0.29,49.71 \scriptsize $\pm$ 0.59,abla_random_joshi2,xquad,"[42, 66, 17, 23]","[50.328305967768394, 50.024687648423345, 49.47288504878517, 48.99465914028434]",0.011053196992133519,0.0049218686033713046,0.48968991043484944
46.62 \scriptsize $\pm$ 0.62,60.75 \scriptsize $\pm$ 1.02,46.46 \scriptsize $\pm$ 1.60,63.45 \scriptsize $\pm$ 1.05,39.16 \scriptsize $\pm$ 2.20,59.07 \scriptsize $\pm$ 1.01,28.22 \scriptsize $\pm$ 1.07,37.97 \scriptsize $\pm$ 0.94,55.76 \scriptsize $\pm$ 1.48,47.08 \scriptsize $\pm$ 0.87,53.66 \scriptsize $\pm$ 3.22,74.66 \scriptsize $\pm$ 0.59,51.07 \scriptsize $\pm$ 0.76,abla_random_joshi3,xquad,"[42, 66, 17, 23]","[50.77175949373541, 50.45103713418778, 52.17989951935803, 50.874398132377756]",0.5897970731921459,0.2798261837788802,0.05224262052648063
47.79 \scriptsize $\pm$ 2.20,62.77 \scriptsize $\pm$ 0.96,47.12 \scriptsize $\pm$ 2.64,64.39 \scriptsize $\pm$ 1.72,39.70 \scriptsize $\pm$ 1.09,60.38 \scriptsize $\pm$ 0.70,29.14 \scriptsize $\pm$ 1.54,41.11 \scriptsize $\pm$ 4.14,56.87 \scriptsize $\pm$ 1.43,47.56 \scriptsize $\pm$ 1.69,53.58 \scriptsize $\pm$ 1.67,75.13 \scriptsize $\pm$ 0.30,52.13 \scriptsize $\pm$ 0.84,abla_random_joshi35,xquad,"[42, 66, 17, 23]","[52.50502977155326, 53.092902901751636, 51.72339714355556, 51.192068277679844]",0.044977255505519696,0.4058813308008117,0.004650461798431721
47.85 \scriptsize $\pm$ 4.46,62.13 \scriptsize $\pm$ 1.06,44.53 \scriptsize $\pm$ 2.12,66.05 \scriptsize $\pm$ 1.11,39.66 \scriptsize $\pm$ 2.84,60.85 \scriptsize $\pm$ 0.82,27.23 \scriptsize $\pm$ 0.76,41.85 \scriptsize $\pm$ 2.46,59.96 \scriptsize $\pm$ 3.14,47.83 \scriptsize $\pm$ 1.11,51.34 \scriptsize $\pm$ 1.37,75.46 \scriptsize $\pm$ 0.38,52.06 \scriptsize $\pm$ 1.06,abla_random_joshi45,xquad,"[42, 66, 17, 23]","[53.16249284810802, 51.81601734154259, 50.69400858461279, 52.56980554948334]",0.10637259700847877,0.5653611552986565,0.0280999980710228
