eval_ar_f1,eval_de_f1,eval_el_f1,eval_es_f1,eval_hi_f1,eval_ru_f1,eval_th_f1,eval_tr_f1,eval_vi_f1,eval_zh_f1,eval_ind_f1,eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
46.65 \scriptsize $\pm$ 1.72,60.70 \scriptsize $\pm$ 0.95,45.83 \scriptsize $\pm$ 0.89,63.94 \scriptsize $\pm$ 0.27,38.58 \scriptsize $\pm$ 1.25,59.05 \scriptsize $\pm$ 1.16,29.86 \scriptsize $\pm$ 1.35,37.89 \scriptsize $\pm$ 0.77,57.50 \scriptsize $\pm$ 0.87,47.18 \scriptsize $\pm$ 0.27,51.36 \scriptsize $\pm$ 1.07,75.02 \scriptsize $\pm$ 0.32,51.13 \scriptsize $\pm$ 0.57,least_same_script_20,xquad,"[42, 66, 17, 23]","[51.39719273051722, 51.63105002925864, 51.15619802351524, 50.330078049492215]",0.2929807876487908,0.19137419660145708,0.010611680833249036
47.68 \scriptsize $\pm$ 0.88,62.97 \scriptsize $\pm$ 0.93,47.37 \scriptsize $\pm$ 1.66,64.79 \scriptsize $\pm$ 0.53,41.03 \scriptsize $\pm$ 0.93,61.17 \scriptsize $\pm$ 0.80,29.26 \scriptsize $\pm$ 1.60,37.34 \scriptsize $\pm$ 0.74,58.01 \scriptsize $\pm$ 1.40,48.69 \scriptsize $\pm$ 0.47,53.48 \scriptsize $\pm$ 0.91,75.60 \scriptsize $\pm$ 0.35,52.28 \scriptsize $\pm$ 0.20,least_same_script_5,xquad,"[42, 66, 17, 23]","[52.4224103972687, 52.37425277855241, 51.99405189161431, 52.34521226667675]",0.005552695221479054,0.21383774876507283,0.001601154332455201
47.93 \scriptsize $\pm$ 1.95,63.05 \scriptsize $\pm$ 1.08,51.68 \scriptsize $\pm$ 1.85,65.94 \scriptsize $\pm$ 0.95,40.81 \scriptsize $\pm$ 1.12,61.01 \scriptsize $\pm$ 1.85,27.96 \scriptsize $\pm$ 1.10,36.80 \scriptsize $\pm$ 0.66,56.55 \scriptsize $\pm$ 1.39,48.44 \scriptsize $\pm$ 1.47,52.10 \scriptsize $\pm$ 1.08,75.45 \scriptsize $\pm$ 0.56,52.31 \scriptsize $\pm$ 0.84,least_uriel_en_10,xquad,"[42, 66, 17, 23]","[52.94584013354186, 53.12368119230326, 51.69377076569955, 51.479095491696306]",0.029609435016696026,0.2444116115873705,0.005597265228670703
44.06 \scriptsize $\pm$ 0.73,63.00 \scriptsize $\pm$ 1.27,49.92 \scriptsize $\pm$ 0.92,65.57 \scriptsize $\pm$ 1.03,40.45 \scriptsize $\pm$ 0.67,61.32 \scriptsize $\pm$ 0.64,27.84 \scriptsize $\pm$ 3.53,39.05 \scriptsize $\pm$ 0.52,57.06 \scriptsize $\pm$ 1.45,47.64 \scriptsize $\pm$ 1.53,52.13 \scriptsize $\pm$ 1.42,75.35 \scriptsize $\pm$ 0.38,51.95 \scriptsize $\pm$ 0.69,least_uriel_en_20,xquad,"[42, 66, 17, 23]","[52.18191663069316, 50.9206264965082, 52.3853443090365, 52.31289773574474]",0.05018838527140866,0.5644065021332797,0.022511172931257466
45.44 \scriptsize $\pm$ 0.56,60.84 \scriptsize $\pm$ 1.01,45.10 \scriptsize $\pm$ 2.11,64.20 \scriptsize $\pm$ 0.35,37.62 \scriptsize $\pm$ 1.39,58.96 \scriptsize $\pm$ 0.76,25.80 \scriptsize $\pm$ 1.42,39.50 \scriptsize $\pm$ 3.40,55.29 \scriptsize $\pm$ 1.40,46.47 \scriptsize $\pm$ 1.21,50.79 \scriptsize $\pm$ 1.60,75.16 \scriptsize $\pm$ 0.14,50.43 \scriptsize $\pm$ 0.66,least_uriel_en_40,xquad,"[42, 66, 17, 23]","[51.26937498713004, 50.57061074960543, 50.15783250682754, 49.72467803447254]",0.1427410944277291,0.010489817598411251,0.10689970767508535
47.56 \scriptsize $\pm$ 1.30,62.71 \scriptsize $\pm$ 0.60,46.57 \scriptsize $\pm$ 1.19,67.37 \scriptsize $\pm$ 0.37,39.95 \scriptsize $\pm$ 2.01,60.52 \scriptsize $\pm$ 0.53,29.03 \scriptsize $\pm$ 2.80,37.00 \scriptsize $\pm$ 1.36,56.34 \scriptsize $\pm$ 1.01,47.71 \scriptsize $\pm$ 2.12,52.95 \scriptsize $\pm$ 0.64,75.66 \scriptsize $\pm$ 0.11,51.95 \scriptsize $\pm$ 0.79,least_uriel_en_5,xquad,"[42, 66, 17, 23]","[52.12614175883852, 50.80157112962423, 52.25877578837739, 52.60388648660745]",0.07960977449363422,0.6312244027162524,0.02695046426665325
48.87 \scriptsize $\pm$ 1.27,61.64 \scriptsize $\pm$ 1.03,48.09 \scriptsize $\pm$ 1.34,63.45 \scriptsize $\pm$ 0.96,38.21 \scriptsize $\pm$ 1.19,58.77 \scriptsize $\pm$ 0.74,28.60 \scriptsize $\pm$ 1.40,36.93 \scriptsize $\pm$ 1.23,55.13 \scriptsize $\pm$ 0.38,46.89 \scriptsize $\pm$ 1.78,51.95 \scriptsize $\pm$ 1.51,74.98 \scriptsize $\pm$ 0.33,51.13 \scriptsize $\pm$ 0.69,most_distinct_script_10,xquad,"[42, 66, 17, 23]","[51.5068207749932, 51.86969919919708, 50.790284143606954, 50.33501529271931]",0.4232291508926807,0.2621381321793013,0.012509020066548124
46.59 \scriptsize $\pm$ 1.54,61.34 \scriptsize $\pm$ 0.55,47.17 \scriptsize $\pm$ 1.71,63.34 \scriptsize $\pm$ 1.70,37.81 \scriptsize $\pm$ 0.19,58.12 \scriptsize $\pm$ 0.93,29.01 \scriptsize $\pm$ 1.85,37.76 \scriptsize $\pm$ 1.41,56.57 \scriptsize $\pm$ 0.98,46.93 \scriptsize $\pm$ 0.55,51.07 \scriptsize $\pm$ 1.47,74.81 \scriptsize $\pm$ 0.41,50.87 \scriptsize $\pm$ 0.46,most_distinct_script_18,xquad,"[42, 66, 17, 23]","[50.406765674758795, 51.33741319251444, 51.18398464694675, 50.570184514371086]",0.9147853577426788,0.19806469027741888,0.002701382381376799
51.61 \scriptsize $\pm$ 1.01,63.00 \scriptsize $\pm$ 1.69,45.24 \scriptsize $\pm$ 0.80,65.24 \scriptsize $\pm$ 0.58,39.68 \scriptsize $\pm$ 1.14,60.44 \scriptsize $\pm$ 1.04,30.85 \scriptsize $\pm$ 1.40,40.02 \scriptsize $\pm$ 2.32,57.64 \scriptsize $\pm$ 1.05,48.30 \scriptsize $\pm$ 1.03,52.37 \scriptsize $\pm$ 0.68,75.62 \scriptsize $\pm$ 0.31,52.50 \scriptsize $\pm$ 0.19,most_distinct_script_5,xquad,"[42, 66, 17, 23]","[52.6847159801753, 52.49543578360874, 52.23463188739256, 52.58768874804597]",0.0031203537983189714,0.112838140262462,0.0017580648139914885
48.04 \scriptsize $\pm$ 1.94,61.66 \scriptsize $\pm$ 0.83,44.90 \scriptsize $\pm$ 1.33,64.12 \scriptsize $\pm$ 0.74,38.86 \scriptsize $\pm$ 0.61,59.03 \scriptsize $\pm$ 0.93,27.60 \scriptsize $\pm$ 1.91,36.78 \scriptsize $\pm$ 2.14,59.01 \scriptsize $\pm$ 0.95,47.54 \scriptsize $\pm$ 0.73,54.88 \scriptsize $\pm$ 0.65,75.39 \scriptsize $\pm$ 0.23,51.48 \scriptsize $\pm$ 0.30,most_family_en_10,xquad,"[42, 66, 17, 23]","[51.37973545042009, 51.869402399311184, 51.14593118919256, 51.53989386599742]",0.10471947561900723,0.7059752134430595,0.00101445391856862
47.67 \scriptsize $\pm$ 0.42,61.70 \scriptsize $\pm$ 2.22,48.32 \scriptsize $\pm$ 1.86,63.61 \scriptsize $\pm$ 1.72,38.62 \scriptsize $\pm$ 1.89,59.57 \scriptsize $\pm$ 1.17,29.94 \scriptsize $\pm$ 2.14,38.45 \scriptsize $\pm$ 3.26,58.45 \scriptsize $\pm$ 0.30,48.06 \scriptsize $\pm$ 0.16,53.73 \scriptsize $\pm$ 1.21,75.24 \scriptsize $\pm$ 0.52,51.95 \scriptsize $\pm$ 0.78,most_family_en_20,xquad,"[42, 66, 17, 23]","[53.05797704911979, 51.44347545414602, 51.91091322282468, 51.370809483511586]",0.018147379084567167,0.10048391650565022,0.023398623809866157
46.94 \scriptsize $\pm$ 1.64,61.68 \scriptsize $\pm$ 0.16,47.92 \scriptsize $\pm$ 1.31,63.60 \scriptsize $\pm$ 1.09,38.02 \scriptsize $\pm$ 0.91,59.30 \scriptsize $\pm$ 0.40,29.81 \scriptsize $\pm$ 1.34,36.30 \scriptsize $\pm$ 0.11,57.79 \scriptsize $\pm$ 1.80,46.93 \scriptsize $\pm$ 1.00,52.93 \scriptsize $\pm$ 0.53,75.31 \scriptsize $\pm$ 0.21,51.38 \scriptsize $\pm$ 0.50,most_family_en_25,xquad,"[42, 66, 17, 23]","[51.77476078351327, 51.785829793001334, 51.2087599332174, 50.74490490617785]",0.06819388509522546,0.3961697354565902,0.007516069037841435
46.22 \scriptsize $\pm$ 1.54,60.36 \scriptsize $\pm$ 0.69,46.45 \scriptsize $\pm$ 1.77,63.13 \scriptsize $\pm$ 1.69,39.47 \scriptsize $\pm$ 1.09,58.20 \scriptsize $\pm$ 0.99,27.97 \scriptsize $\pm$ 3.01,37.62 \scriptsize $\pm$ 1.00,59.42 \scriptsize $\pm$ 1.32,46.77 \scriptsize $\pm$ 0.92,47.77 \scriptsize $\pm$ 1.06,75.21 \scriptsize $\pm$ 0.30,50.72 \scriptsize $\pm$ 0.43,most_family_en_5,xquad,"[42, 66, 17, 23]","[50.18839898947582, 50.72447695988358, 50.7024398538818, 51.25261064246578]",0.7739635163644525,0.19274643535282804,0.018714622387391598
45.47 \scriptsize $\pm$ 2.42,59.86 \scriptsize $\pm$ 1.23,44.70 \scriptsize $\pm$ 0.85,64.01 \scriptsize $\pm$ 0.31,37.95 \scriptsize $\pm$ 2.23,58.78 \scriptsize $\pm$ 1.03,26.95 \scriptsize $\pm$ 1.26,35.87 \scriptsize $\pm$ 2.00,55.86 \scriptsize $\pm$ 1.33,46.86 \scriptsize $\pm$ 2.38,49.63 \scriptsize $\pm$ 1.74,75.16 \scriptsize $\pm$ 0.30,50.09 \scriptsize $\pm$ 1.22,most_same_script_10,xquad,"[42, 66, 17, 23]","[51.617777424007556, 50.06067080448552, 50.05254011280788, 48.63438506633747]",0.19534513952536833,0.013467489030319399,0.417168962158941
47.16 \scriptsize $\pm$ 1.42,60.91 \scriptsize $\pm$ 1.05,45.60 \scriptsize $\pm$ 1.66,65.92 \scriptsize $\pm$ 1.33,39.51 \scriptsize $\pm$ 2.30,60.00 \scriptsize $\pm$ 0.84,27.97 \scriptsize $\pm$ 1.62,38.34 \scriptsize $\pm$ 0.58,56.54 \scriptsize $\pm$ 1.00,47.43 \scriptsize $\pm$ 1.03,54.54 \scriptsize $\pm$ 0.91,75.65 \scriptsize $\pm$ 0.33,51.63 \scriptsize $\pm$ 0.78,most_same_script_20,xquad,"[42, 66, 17, 23]","[51.95541278705965, 51.8520877661978, 52.236651712585115, 50.48092309394664]",0.0698925685360885,0.8825873231237245,0.016584360873762746
47.27 \scriptsize $\pm$ 0.85,58.94 \scriptsize $\pm$ 0.71,45.72 \scriptsize $\pm$ 1.09,64.22 \scriptsize $\pm$ 1.02,38.18 \scriptsize $\pm$ 1.90,59.00 \scriptsize $\pm$ 0.84,29.73 \scriptsize $\pm$ 1.19,37.80 \scriptsize $\pm$ 1.95,55.74 \scriptsize $\pm$ 2.01,45.10 \scriptsize $\pm$ 2.24,51.73 \scriptsize $\pm$ 1.53,74.93 \scriptsize $\pm$ 0.13,50.70 \scriptsize $\pm$ 1.02,most_same_script_41,xquad,"[42, 66, 17, 23]","[50.77774808803357, 50.74487975408743, 51.8767830032783, 49.39697793495753]",0.7649474449411846,0.10019661467336906,0.10848479799766765
45.53 \scriptsize $\pm$ 2.02,60.68 \scriptsize $\pm$ 1.03,43.96 \scriptsize $\pm$ 2.53,63.00 \scriptsize $\pm$ 0.99,38.18 \scriptsize $\pm$ 0.84,58.99 \scriptsize $\pm$ 1.02,26.91 \scriptsize $\pm$ 2.25,36.96 \scriptsize $\pm$ 1.76,56.57 \scriptsize $\pm$ 1.06,46.47 \scriptsize $\pm$ 1.79,49.46 \scriptsize $\pm$ 1.18,75.22 \scriptsize $\pm$ 0.12,50.16 \scriptsize $\pm$ 0.63,most_same_script_5,xquad,"[42, 66, 17, 23]","[50.28044791720183, 50.40148989673761, 49.26108408778621, 50.702337858896534]",0.20431281066699822,0.07865756017006366,0.12982327489366643
46.92 \scriptsize $\pm$ 0.88,61.22 \scriptsize $\pm$ 1.56,45.12 \scriptsize $\pm$ 1.08,62.32 \scriptsize $\pm$ 1.33,38.98 \scriptsize $\pm$ 1.83,58.05 \scriptsize $\pm$ 0.93,29.48 \scriptsize $\pm$ 0.59,36.95 \scriptsize $\pm$ 0.54,58.80 \scriptsize $\pm$ 0.86,46.32 \scriptsize $\pm$ 0.86,48.38 \scriptsize $\pm$ 0.55,74.91 \scriptsize $\pm$ 0.29,50.62 \scriptsize $\pm$ 0.43,most_uriel_en_10,xquad,"[42, 66, 17, 23]","[50.93723748149313, 50.54680806034134, 50.94949083640156, 50.04619485999501]",0.10084002216842947,0.013986440792895122,0.0477976791450304
48.36 \scriptsize $\pm$ 1.50,61.03 \scriptsize $\pm$ 1.97,48.37 \scriptsize $\pm$ 1.85,63.99 \scriptsize $\pm$ 1.22,41.51 \scriptsize $\pm$ 1.09,59.51 \scriptsize $\pm$ 0.70,29.88 \scriptsize $\pm$ 1.03,38.32 \scriptsize $\pm$ 1.69,58.05 \scriptsize $\pm$ 0.97,47.65 \scriptsize $\pm$ 1.98,50.32 \scriptsize $\pm$ 2.02,75.22 \scriptsize $\pm$ 0.48,51.85 \scriptsize $\pm$ 1.00,most_uriel_en_20,xquad,"[42, 66, 17, 23]","[51.43906606025954, 52.20628692810063, 53.042901667981475, 50.71202355736337]",0.12247801229422559,0.7677336443427571,0.016110364651120566
45.90 \scriptsize $\pm$ 2.31,60.10 \scriptsize $\pm$ 1.09,46.43 \scriptsize $\pm$ 2.56,62.27 \scriptsize $\pm$ 1.15,38.01 \scriptsize $\pm$ 1.04,59.30 \scriptsize $\pm$ 0.99,28.50 \scriptsize $\pm$ 2.25,37.57 \scriptsize $\pm$ 1.83,57.21 \scriptsize $\pm$ 2.05,47.09 \scriptsize $\pm$ 0.82,51.64 \scriptsize $\pm$ 1.01,74.74 \scriptsize $\pm$ 0.52,50.73 \scriptsize $\pm$ 0.99,most_uriel_en_40,xquad,"[42, 66, 17, 23]","[51.698211933476536, 51.46054283552673, 49.75154202847685, 50.00840662388661]",0.8234737529090843,0.14316366943459005,0.08143437531699799
46.60 \scriptsize $\pm$ 1.57,60.75 \scriptsize $\pm$ 0.13,46.47 \scriptsize $\pm$ 0.89,62.86 \scriptsize $\pm$ 0.84,40.87 \scriptsize $\pm$ 2.80,59.00 \scriptsize $\pm$ 0.82,28.79 \scriptsize $\pm$ 1.52,38.29 \scriptsize $\pm$ 1.93,57.45 \scriptsize $\pm$ 0.70,46.97 \scriptsize $\pm$ 1.26,48.08 \scriptsize $\pm$ 1.73,75.37 \scriptsize $\pm$ 0.29,50.96 \scriptsize $\pm$ 0.60,most_uriel_en_5,xquad,"[42, 66, 17, 23]","[51.53036442140541, 50.9720755205517, 51.19727387758672, 50.128870353020055]",0.48421781411678866,0.019459476191871068,0.03705301810265574
46.17 \scriptsize $\pm$ 1.32,60.94 \scriptsize $\pm$ 0.80,44.63 \scriptsize $\pm$ 0.99,63.47 \scriptsize $\pm$ 1.00,39.20 \scriptsize $\pm$ 1.98,59.81 \scriptsize $\pm$ 0.97,28.32 \scriptsize $\pm$ 1.20,38.14 \scriptsize $\pm$ 3.90,56.44 \scriptsize $\pm$ 1.58,47.36 \scriptsize $\pm$ 0.20,51.85 \scriptsize $\pm$ 2.06,75.13 \scriptsize $\pm$ 0.45,50.96 \scriptsize $\pm$ 0.75,random_langs_with_seed_10,xquad,"[42, 66, 17, 23]","[51.73583994071357, 51.44541823214547, 50.21041916331575, 50.430174532230815]",0.7427357308551787,0.1618650734470455,0.03530286025831567
44.84 \scriptsize $\pm$ 1.45,60.81 \scriptsize $\pm$ 0.94,44.88 \scriptsize $\pm$ 1.48,62.22 \scriptsize $\pm$ 2.06,38.30 \scriptsize $\pm$ 2.19,59.31 \scriptsize $\pm$ 1.16,27.63 \scriptsize $\pm$ 0.80,38.07 \scriptsize $\pm$ 2.90,56.28 \scriptsize $\pm$ 3.57,47.53 \scriptsize $\pm$ 1.18,53.83 \scriptsize $\pm$ 1.20,74.80 \scriptsize $\pm$ 0.64,50.71 \scriptsize $\pm$ 1.13,random_langs_with_seed_20,xquad,"[42, 66, 17, 23]","[51.36815081730808, 51.63405765717632, 50.70848051788766, 49.12079025375373]",0.8013901665104789,0.12808983757524195,0.09547271603250342
47.66 \scriptsize $\pm$ 1.37,60.98 \scriptsize $\pm$ 1.38,46.66 \scriptsize $\pm$ 1.53,63.67 \scriptsize $\pm$ 0.93,38.50 \scriptsize $\pm$ 1.54,58.86 \scriptsize $\pm$ 1.67,28.53 \scriptsize $\pm$ 1.20,39.28 \scriptsize $\pm$ 2.09,56.88 \scriptsize $\pm$ 1.65,47.84 \scriptsize $\pm$ 1.00,51.52 \scriptsize $\pm$ 1.20,74.97 \scriptsize $\pm$ 0.97,51.28 \scriptsize $\pm$ 0.93,random_langs_with_seed_40,xquad,"[42, 66, 17, 23]","[51.092245852107965, 52.46120623440485, 51.36643722887823, 50.19755866949388]",0.4150292769202359,0.5323211797609898,0.010557960461899248
46.21 \scriptsize $\pm$ 2.15,61.05 \scriptsize $\pm$ 1.41,45.44 \scriptsize $\pm$ 2.46,63.72 \scriptsize $\pm$ 2.25,38.37 \scriptsize $\pm$ 1.23,58.62 \scriptsize $\pm$ 1.25,27.23 \scriptsize $\pm$ 2.96,35.80 \scriptsize $\pm$ 3.31,56.05 \scriptsize $\pm$ 2.27,45.64 \scriptsize $\pm$ 1.20,51.45 \scriptsize $\pm$ 1.97,75.11 \scriptsize $\pm$ 0.49,50.39 \scriptsize $\pm$ 1.32,random_langs_with_seed_5,xquad,"[42, 66, 17, 23]","[51.33269021185409, 51.428681497800596, 50.20381622959784, 48.60136060628556]",0.4834495384455919,0.09278545957575053,0.22139363931815556
46.79 \scriptsize $\pm$ 1.48,60.01 \scriptsize $\pm$ 0.78,47.10 \scriptsize $\pm$ 0.95,63.98 \scriptsize $\pm$ 0.91,37.80 \scriptsize $\pm$ 1.49,58.83 \scriptsize $\pm$ 0.53,30.01 \scriptsize $\pm$ 1.54,37.52 \scriptsize $\pm$ 0.81,54.78 \scriptsize $\pm$ 0.83,46.09 \scriptsize $\pm$ 1.23,52.17 \scriptsize $\pm$ 1.08,74.98 \scriptsize $\pm$ 0.56,50.84 \scriptsize $\pm$ 0.34,xt_afri,xquad,"[42, 66, 17, 23]","[51.256863812067394, 50.69042468187144, 50.94449991794112, 50.459151683646304]",-1.0,0.023464765928494006,0.031309614930106276
46.13 \scriptsize $\pm$ 1.02,61.66 \scriptsize $\pm$ 0.97,48.19 \scriptsize $\pm$ 1.71,64.63 \scriptsize $\pm$ 1.33,39.38 \scriptsize $\pm$ 1.48,59.98 \scriptsize $\pm$ 0.67,28.11 \scriptsize $\pm$ 0.64,39.96 \scriptsize $\pm$ 2.41,57.49 \scriptsize $\pm$ 0.82,47.12 \scriptsize $\pm$ 1.72,52.53 \scriptsize $\pm$ 1.02,74.98 \scriptsize $\pm$ 0.44,51.68 \scriptsize $\pm$ 0.73,xt_only,xquad,"[42, 66, 17, 23]","[52.59027374264118, 51.274313157407164, 51.91886426322736, 50.929927749508614]",0.023464765928494006,-1.0,0.026582065295929304
