final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
37.70 \scriptsize $\pm$ 0.96,40.33 \scriptsize $\pm$ 0.85,40.57 \scriptsize $\pm$ 0.64,40.50 \scriptsize $\pm$ 1.15,37.60 \scriptsize $\pm$ 0.84,43.16 \scriptsize $\pm$ 1.17,39.74 \scriptsize $\pm$ 0.17,39.00 \scriptsize $\pm$ 1.29,44.50 \scriptsize $\pm$ 0.99,37.20 \scriptsize $\pm$ 0.47,40.03 \scriptsize $\pm$ 0.68,abla_most_script_joshi45,americasnli,"[42, 66, 17, 23]","[40.49416547106647, 40.66814921090388, 39.18561888613539, 39.77066098575423]",0.02061962812981752,0.9625634908663918,0.2312771609887536
37.90 \scriptsize $\pm$ 1.51,39.60 \scriptsize $\pm$ 0.89,39.83 \scriptsize $\pm$ 0.61,40.20 \scriptsize $\pm$ 1.31,36.83 \scriptsize $\pm$ 0.78,41.09 \scriptsize $\pm$ 0.70,38.17 \scriptsize $\pm$ 0.70,37.00 \scriptsize $\pm$ 1.06,40.83 \scriptsize $\pm$ 1.73,36.50 \scriptsize $\pm$ 1.15,38.80 \scriptsize $\pm$ 0.53,abla_most_script_seen_mbert,americasnli,"[42, 66, 17, 23]","[38.27559613350144, 39.53109748851499, 38.66197759517702, 38.71502282509456]",0.008922282802382598,0.03803324662756232,0.027534903635192336
37.90 \scriptsize $\pm$ 1.51,39.60 \scriptsize $\pm$ 0.89,39.83 \scriptsize $\pm$ 0.61,40.20 \scriptsize $\pm$ 1.31,36.83 \scriptsize $\pm$ 0.78,41.09 \scriptsize $\pm$ 0.70,38.17 \scriptsize $\pm$ 0.70,37.00 \scriptsize $\pm$ 1.06,40.83 \scriptsize $\pm$ 1.73,36.50 \scriptsize $\pm$ 1.15,38.80 \scriptsize $\pm$ 0.53,abla_most_script_seen_xlmr,americasnli,"[42, 66, 17, 23]","[38.27559613350144, 39.53109748851499, 38.66197759517702, 38.71502282509456]",0.008922282802382598,0.03803324662756232,0.027534903635192336
37.37 \scriptsize $\pm$ 0.73,41.47 \scriptsize $\pm$ 2.09,40.53 \scriptsize $\pm$ 0.94,38.67 \scriptsize $\pm$ 1.04,38.23 \scriptsize $\pm$ 0.35,41.67 \scriptsize $\pm$ 0.46,45.66 \scriptsize $\pm$ 0.63,39.90 \scriptsize $\pm$ 0.38,42.43 \scriptsize $\pm$ 1.19,38.30 \scriptsize $\pm$ 0.96,40.42 \scriptsize $\pm$ 0.45,abla_most_uriel_joshi2,americasnli,"[42, 66, 17, 23]","[40.73164760952422, 40.87853397678362, 40.13302552062953, 39.94549164529077]",0.3334028559232749,0.2292888208882302,0.9626546813635675
36.30 \scriptsize $\pm$ 1.02,39.30 \scriptsize $\pm$ 0.51,39.67 \scriptsize $\pm$ 0.64,39.50 \scriptsize $\pm$ 1.22,36.93 \scriptsize $\pm$ 1.10,42.11 \scriptsize $\pm$ 0.59,38.00 \scriptsize $\pm$ 0.28,37.87 \scriptsize $\pm$ 0.61,41.27 \scriptsize $\pm$ 1.84,36.70 \scriptsize $\pm$ 0.64,38.76 \scriptsize $\pm$ 0.35,abla_most_uriel_joshi3,americasnli,"[42, 66, 17, 23]","[38.63668304276625, 38.9047960233613, 39.17012332797125, 38.34508412677709]",0.027448884631779465,0.001446854858028004,0.01585324132688468
37.20 \scriptsize $\pm$ 0.50,40.43 \scriptsize $\pm$ 1.06,40.33 \scriptsize $\pm$ 1.83,39.53 \scriptsize $\pm$ 0.73,37.60 \scriptsize $\pm$ 0.75,43.12 \scriptsize $\pm$ 1.60,39.74 \scriptsize $\pm$ 0.74,38.93 \scriptsize $\pm$ 0.19,43.77 \scriptsize $\pm$ 0.55,36.87 \scriptsize $\pm$ 0.49,39.75 \scriptsize $\pm$ 0.08,abla_most_uriel_joshi35,americasnli,"[42, 66, 17, 23]","[39.638156312044394, 39.75006188136747, 39.83733055084561, 39.786162340767795]",0.10254001975713786,0.4171359978718077,0.18462075718401252
37.73 \scriptsize $\pm$ 0.24,41.53 \scriptsize $\pm$ 0.56,40.00 \scriptsize $\pm$ 1.51,40.30 \scriptsize $\pm$ 0.44,37.67 \scriptsize $\pm$ 0.49,42.65 \scriptsize $\pm$ 0.55,40.31 \scriptsize $\pm$ 0.42,39.03 \scriptsize $\pm$ 1.07,43.47 \scriptsize $\pm$ 1.35,36.47 \scriptsize $\pm$ 1.24,39.92 \scriptsize $\pm$ 0.53,abla_most_uriel_joshi45,americasnli,"[42, 66, 17, 23]","[39.5578682086286, 39.74608814109531, 39.65192324971378, 40.706735649174675]",0.17996797036996762,0.8734335389429488,0.4647762149418767
37.20 \scriptsize $\pm$ 1.29,41.63 \scriptsize $\pm$ 1.84,39.37 \scriptsize $\pm$ 0.86,41.13 \scriptsize $\pm$ 1.74,37.30 \scriptsize $\pm$ 1.22,42.51 \scriptsize $\pm$ 0.97,39.87 \scriptsize $\pm$ 0.98,39.80 \scriptsize $\pm$ 1.40,43.23 \scriptsize $\pm$ 0.37,37.30 \scriptsize $\pm$ 0.76,39.94 \scriptsize $\pm$ 0.89,abla_most_uriel_seen_mbert,americasnli,"[42, 66, 17, 23]","[39.03653464342129, 41.092751909337274, 40.13177774879353, 39.48022028027766]",0.18079873568602,0.8674504546034667,0.4055904178577307
37.40 \scriptsize $\pm$ 0.68,39.43 \scriptsize $\pm$ 1.02,39.70 \scriptsize $\pm$ 0.74,40.20 \scriptsize $\pm$ 1.08,37.77 \scriptsize $\pm$ 0.67,43.63 \scriptsize $\pm$ 0.77,47.33 \scriptsize $\pm$ 0.66,38.60 \scriptsize $\pm$ 1.13,43.63 \scriptsize $\pm$ 0.85,37.20 \scriptsize $\pm$ 0.45,40.49 \scriptsize $\pm$ 0.43,abla_most_uriel_seen_xlmr,americasnli,"[42, 66, 17, 23]","[41.08402243380722, 40.46869643348839, 40.05467994145181, 40.348990333753605]",0.5103845502135989,0.2958683679085792,0.8080247279310416
37.20 \scriptsize $\pm$ 1.02,40.83 \scriptsize $\pm$ 1.48,41.90 \scriptsize $\pm$ 0.93,39.53 \scriptsize $\pm$ 0.77,38.30 \scriptsize $\pm$ 1.48,42.41 \scriptsize $\pm$ 0.49,46.86 \scriptsize $\pm$ 1.92,39.40 \scriptsize $\pm$ 0.71,44.53 \scriptsize $\pm$ 2.01,38.43 \scriptsize $\pm$ 1.44,40.94 \scriptsize $\pm$ 0.61,abla_most_uriel_unseen_mbert,americasnli,"[42, 66, 17, 23]","[41.21353332463806, 41.21373563468254, 41.308262829152355, 40.02588670057823]",0.7506748704658857,0.0034927694392328855,0.09162941155955907
