final_eval_aym_accuracy,final_eval_bzd_accuracy,final_eval_cni_accuracy,final_eval_gn_accuracy,final_eval_hch_accuracy,final_eval_nah_accuracy,final_eval_oto_accuracy,final_eval_quy_accuracy,final_eval_shp_accuracy,final_eval_tar_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
35.90 \scriptsize $\pm$ 0.98,39.90 \scriptsize $\pm$ 0.27,39.23 \scriptsize $\pm$ 0.96,41.47 \scriptsize $\pm$ 0.36,37.03 \scriptsize $\pm$ 0.80,41.90 \scriptsize $\pm$ 0.45,38.74 \scriptsize $\pm$ 0.37,36.70 \scriptsize $\pm$ 0.96,41.27 \scriptsize $\pm$ 0.55,35.73 \scriptsize $\pm$ 0.68,38.79 \scriptsize $\pm$ 0.14,least_uriel_en_5,americasnli,"[42, 66, 17, 23]","[38.64983232613074, 38.797476051765855, 38.98410416938394, 38.71809080764604]",0.02272310860977456,0.013094523891552877,0.022936106739808372
37.83 \scriptsize $\pm$ 0.83,39.67 \scriptsize $\pm$ 0.49,39.63 \scriptsize $\pm$ 1.53,40.73 \scriptsize $\pm$ 0.58,37.50 \scriptsize $\pm$ 1.32,41.06 \scriptsize $\pm$ 1.50,39.64 \scriptsize $\pm$ 1.58,37.07 \scriptsize $\pm$ 1.35,42.00 \scriptsize $\pm$ 1.36,37.17 \scriptsize $\pm$ 1.45,39.23 \scriptsize $\pm$ 0.99,most_distinct_script_10,americasnli,"[42, 66, 17, 23]","[37.95303305653376, 40.14619219454226, 38.968424561250956, 39.85072938857731]",0.05404670116933904,0.29618388325764095,0.19001246763882546
36.13 \scriptsize $\pm$ 0.90,39.10 \scriptsize $\pm$ 0.98,40.37 \scriptsize $\pm$ 1.81,40.27 \scriptsize $\pm$ 0.39,37.43 \scriptsize $\pm$ 1.26,41.26 \scriptsize $\pm$ 0.93,38.64 \scriptsize $\pm$ 1.09,37.60 \scriptsize $\pm$ 0.79,42.33 \scriptsize $\pm$ 0.60,36.60 \scriptsize $\pm$ 1.97,38.97 \scriptsize $\pm$ 0.80,most_distinct_script_18,americasnli,"[42, 66, 17, 23]","[38.93073518542672, 38.31578308189499, 40.117618654261406, 38.527806906946076]",0.10979799536593228,0.049161249452328866,0.08801443444361909
36.60 \scriptsize $\pm$ 1.03,39.97 \scriptsize $\pm$ 0.82,39.43 \scriptsize $\pm$ 0.38,41.30 \scriptsize $\pm$ 0.47,37.63 \scriptsize $\pm$ 0.30,41.87 \scriptsize $\pm$ 0.48,38.30 \scriptsize $\pm$ 0.49,37.37 \scriptsize $\pm$ 0.27,41.80 \scriptsize $\pm$ 0.95,36.90 \scriptsize $\pm$ 1.69,39.12 \scriptsize $\pm$ 0.04,most_distinct_script_5,americasnli,"[42, 66, 17, 23]","[39.089618422387424, 39.144611973392465, 39.07769575235859, 39.15689694650957]",0.02580569694605309,0.05346834670124687,0.037470760849765236
37.47 \scriptsize $\pm$ 0.58,41.13 \scriptsize $\pm$ 0.86,41.37 \scriptsize $\pm$ 0.57,39.60 \scriptsize $\pm$ 0.42,37.57 \scriptsize $\pm$ 1.49,41.97 \scriptsize $\pm$ 0.62,47.26 \scriptsize $\pm$ 1.48,39.30 \scriptsize $\pm$ 0.56,44.70 \scriptsize $\pm$ 0.27,38.70 \scriptsize $\pm$ 0.99,40.91 \scriptsize $\pm$ 0.25,most_family_en_10,americasnli,"[42, 66, 17, 23]","[40.93189426546671, 40.906646957378655, 41.199867541990926, 40.5872857701839]",0.7809255666306558,0.010546635160072646,0.2249481886959493
37.70 \scriptsize $\pm$ 1.06,40.70 \scriptsize $\pm$ 0.71,41.13 \scriptsize $\pm$ 1.42,39.47 \scriptsize $\pm$ 0.82,37.70 \scriptsize $\pm$ 0.99,42.41 \scriptsize $\pm$ 0.77,47.93 \scriptsize $\pm$ 0.80,39.23 \scriptsize $\pm$ 0.68,44.43 \scriptsize $\pm$ 0.56,38.90 \scriptsize $\pm$ 0.89,40.96 \scriptsize $\pm$ 0.63,most_family_en_20,americasnli,"[42, 66, 17, 23]","[40.57250902134689, 40.53504224454009, 40.853450429691456, 41.881557613437096]",0.7514625146876641,0.1864506338191057,0.4695593871722547
37.53 \scriptsize $\pm$ 0.59,39.90 \scriptsize $\pm$ 0.50,41.70 \scriptsize $\pm$ 0.80,39.73 \scriptsize $\pm$ 0.61,37.50 \scriptsize $\pm$ 1.07,41.33 \scriptsize $\pm$ 0.76,47.56 \scriptsize $\pm$ 1.47,39.30 \scriptsize $\pm$ 0.79,44.13 \scriptsize $\pm$ 0.66,37.53 \scriptsize $\pm$ 0.54,40.62 \scriptsize $\pm$ 0.26,most_family_en_25,americasnli,"[42, 66, 17, 23]","[40.650958653971564, 40.61402663652304, 40.932360622001944, 40.291216903612884]",0.7950973561141432,0.02775075087311927,0.5674619407186171
38.00 \scriptsize $\pm$ 2.14,39.93 \scriptsize $\pm$ 1.00,40.97 \scriptsize $\pm$ 1.26,39.00 \scriptsize $\pm$ 1.32,37.33 \scriptsize $\pm$ 1.50,40.55 \scriptsize $\pm$ 2.29,47.39 \scriptsize $\pm$ 0.86,37.30 \scriptsize $\pm$ 1.37,43.13 \scriptsize $\pm$ 0.93,38.50 \scriptsize $\pm$ 1.27,40.21 \scriptsize $\pm$ 0.80,most_family_en_5,americasnli,"[42, 66, 17, 23]","[40.30548584844137, 39.699813341448916, 41.308518180368964, 39.52958074286625]",0.52729941273719,0.5051513358421887,0.7207409804480834
36.60 \scriptsize $\pm$ 0.67,40.30 \scriptsize $\pm$ 0.23,40.63 \scriptsize $\pm$ 1.42,38.67 \scriptsize $\pm$ 0.68,37.83 \scriptsize $\pm$ 0.68,42.51 \scriptsize $\pm$ 2.02,48.09 \scriptsize $\pm$ 1.51,39.23 \scriptsize $\pm$ 1.62,43.60 \scriptsize $\pm$ 1.54,37.70 \scriptsize $\pm$ 1.74,40.52 \scriptsize $\pm$ 1.06,most_same_script_10,americasnli,"[42, 66, 17, 23]","[39.50414358795994, 40.97663116096401, 41.790929959566974, 39.79834992681477]",0.7755120872792706,0.25299424873252035,0.8822859291472765
37.47 \scriptsize $\pm$ 0.50,39.00 \scriptsize $\pm$ 0.17,40.43 \scriptsize $\pm$ 0.74,39.87 \scriptsize $\pm$ 0.82,37.30 \scriptsize $\pm$ 0.96,40.92 \scriptsize $\pm$ 1.04,39.71 \scriptsize $\pm$ 0.42,37.27 \scriptsize $\pm$ 0.23,43.20 \scriptsize $\pm$ 1.02,37.37 \scriptsize $\pm$ 0.89,39.25 \scriptsize $\pm$ 0.38,most_same_script_20,americasnli,"[42, 66, 17, 23]","[38.96802081068938, 39.68972247583438, 38.90157384461545, 39.451599495674095]",0.012991924546521092,0.14622114675428868,0.0650401205649394
37.30 \scriptsize $\pm$ 0.74,40.63 \scriptsize $\pm$ 0.69,40.33 \scriptsize $\pm$ 0.32,38.80 \scriptsize $\pm$ 1.04,37.83 \scriptsize $\pm$ 0.78,41.60 \scriptsize $\pm$ 1.46,47.26 \scriptsize $\pm$ 1.23,39.40 \scriptsize $\pm$ 0.91,43.87 \scriptsize $\pm$ 1.27,37.63 \scriptsize $\pm$ 0.33,40.47 \scriptsize $\pm$ 0.38,most_same_script_41,americasnli,"[42, 66, 17, 23]","[40.86830137820095, 40.69161485732504, 40.26725011956002, 40.036143356085965]",0.4633561211314788,0.17728112069137753,0.7885081193121373
38.50 \scriptsize $\pm$ 1.26,40.00 \scriptsize $\pm$ 0.78,39.93 \scriptsize $\pm$ 1.62,39.67 \scriptsize $\pm$ 0.56,37.73 \scriptsize $\pm$ 1.17,41.26 \scriptsize $\pm$ 1.97,47.29 \scriptsize $\pm$ 0.96,37.50 \scriptsize $\pm$ 1.82,43.47 \scriptsize $\pm$ 0.66,38.77 \scriptsize $\pm$ 1.32,40.41 \scriptsize $\pm$ 1.07,most_same_script_5,americasnli,"[42, 66, 17, 23]","[39.27430198687013, 39.73114270394041, 41.227683723896064, 41.41471559207571]",0.7116071620505914,0.5813782517430163,0.9978101222926461
37.33 \scriptsize $\pm$ 0.66,40.20 \scriptsize $\pm$ 0.49,41.90 \scriptsize $\pm$ 1.41,39.70 \scriptsize $\pm$ 0.50,38.53 \scriptsize $\pm$ 0.11,42.07 \scriptsize $\pm$ 0.65,47.26 \scriptsize $\pm$ 0.98,39.03 \scriptsize $\pm$ 0.99,44.33 \scriptsize $\pm$ 0.59,39.17 \scriptsize $\pm$ 0.62,40.95 \scriptsize $\pm$ 0.12,most_uriel_en_10,americasnli,"[42, 66, 17, 23]","[40.89345042969146, 41.09489384519513, 40.99900323174354, 40.825664101560804]",0.6592591698543365,0.025791962411515837,0.19637861831615402
37.63 \scriptsize $\pm$ 1.30,41.40 \scriptsize $\pm$ 0.95,40.90 \scriptsize $\pm$ 0.96,40.00 \scriptsize $\pm$ 0.39,38.73 \scriptsize $\pm$ 0.50,42.38 \scriptsize $\pm$ 1.06,47.43 \scriptsize $\pm$ 1.21,39.20 \scriptsize $\pm$ 1.10,43.97 \scriptsize $\pm$ 0.47,37.83 \scriptsize $\pm$ 1.37,40.95 \scriptsize $\pm$ 0.54,most_uriel_en_20,americasnli,"[42, 66, 17, 23]","[40.85228932075417, 40.24012289320754, 41.202718722374385, 41.493343477819806]",0.7884657523607617,0.13801812812547568,0.44400971905201786
37.20 \scriptsize $\pm$ 0.69,44.40 \scriptsize $\pm$ 0.54,40.07 \scriptsize $\pm$ 1.20,39.13 \scriptsize $\pm$ 0.83,37.43 \scriptsize $\pm$ 1.10,41.87 \scriptsize $\pm$ 0.90,47.36 \scriptsize $\pm$ 0.41,39.50 \scriptsize $\pm$ 1.60,44.60 \scriptsize $\pm$ 1.24,38.90 \scriptsize $\pm$ 1.14,41.05 \scriptsize $\pm$ 0.73,most_uriel_en_40,americasnli,"[42, 66, 17, 23]","[40.81283567381128, 41.53402953494775, 41.72055359911888, 40.11773227250988]",0.6549927156915989,0.0029640331627182994,0.17397715420551985
38.87 \scriptsize $\pm$ 1.34,39.77 \scriptsize $\pm$ 1.05,40.20 \scriptsize $\pm$ 0.41,39.97 \scriptsize $\pm$ 0.73,37.20 \scriptsize $\pm$ 1.67,42.75 \scriptsize $\pm$ 2.01,47.89 \scriptsize $\pm$ 0.67,39.20 \scriptsize $\pm$ 2.25,43.60 \scriptsize $\pm$ 1.44,38.77 \scriptsize $\pm$ 0.95,40.82 \scriptsize $\pm$ 0.97,most_uriel_en_5,americasnli,"[42, 66, 17, 23]","[40.19733721722243, 40.97420778806718, 42.12553425213396, 39.98761242264829]",0.9424491035896303,0.06370357338013502,0.533338516697103
37.20 \scriptsize $\pm$ 0.96,39.47 \scriptsize $\pm$ 1.77,38.97 \scriptsize $\pm$ 1.66,39.30 \scriptsize $\pm$ 0.87,37.50 \scriptsize $\pm$ 0.67,41.77 \scriptsize $\pm$ 0.82,42.61 \scriptsize $\pm$ 3.70,38.40 \scriptsize $\pm$ 1.14,42.67 \scriptsize $\pm$ 1.12,37.53 \scriptsize $\pm$ 2.01,39.54 \scriptsize $\pm$ 1.07,random_langs_with_seed_10,americasnli,"[42, 66, 17, 23]","[39.4246716809414, 41.06754112140052, 39.07812066142051, 38.59577148819617]",0.04001482773336585,0.4017039778017396,0.0890729526431517
37.13 \scriptsize $\pm$ 0.67,39.47 \scriptsize $\pm$ 1.42,39.23 \scriptsize $\pm$ 0.97,39.00 \scriptsize $\pm$ 0.77,36.67 \scriptsize $\pm$ 0.65,41.16 \scriptsize $\pm$ 1.03,43.22 \scriptsize $\pm$ 4.80,38.10 \scriptsize $\pm$ 1.17,42.07 \scriptsize $\pm$ 0.88,36.93 \scriptsize $\pm$ 0.78,39.30 \scriptsize $\pm$ 1.04,random_langs_with_seed_20,americasnli,"[42, 66, 17, 23]","[37.900350129704506, 39.864945292233664, 40.26670956335231, 39.15750590554034]",0.13945273893897858,0.22201518764613357,0.21174251957062445
36.77 \scriptsize $\pm$ 0.44,39.33 \scriptsize $\pm$ 0.80,39.30 \scriptsize $\pm$ 0.43,38.47 \scriptsize $\pm$ 1.20,36.97 \scriptsize $\pm$ 0.60,41.19 \scriptsize $\pm$ 0.62,44.85 \scriptsize $\pm$ 3.30,38.03 \scriptsize $\pm$ 0.58,43.27 \scriptsize $\pm$ 1.37,36.87 \scriptsize $\pm$ 0.60,39.50 \scriptsize $\pm$ 0.56,random_langs_with_seed_40,americasnli,"[42, 66, 17, 23]","[39.02346912453081, 40.18663826210455, 39.74472849006564, 39.063305363534916]",0.06059182488425091,0.10944473321409326,0.08827832276313802
36.83 \scriptsize $\pm$ 1.59,40.40 \scriptsize $\pm$ 0.84,39.43 \scriptsize $\pm$ 1.53,39.80 \scriptsize $\pm$ 0.96,37.43 \scriptsize $\pm$ 1.21,42.31 \scriptsize $\pm$ 1.49,42.18 \scriptsize $\pm$ 4.22,38.90 \scriptsize $\pm$ 0.76,43.10 \scriptsize $\pm$ 1.71,39.23 \scriptsize $\pm$ 2.75,39.96 \scriptsize $\pm$ 0.90,random_langs_with_seed_5,americasnli,"[42, 66, 17, 23]","[41.27912757416344, 39.74501079663203, 39.250441285161514, 39.574530672579456]",0.21436384097107988,0.9418496479928562,0.30540138433356934
37.97 \scriptsize $\pm$ 0.78,40.63 \scriptsize $\pm$ 0.67,40.70 \scriptsize $\pm$ 0.98,39.57 \scriptsize $\pm$ 0.58,37.47 \scriptsize $\pm$ 1.52,42.34 \scriptsize $\pm$ 0.68,46.66 \scriptsize $\pm$ 1.14,39.03 \scriptsize $\pm$ 0.73,44.40 \scriptsize $\pm$ 0.64,38.83 \scriptsize $\pm$ 1.47,40.76 \scriptsize $\pm$ 0.82,xt_afri,americasnli,"[42, 66, 17, 23]","[40.86675101082561, 41.734968044867614, 39.731689056997524, 40.70736286828108]",-1.0,0.2570848904196847,0.43087506626202876
37.27 \scriptsize $\pm$ 0.79,42.80 \scriptsize $\pm$ 2.24,40.33 \scriptsize $\pm$ 0.66,40.53 \scriptsize $\pm$ 0.97,36.87 \scriptsize $\pm$ 0.98,40.85 \scriptsize $\pm$ 0.52,40.51 \scriptsize $\pm$ 1.09,39.17 \scriptsize $\pm$ 0.58,43.63 \scriptsize $\pm$ 0.32,38.10 \scriptsize $\pm$ 1.40,40.01 \scriptsize $\pm$ 0.55,xt_only,americasnli,"[42, 66, 17, 23]","[39.9830500123183, 40.23684970218686, 40.54341521383128, 39.261357042447436]",0.2570848904196847,-1.0,0.27213112052796734
