final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_et_accuracy,final_eval_eu_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_id_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_kk_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_mr_accuracy,final_eval_nl_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_ta_accuracy,final_eval_te_accuracy,final_eval_th_accuracy,final_eval_tl_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_ur_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_bam_accuracy,final_eval_ewe_accuracy,final_eval_fon_accuracy,final_eval_hau_accuracy,final_eval_ibo_accuracy,final_eval_kin_accuracy,final_eval_lug_accuracy,final_eval_luo_accuracy,final_eval_mos_accuracy,final_eval_nya_accuracy,final_eval_sna_accuracy,final_eval_swa_accuracy,final_eval_tsn_accuracy,final_eval_twi_accuracy,final_eval_wol_accuracy,final_eval_xho_accuracy,final_eval_yor_accuracy,final_eval_zul_accuracy,final_eval_same_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
89.01 \scriptsize $\pm$ 0.21,77.21 \scriptsize $\pm$ 0.41,89.76 \scriptsize $\pm$ 0.12,88.44 \scriptsize $\pm$ 0.38,89.12 \scriptsize $\pm$ 0.23,89.27 \scriptsize $\pm$ 0.29,88.39 \scriptsize $\pm$ 0.77,78.60 \scriptsize $\pm$ 1.19,75.18 \scriptsize $\pm$ 0.32,87.18 \scriptsize $\pm$ 0.58,87.31 \scriptsize $\pm$ 0.28,84.28 \scriptsize $\pm$ 0.32,71.05 \scriptsize $\pm$ 0.70,85.36 \scriptsize $\pm$ 0.67,86.48 \scriptsize $\pm$ 0.24,90.82 \scriptsize $\pm$ 0.48,54.04 \scriptsize $\pm$ 1.44,83.17 \scriptsize $\pm$ 0.62,64.62 \scriptsize $\pm$ 0.16,86.74 \scriptsize $\pm$ 0.22,83.75 \scriptsize $\pm$ 1.72,90.26 \scriptsize $\pm$ 0.10,85.55 \scriptsize $\pm$ 0.31,90.73 \scriptsize $\pm$ 0.13,85.74 \scriptsize $\pm$ 0.36,90.56 \scriptsize $\pm$ 0.22,78.48 \scriptsize $\pm$ 0.37,87.48 \scriptsize $\pm$ 0.24,68.48 \scriptsize $\pm$ 0.56,71.15 \scriptsize $\pm$ 1.74,79.25 \scriptsize $\pm$ 0.23,87.36 \scriptsize $\pm$ 0.38,66.45 \scriptsize $\pm$ 0.55,65.06 \scriptsize $\pm$ 0.27,75.15 \scriptsize $\pm$ 1.02,44.44 \scriptsize $\pm$ 2.44,40.33 \scriptsize $\pm$ 1.26,27.37 \scriptsize $\pm$ 1.64,50.88 \scriptsize $\pm$ 0.18,31.51 \scriptsize $\pm$ 2.20,37.55 \scriptsize $\pm$ 1.10,34.57 \scriptsize $\pm$ 0.47,31.45 \scriptsize $\pm$ 1.09,39.98 \scriptsize $\pm$ 0.45,36.00 \scriptsize $\pm$ 0.92,35.85 \scriptsize $\pm$ 1.42,59.05 \scriptsize $\pm$ 0.66,31.93 \scriptsize $\pm$ 0.62,28.92 \scriptsize $\pm$ 1.11,31.16 \scriptsize $\pm$ 0.41,43.29 \scriptsize $\pm$ 0.72,26.52 \scriptsize $\pm$ 2.98,43.14 \scriptsize $\pm$ 0.98,96.15 \scriptsize $\pm$ 0.06,67.07 \scriptsize $\pm$ 0.29,abla_most_script_joshi45,xtreme_r.udpos,"[42, 66, 17, 23]","[67.37156685451939, 67.25665136679547, 66.78542075235967, 66.85257439545511]",0.0019218991322813247,0.5869108053246354,0.00032134880770207206
89.19 \scriptsize $\pm$ 0.16,77.44 \scriptsize $\pm$ 0.94,89.94 \scriptsize $\pm$ 0.38,88.54 \scriptsize $\pm$ 0.55,88.94 \scriptsize $\pm$ 0.58,89.67 \scriptsize $\pm$ 0.44,88.45 \scriptsize $\pm$ 0.43,77.69 \scriptsize $\pm$ 0.39,75.18 \scriptsize $\pm$ 0.74,87.27 \scriptsize $\pm$ 0.38,86.86 \scriptsize $\pm$ 0.45,84.54 \scriptsize $\pm$ 0.45,73.10 \scriptsize $\pm$ 0.60,85.40 \scriptsize $\pm$ 0.39,86.46 \scriptsize $\pm$ 0.14,90.80 \scriptsize $\pm$ 0.32,55.45 \scriptsize $\pm$ 0.77,83.60 \scriptsize $\pm$ 0.42,64.43 \scriptsize $\pm$ 0.22,86.88 \scriptsize $\pm$ 0.21,86.40 \scriptsize $\pm$ 0.65,90.25 \scriptsize $\pm$ 0.10,85.74 \scriptsize $\pm$ 0.40,90.80 \scriptsize $\pm$ 0.28,85.98 \scriptsize $\pm$ 0.35,90.73 \scriptsize $\pm$ 0.20,78.17 \scriptsize $\pm$ 0.96,87.66 \scriptsize $\pm$ 0.79,68.19 \scriptsize $\pm$ 0.40,70.97 \scriptsize $\pm$ 0.58,78.89 \scriptsize $\pm$ 0.18,87.92 \scriptsize $\pm$ 0.44,67.79 \scriptsize $\pm$ 0.39,65.54 \scriptsize $\pm$ 0.07,74.62 \scriptsize $\pm$ 0.37,43.18 \scriptsize $\pm$ 3.36,36.15 \scriptsize $\pm$ 4.29,24.82 \scriptsize $\pm$ 4.83,50.76 \scriptsize $\pm$ 0.27,34.97 \scriptsize $\pm$ 3.14,36.84 \scriptsize $\pm$ 4.50,33.85 \scriptsize $\pm$ 4.60,30.08 \scriptsize $\pm$ 4.78,38.01 \scriptsize $\pm$ 2.20,31.77 \scriptsize $\pm$ 5.17,33.00 \scriptsize $\pm$ 5.92,59.33 \scriptsize $\pm$ 0.56,29.91 \scriptsize $\pm$ 4.91,30.31 \scriptsize $\pm$ 3.17,32.24 \scriptsize $\pm$ 4.96,42.75 \scriptsize $\pm$ 1.07,26.91 \scriptsize $\pm$ 2.40,42.38 \scriptsize $\pm$ 1.17,96.16 \scriptsize $\pm$ 0.03,66.91 \scriptsize $\pm$ 1.18,abla_most_script_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[65.55819797440547, 67.23646877821653, 66.47385940875765, 68.35348171515433]",0.020564129208357332,0.5687902566670097,0.019269348670348307
89.19 \scriptsize $\pm$ 0.16,77.44 \scriptsize $\pm$ 0.94,89.94 \scriptsize $\pm$ 0.38,88.54 \scriptsize $\pm$ 0.55,88.94 \scriptsize $\pm$ 0.58,89.67 \scriptsize $\pm$ 0.44,88.45 \scriptsize $\pm$ 0.43,77.69 \scriptsize $\pm$ 0.39,75.18 \scriptsize $\pm$ 0.74,87.27 \scriptsize $\pm$ 0.38,86.86 \scriptsize $\pm$ 0.45,84.54 \scriptsize $\pm$ 0.45,73.10 \scriptsize $\pm$ 0.60,85.40 \scriptsize $\pm$ 0.39,86.46 \scriptsize $\pm$ 0.14,90.80 \scriptsize $\pm$ 0.32,55.45 \scriptsize $\pm$ 0.77,83.60 \scriptsize $\pm$ 0.42,64.43 \scriptsize $\pm$ 0.22,86.88 \scriptsize $\pm$ 0.21,86.40 \scriptsize $\pm$ 0.65,90.25 \scriptsize $\pm$ 0.10,85.74 \scriptsize $\pm$ 0.40,90.80 \scriptsize $\pm$ 0.28,85.98 \scriptsize $\pm$ 0.35,90.73 \scriptsize $\pm$ 0.20,78.17 \scriptsize $\pm$ 0.96,87.66 \scriptsize $\pm$ 0.79,68.19 \scriptsize $\pm$ 0.40,70.97 \scriptsize $\pm$ 0.58,78.89 \scriptsize $\pm$ 0.18,87.92 \scriptsize $\pm$ 0.44,67.79 \scriptsize $\pm$ 0.39,65.54 \scriptsize $\pm$ 0.07,74.62 \scriptsize $\pm$ 0.37,43.18 \scriptsize $\pm$ 3.36,36.15 \scriptsize $\pm$ 4.29,24.82 \scriptsize $\pm$ 4.83,50.76 \scriptsize $\pm$ 0.27,34.97 \scriptsize $\pm$ 3.14,36.84 \scriptsize $\pm$ 4.50,33.85 \scriptsize $\pm$ 4.60,30.08 \scriptsize $\pm$ 4.78,38.01 \scriptsize $\pm$ 2.20,31.77 \scriptsize $\pm$ 5.17,33.00 \scriptsize $\pm$ 5.92,59.33 \scriptsize $\pm$ 0.56,29.91 \scriptsize $\pm$ 4.91,30.31 \scriptsize $\pm$ 3.17,32.24 \scriptsize $\pm$ 4.96,42.75 \scriptsize $\pm$ 1.07,26.91 \scriptsize $\pm$ 2.40,42.38 \scriptsize $\pm$ 1.17,96.16 \scriptsize $\pm$ 0.03,66.91 \scriptsize $\pm$ 1.18,abla_most_script_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[65.55819797440547, 67.23646877821653, 66.47385940875765, 68.35348171515433]",0.020564129208357332,0.5687902566670097,0.019269348670348307
89.11 \scriptsize $\pm$ 0.15,76.41 \scriptsize $\pm$ 0.53,89.87 \scriptsize $\pm$ 0.28,88.39 \scriptsize $\pm$ 0.39,87.96 \scriptsize $\pm$ 1.19,89.67 \scriptsize $\pm$ 0.45,88.51 \scriptsize $\pm$ 0.24,76.68 \scriptsize $\pm$ 0.85,75.93 \scriptsize $\pm$ 0.80,87.10 \scriptsize $\pm$ 0.24,86.88 \scriptsize $\pm$ 0.32,84.16 \scriptsize $\pm$ 0.33,73.29 \scriptsize $\pm$ 2.88,85.64 \scriptsize $\pm$ 0.48,86.20 \scriptsize $\pm$ 0.27,90.75 \scriptsize $\pm$ 0.13,55.43 \scriptsize $\pm$ 0.68,83.05 \scriptsize $\pm$ 0.54,64.42 \scriptsize $\pm$ 0.54,86.87 \scriptsize $\pm$ 0.18,85.07 \scriptsize $\pm$ 1.21,90.26 \scriptsize $\pm$ 0.09,85.81 \scriptsize $\pm$ 0.49,90.85 \scriptsize $\pm$ 0.31,85.20 \scriptsize $\pm$ 0.75,90.58 \scriptsize $\pm$ 0.21,78.04 \scriptsize $\pm$ 0.62,86.65 \scriptsize $\pm$ 0.80,68.58 \scriptsize $\pm$ 0.57,70.96 \scriptsize $\pm$ 0.84,78.64 \scriptsize $\pm$ 0.29,87.24 \scriptsize $\pm$ 0.47,69.31 \scriptsize $\pm$ 3.62,65.63 \scriptsize $\pm$ 0.34,74.52 \scriptsize $\pm$ 0.60,43.44 \scriptsize $\pm$ 1.51,44.45 \scriptsize $\pm$ 0.71,34.81 \scriptsize $\pm$ 1.15,49.71 \scriptsize $\pm$ 0.20,41.27 \scriptsize $\pm$ 1.46,48.51 \scriptsize $\pm$ 3.03,49.64 \scriptsize $\pm$ 0.99,37.74 \scriptsize $\pm$ 0.96,39.18 \scriptsize $\pm$ 1.93,42.51 \scriptsize $\pm$ 0.75,46.80 \scriptsize $\pm$ 0.93,58.31 \scriptsize $\pm$ 0.82,35.87 \scriptsize $\pm$ 0.64,30.60 \scriptsize $\pm$ 0.89,37.57 \scriptsize $\pm$ 0.44,44.15 \scriptsize $\pm$ 1.56,37.96 \scriptsize $\pm$ 1.49,44.64 \scriptsize $\pm$ 1.67,96.10 \scriptsize $\pm$ 0.01,68.83 \scriptsize $\pm$ 0.40,abla_most_uriel_joshi2,xtreme_r.udpos,"[42, 66, 17, 23]","[69.03323137173011, 68.5287893384331, 68.46891437465946, 69.2969179653819]",0.11386068412701529,0.017620947456538194,0.02567768410635064
89.44 \scriptsize $\pm$ 0.20,76.35 \scriptsize $\pm$ 1.07,90.27 \scriptsize $\pm$ 0.48,88.65 \scriptsize $\pm$ 0.27,88.54 \scriptsize $\pm$ 0.67,89.48 \scriptsize $\pm$ 0.21,88.47 \scriptsize $\pm$ 0.38,78.37 \scriptsize $\pm$ 1.05,75.46 \scriptsize $\pm$ 0.33,87.28 \scriptsize $\pm$ 0.27,86.64 \scriptsize $\pm$ 0.10,84.31 \scriptsize $\pm$ 0.61,72.85 \scriptsize $\pm$ 1.89,85.21 \scriptsize $\pm$ 0.30,86.24 \scriptsize $\pm$ 0.20,90.73 \scriptsize $\pm$ 0.33,54.29 \scriptsize $\pm$ 1.20,83.98 \scriptsize $\pm$ 0.51,64.50 \scriptsize $\pm$ 0.20,86.72 \scriptsize $\pm$ 0.28,84.78 \scriptsize $\pm$ 0.65,90.40 \scriptsize $\pm$ 0.11,85.78 \scriptsize $\pm$ 0.17,90.63 \scriptsize $\pm$ 0.19,85.69 \scriptsize $\pm$ 0.22,90.71 \scriptsize $\pm$ 0.22,78.57 \scriptsize $\pm$ 0.39,87.93 \scriptsize $\pm$ 0.57,68.42 \scriptsize $\pm$ 0.52,73.23 \scriptsize $\pm$ 0.17,78.95 \scriptsize $\pm$ 0.32,87.74 \scriptsize $\pm$ 0.59,67.95 \scriptsize $\pm$ 1.32,65.42 \scriptsize $\pm$ 0.29,74.50 \scriptsize $\pm$ 0.54,41.65 \scriptsize $\pm$ 2.04,39.93 \scriptsize $\pm$ 2.69,27.58 \scriptsize $\pm$ 1.72,50.66 \scriptsize $\pm$ 0.27,36.41 \scriptsize $\pm$ 2.80,37.68 \scriptsize $\pm$ 1.48,36.43 \scriptsize $\pm$ 1.31,33.46 \scriptsize $\pm$ 1.40,38.97 \scriptsize $\pm$ 1.25,35.43 \scriptsize $\pm$ 2.05,36.70 \scriptsize $\pm$ 2.50,59.11 \scriptsize $\pm$ 0.44,32.23 \scriptsize $\pm$ 1.66,30.08 \scriptsize $\pm$ 0.71,34.82 \scriptsize $\pm$ 1.65,44.27 \scriptsize $\pm$ 0.62,28.46 \scriptsize $\pm$ 1.32,44.19 \scriptsize $\pm$ 1.15,96.14 \scriptsize $\pm$ 0.03,67.46 \scriptsize $\pm$ 0.36,abla_most_uriel_joshi3,xtreme_r.udpos,"[42, 66, 17, 23]","[67.20647758040462, 67.30981995147383, 67.32708548291048, 67.98549997883023]",0.00039802511324087836,0.660106479114934,0.0021820253555394587
89.58 \scriptsize $\pm$ 0.08,77.02 \scriptsize $\pm$ 1.27,90.03 \scriptsize $\pm$ 0.47,88.44 \scriptsize $\pm$ 0.22,88.58 \scriptsize $\pm$ 0.52,89.39 \scriptsize $\pm$ 0.20,88.92 \scriptsize $\pm$ 0.45,79.65 \scriptsize $\pm$ 0.75,74.95 \scriptsize $\pm$ 0.66,87.62 \scriptsize $\pm$ 0.40,86.78 \scriptsize $\pm$ 0.16,84.64 \scriptsize $\pm$ 0.55,72.06 \scriptsize $\pm$ 1.37,85.41 \scriptsize $\pm$ 0.28,86.33 \scriptsize $\pm$ 0.05,90.86 \scriptsize $\pm$ 0.26,54.79 \scriptsize $\pm$ 1.11,83.94 \scriptsize $\pm$ 0.45,64.50 \scriptsize $\pm$ 0.28,87.09 \scriptsize $\pm$ 0.14,85.81 \scriptsize $\pm$ 1.74,90.38 \scriptsize $\pm$ 0.04,85.72 \scriptsize $\pm$ 0.41,90.74 \scriptsize $\pm$ 0.12,85.75 \scriptsize $\pm$ 0.22,90.73 \scriptsize $\pm$ 0.25,78.61 \scriptsize $\pm$ 0.38,87.52 \scriptsize $\pm$ 0.30,68.08 \scriptsize $\pm$ 0.50,71.85 \scriptsize $\pm$ 0.23,79.14 \scriptsize $\pm$ 0.33,87.58 \scriptsize $\pm$ 0.74,67.15 \scriptsize $\pm$ 1.37,65.12 \scriptsize $\pm$ 0.15,73.91 \scriptsize $\pm$ 0.47,39.76 \scriptsize $\pm$ 1.17,38.70 \scriptsize $\pm$ 0.79,25.24 \scriptsize $\pm$ 1.01,50.93 \scriptsize $\pm$ 0.40,33.55 \scriptsize $\pm$ 2.58,38.45 \scriptsize $\pm$ 0.45,34.39 \scriptsize $\pm$ 0.85,31.83 \scriptsize $\pm$ 0.72,37.73 \scriptsize $\pm$ 0.28,35.61 \scriptsize $\pm$ 0.80,35.88 \scriptsize $\pm$ 1.28,59.08 \scriptsize $\pm$ 0.46,31.62 \scriptsize $\pm$ 0.97,28.21 \scriptsize $\pm$ 0.91,33.00 \scriptsize $\pm$ 0.84,44.49 \scriptsize $\pm$ 2.17,27.74 \scriptsize $\pm$ 0.73,43.78 \scriptsize $\pm$ 2.23,96.16 \scriptsize $\pm$ 0.02,67.13 \scriptsize $\pm$ 0.12,abla_most_uriel_joshi35,xtreme_r.udpos,"[42, 66, 17, 23]","[66.96304629870367, 67.14387840113055, 67.14568996513835, 67.25045910777624]",0.00025965909087986725,0.5429891671130268,0.00017785762365730526
89.00 \scriptsize $\pm$ 0.31,76.97 \scriptsize $\pm$ 0.30,89.89 \scriptsize $\pm$ 0.21,88.45 \scriptsize $\pm$ 0.28,88.58 \scriptsize $\pm$ 0.59,89.44 \scriptsize $\pm$ 0.30,88.62 \scriptsize $\pm$ 0.74,79.35 \scriptsize $\pm$ 1.16,75.10 \scriptsize $\pm$ 0.36,87.41 \scriptsize $\pm$ 0.61,87.34 \scriptsize $\pm$ 0.21,84.48 \scriptsize $\pm$ 0.53,71.77 \scriptsize $\pm$ 0.31,85.49 \scriptsize $\pm$ 0.26,86.50 \scriptsize $\pm$ 0.19,90.70 \scriptsize $\pm$ 0.35,54.14 \scriptsize $\pm$ 0.92,83.46 \scriptsize $\pm$ 0.71,64.70 \scriptsize $\pm$ 0.40,86.97 \scriptsize $\pm$ 0.34,84.04 \scriptsize $\pm$ 0.44,90.34 \scriptsize $\pm$ 0.12,85.70 \scriptsize $\pm$ 0.54,90.80 \scriptsize $\pm$ 0.16,85.71 \scriptsize $\pm$ 0.34,90.67 \scriptsize $\pm$ 0.12,78.45 \scriptsize $\pm$ 0.33,87.45 \scriptsize $\pm$ 0.51,68.33 \scriptsize $\pm$ 0.47,71.78 \scriptsize $\pm$ 0.27,79.34 \scriptsize $\pm$ 0.32,87.29 \scriptsize $\pm$ 0.53,66.87 \scriptsize $\pm$ 0.34,64.95 \scriptsize $\pm$ 0.25,74.89 \scriptsize $\pm$ 0.93,44.81 \scriptsize $\pm$ 2.35,40.00 \scriptsize $\pm$ 2.36,26.74 \scriptsize $\pm$ 1.75,51.03 \scriptsize $\pm$ 0.35,33.07 \scriptsize $\pm$ 3.01,38.58 \scriptsize $\pm$ 1.40,35.13 \scriptsize $\pm$ 1.30,31.51 \scriptsize $\pm$ 0.57,39.31 \scriptsize $\pm$ 0.72,36.34 \scriptsize $\pm$ 0.43,36.54 \scriptsize $\pm$ 0.65,59.19 \scriptsize $\pm$ 0.86,31.97 \scriptsize $\pm$ 0.57,29.16 \scriptsize $\pm$ 1.84,31.99 \scriptsize $\pm$ 0.88,44.14 \scriptsize $\pm$ 1.31,28.18 \scriptsize $\pm$ 2.59,43.99 \scriptsize $\pm$ 1.90,96.13 \scriptsize $\pm$ 0.05,67.27 \scriptsize $\pm$ 0.37,abla_most_uriel_joshi45,xtreme_r.udpos,"[42, 66, 17, 23]","[67.7416827479866, 67.1594776278601, 66.84934431892107, 67.343478604797]",0.0022452144110992355,0.9119726901772147,0.0012516753472310153
89.37 \scriptsize $\pm$ 0.17,76.48 \scriptsize $\pm$ 0.55,89.93 \scriptsize $\pm$ 0.06,88.48 \scriptsize $\pm$ 0.19,88.70 \scriptsize $\pm$ 0.25,89.43 \scriptsize $\pm$ 0.28,88.50 \scriptsize $\pm$ 0.38,78.76 \scriptsize $\pm$ 0.55,74.68 \scriptsize $\pm$ 0.46,87.13 \scriptsize $\pm$ 0.24,86.61 \scriptsize $\pm$ 0.28,84.28 \scriptsize $\pm$ 0.69,73.23 \scriptsize $\pm$ 2.17,85.15 \scriptsize $\pm$ 0.31,86.17 \scriptsize $\pm$ 0.20,90.58 \scriptsize $\pm$ 0.21,56.30 \scriptsize $\pm$ 1.76,83.95 \scriptsize $\pm$ 0.43,64.59 \scriptsize $\pm$ 0.35,86.86 \scriptsize $\pm$ 0.15,84.93 \scriptsize $\pm$ 1.11,90.38 \scriptsize $\pm$ 0.04,85.51 \scriptsize $\pm$ 0.21,90.72 \scriptsize $\pm$ 0.19,85.34 \scriptsize $\pm$ 0.35,90.59 \scriptsize $\pm$ 0.16,78.62 \scriptsize $\pm$ 0.42,87.27 \scriptsize $\pm$ 0.43,67.78 \scriptsize $\pm$ 0.41,72.26 \scriptsize $\pm$ 0.19,78.77 \scriptsize $\pm$ 0.19,87.62 \scriptsize $\pm$ 0.40,68.24 \scriptsize $\pm$ 1.92,64.94 \scriptsize $\pm$ 0.34,73.96 \scriptsize $\pm$ 0.73,42.91 \scriptsize $\pm$ 3.56,39.30 \scriptsize $\pm$ 2.00,30.60 \scriptsize $\pm$ 2.22,51.12 \scriptsize $\pm$ 0.10,38.97 \scriptsize $\pm$ 2.36,42.51 \scriptsize $\pm$ 1.77,39.07 \scriptsize $\pm$ 2.11,36.07 \scriptsize $\pm$ 2.87,39.82 \scriptsize $\pm$ 1.54,39.01 \scriptsize $\pm$ 2.36,39.47 \scriptsize $\pm$ 2.60,59.23 \scriptsize $\pm$ 0.17,32.74 \scriptsize $\pm$ 1.43,29.66 \scriptsize $\pm$ 2.04,36.61 \scriptsize $\pm$ 2.61,42.95 \scriptsize $\pm$ 1.35,38.19 \scriptsize $\pm$ 2.55,43.93 \scriptsize $\pm$ 2.90,96.12 \scriptsize $\pm$ 0.04,68.04 \scriptsize $\pm$ 0.55,abla_most_uriel_seen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.78288483329926, 67.61700602228154, 68.15150234241872, 67.62501474696316]",0.05718926571059839,0.13970096662701142,0.0044664824131704335
89.42 \scriptsize $\pm$ 0.18,77.07 \scriptsize $\pm$ 1.08,89.82 \scriptsize $\pm$ 0.23,88.34 \scriptsize $\pm$ 0.54,88.37 \scriptsize $\pm$ 0.42,89.19 \scriptsize $\pm$ 0.52,88.14 \scriptsize $\pm$ 0.52,78.89 \scriptsize $\pm$ 0.74,74.91 \scriptsize $\pm$ 0.57,87.01 \scriptsize $\pm$ 0.36,86.54 \scriptsize $\pm$ 0.45,84.10 \scriptsize $\pm$ 0.09,74.36 \scriptsize $\pm$ 1.81,84.81 \scriptsize $\pm$ 0.63,85.98 \scriptsize $\pm$ 0.20,90.49 \scriptsize $\pm$ 0.37,56.23 \scriptsize $\pm$ 1.16,83.76 \scriptsize $\pm$ 0.32,64.21 \scriptsize $\pm$ 0.11,86.76 \scriptsize $\pm$ 0.24,86.54 \scriptsize $\pm$ 0.37,90.39 \scriptsize $\pm$ 0.13,85.21 \scriptsize $\pm$ 0.68,90.52 \scriptsize $\pm$ 0.34,85.32 \scriptsize $\pm$ 0.36,90.42 \scriptsize $\pm$ 0.12,78.74 \scriptsize $\pm$ 0.32,87.31 \scriptsize $\pm$ 0.37,67.54 \scriptsize $\pm$ 0.31,71.76 \scriptsize $\pm$ 0.27,78.88 \scriptsize $\pm$ 0.31,87.38 \scriptsize $\pm$ 0.48,69.11 \scriptsize $\pm$ 1.73,64.63 \scriptsize $\pm$ 0.23,73.35 \scriptsize $\pm$ 0.98,41.13 \scriptsize $\pm$ 2.57,39.63 \scriptsize $\pm$ 2.26,28.38 \scriptsize $\pm$ 2.32,50.74 \scriptsize $\pm$ 0.42,34.26 \scriptsize $\pm$ 4.15,40.61 \scriptsize $\pm$ 1.13,36.85 \scriptsize $\pm$ 1.74,33.50 \scriptsize $\pm$ 1.92,39.99 \scriptsize $\pm$ 2.91,39.69 \scriptsize $\pm$ 0.55,37.47 \scriptsize $\pm$ 1.62,59.56 \scriptsize $\pm$ 0.63,33.79 \scriptsize $\pm$ 0.67,27.71 \scriptsize $\pm$ 1.36,33.33 \scriptsize $\pm$ 1.82,45.40 \scriptsize $\pm$ 1.98,30.07 \scriptsize $\pm$ 2.03,45.34 \scriptsize $\pm$ 1.86,96.12 \scriptsize $\pm$ 0.03,67.58 \scriptsize $\pm$ 0.54,abla_most_uriel_seen_xlmr,xtreme_r.udpos,"[42, 66, 17, 23]","[66.92224017018052, 67.37729838266381, 67.85579933213722, 68.14608305884929]",0.007536570100348018,0.3921398940735341,0.004929955783465406
88.61 \scriptsize $\pm$ 0.45,76.35 \scriptsize $\pm$ 0.88,89.73 \scriptsize $\pm$ 0.15,88.37 \scriptsize $\pm$ 0.27,88.39 \scriptsize $\pm$ 0.69,89.60 \scriptsize $\pm$ 0.18,88.52 \scriptsize $\pm$ 0.46,77.02 \scriptsize $\pm$ 0.71,75.57 \scriptsize $\pm$ 0.43,87.14 \scriptsize $\pm$ 0.17,86.86 \scriptsize $\pm$ 0.42,84.35 \scriptsize $\pm$ 0.34,72.78 \scriptsize $\pm$ 2.79,85.47 \scriptsize $\pm$ 0.20,85.99 \scriptsize $\pm$ 0.17,90.48 \scriptsize $\pm$ 0.29,54.97 \scriptsize $\pm$ 1.81,82.08 \scriptsize $\pm$ 0.29,64.57 \scriptsize $\pm$ 0.28,86.68 \scriptsize $\pm$ 0.37,84.34 \scriptsize $\pm$ 0.97,90.18 \scriptsize $\pm$ 0.21,85.53 \scriptsize $\pm$ 0.49,90.96 \scriptsize $\pm$ 0.11,85.16 \scriptsize $\pm$ 0.33,90.43 \scriptsize $\pm$ 0.25,77.54 \scriptsize $\pm$ 0.28,86.37 \scriptsize $\pm$ 0.31,68.52 \scriptsize $\pm$ 0.46,71.16 \scriptsize $\pm$ 0.50,77.89 \scriptsize $\pm$ 0.20,87.29 \scriptsize $\pm$ 0.45,68.47 \scriptsize $\pm$ 3.05,65.74 \scriptsize $\pm$ 0.51,74.18 \scriptsize $\pm$ 1.54,38.29 \scriptsize $\pm$ 1.49,52.39 \scriptsize $\pm$ 1.15,34.25 \scriptsize $\pm$ 2.17,50.73 \scriptsize $\pm$ 0.21,34.29 \scriptsize $\pm$ 0.82,43.02 \scriptsize $\pm$ 2.83,43.56 \scriptsize $\pm$ 1.34,42.37 \scriptsize $\pm$ 0.84,40.41 \scriptsize $\pm$ 2.23,42.24 \scriptsize $\pm$ 1.01,46.07 \scriptsize $\pm$ 1.21,58.64 \scriptsize $\pm$ 0.96,34.16 \scriptsize $\pm$ 0.81,34.49 \scriptsize $\pm$ 1.20,32.02 \scriptsize $\pm$ 1.68,43.83 \scriptsize $\pm$ 2.50,28.39 \scriptsize $\pm$ 3.53,42.78 \scriptsize $\pm$ 3.20,96.11 \scriptsize $\pm$ 0.02,68.25 \scriptsize $\pm$ 0.30,abla_most_uriel_unseen_mbert,xtreme_r.udpos,"[42, 66, 17, 23]","[68.34568197780057, 67.84280803727341, 68.54922071554576, 68.25007955202695]",0.030185692084546325,0.0119918481622088,0.0013560178487448604
