final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
22.51 \scriptsize $\pm$ 1.52,56.10 \scriptsize $\pm$ 0.66,39.31 \scriptsize $\pm$ 0.53,abla_most_uriel_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[40.10616651329301, 39.043649970903815, 39.08188854737829, 39.003209101154006]",0.25856149230411013,0.2576146278996097,0.3013511626190602
23.64 \scriptsize $\pm$ 0.78,55.06 \scriptsize $\pm$ 1.04,39.35 \scriptsize $\pm$ 0.35,abla_most_uriel_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[39.56101328290878, 38.857589295507395, 39.62916850215096, 39.35400491206401]",0.19487556469681666,0.16820537478602413,0.27834979745435046
22.78 \scriptsize $\pm$ 0.61,54.28 \scriptsize $\pm$ 1.62,38.53 \scriptsize $\pm$ 0.78,abla_most_uriel_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[37.44110592777319, 38.84052943936407, 38.572639174715206, 39.26813634573275]",0.027615571521371913,0.5815063972884955,0.022473174509491718
22.98 \scriptsize $\pm$ 1.45,54.58 \scriptsize $\pm$ 1.37,38.78 \scriptsize $\pm$ 1.10,abla_random_joshi2,masakha_unseen_pos,"[42, 66, 17, 23]","[37.279682868616824, 39.60541756085051, 38.647035664311545, 39.593189075542924]",0.03763535452468241,0.8954032988666425,0.016252439677720793
18.85 \scriptsize $\pm$ 0.23,55.68 \scriptsize $\pm$ 1.77,37.27 \scriptsize $\pm$ 0.97,abla_random_joshi3,masakha_unseen_pos,"[42, 66, 17, 23]","[36.449970316541226, 36.91088151092173, 37.0306027794726, 38.67261897119337]",0.00885409252942193,0.06473416684854594,0.021895047231818978
21.12 \scriptsize $\pm$ 1.18,55.46 \scriptsize $\pm$ 2.18,38.29 \scriptsize $\pm$ 1.36,abla_random_joshi35,masakha_unseen_pos,"[42, 66, 17, 23]","[37.56497125014084, 39.01202906981062, 36.79242116322655, 39.78998197228634]",0.0633290185936841,0.5440009973410587,0.06004243860858394
20.83 \scriptsize $\pm$ 1.40,54.87 \scriptsize $\pm$ 0.22,37.85 \scriptsize $\pm$ 0.78,abla_random_joshi45,masakha_unseen_pos,"[42, 66, 17, 23]","[38.3529798524999, 36.86049433624867, 38.5724794004972, 37.623152815719756]",0.06267646249341143,0.21089773948070406,0.07459299877116327
20.10 \scriptsize $\pm$ 1.23,55.36 \scriptsize $\pm$ 1.98,37.73 \scriptsize $\pm$ 0.71,abla_random_seen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[36.89700130565763, 38.31673773404692, 37.37667445539591, 38.332925309324324]",0.02312423973504007,0.028893939899573527,0.005934550269082658
21.88 \scriptsize $\pm$ 1.63,54.88 \scriptsize $\pm$ 1.41,38.38 \scriptsize $\pm$ 0.83,abla_random_seen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[37.3011199625708, 38.45283801905533, 38.45231263536547, 39.33198557782907]",0.018838123463348636,0.4340759830974776,0.030885973908179657
25.09 \scriptsize $\pm$ 1.98,54.29 \scriptsize $\pm$ 1.49,39.69 \scriptsize $\pm$ 0.73,abla_random_unseen_mbert,masakha_unseen_pos,"[42, 66, 17, 23]","[39.068115577963226, 39.036250697320895, 40.3447475650841, 40.301391895411044]",0.15049905297111663,0.11347186527337004,0.4350004008641981
24.83 \scriptsize $\pm$ 1.32,55.42 \scriptsize $\pm$ 1.20,40.12 \scriptsize $\pm$ 1.06,abla_random_unseen_xlmr,masakha_unseen_pos,"[42, 66, 17, 23]","[40.1431441689118, 38.940017678225544, 39.90957945180343, 41.50346545960652]",0.4007716554476641,0.12146369947579432,0.8532097245284889
25.76 \scriptsize $\pm$ 1.55,54.88 \scriptsize $\pm$ 1.14,40.32 \scriptsize $\pm$ 1.16,afri_only,masakha_unseen_pos,"[42, 66, 17, 23]","[38.92025749385704, 41.76660855875076, 40.323726459859905, 40.25916688022674]",0.5100591207306793,0.02764745606827353,-1.0
17.64 \scriptsize $\pm$ 0.99,55.02 \scriptsize $\pm$ 1.03,36.33 \scriptsize $\pm$ 0.18,baseline,masakha_unseen_pos,"[42, 66, 17, 23]","[36.217794627544414, 36.21359371713653, 36.29943925294988, 36.59569735803686]",0.01307935923134327,0.0016362704031835354,0.006696670052163409
19.27 \scriptsize $\pm$ 0.25,54.48 \scriptsize $\pm$ 0.59,36.88 \scriptsize $\pm$ 0.34,least_family_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[36.68269657885686, 37.16475914482851, 37.15683448755571, 36.50539685641491]",0.02357808074406744,0.0011480641556081068,0.0061962568057502745
21.33 \scriptsize $\pm$ 1.39,55.43 \scriptsize $\pm$ 1.10,38.38 \scriptsize $\pm$ 1.22,least_family_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[37.06637421171575, 37.74919955995589, 38.84380768964811, 39.84577843985399]",0.007284146515049786,0.6187033607872287,0.08275309460846324
19.37 \scriptsize $\pm$ 1.49,54.23 \scriptsize $\pm$ 0.66,36.80 \scriptsize $\pm$ 0.87,least_family_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[35.57496465247323, 37.21979272649032, 37.58299982744384, 36.813232114974795]",0.008621599263746595,0.010218771994468839,0.002584494352574546
18.19 \scriptsize $\pm$ 1.45,54.80 \scriptsize $\pm$ 1.74,36.49 \scriptsize $\pm$ 0.94,least_same_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[35.46545022157949, 37.29592082315216, 35.91830865143132, 37.282355848101986]",0.009501794133671998,0.008245963155128008,0.0018721651107953114
24.66 \scriptsize $\pm$ 0.36,56.21 \scriptsize $\pm$ 1.40,40.44 \scriptsize $\pm$ 0.86,least_same_script_20,masakha_unseen_pos,"[42, 66, 17, 23]","[39.37718009041666, 41.474622614736454, 40.53734386964174, 40.35143649113017]",0.5763960180132204,0.006170808957244809,0.5058487689337422
17.81 \scriptsize $\pm$ 1.47,53.46 \scriptsize $\pm$ 1.50,35.64 \scriptsize $\pm$ 1.25,least_same_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[34.802494452667936, 37.39900686073371, 35.6406800762241, 34.7069401141473]",0.018495009773402963,0.006733490951658247,0.000648260541568829
20.71 \scriptsize $\pm$ 0.85,54.96 \scriptsize $\pm$ 1.52,37.84 \scriptsize $\pm$ 1.05,least_uriel_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[38.107920028138686, 37.24131186666436, 36.81108020095739, 39.18680695054121]",0.05175951543642493,0.2514909912844183,0.07280826612531388
21.47 \scriptsize $\pm$ 0.64,54.85 \scriptsize $\pm$ 1.24,38.16 \scriptsize $\pm$ 0.88,least_uriel_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[37.21079211220882, 39.09697713512909, 37.62559477032212, 38.68697849911151]",0.040338436084467466,0.15958421622726074,0.005635395279107173
25.11 \scriptsize $\pm$ 0.99,55.53 \scriptsize $\pm$ 0.69,40.32 \scriptsize $\pm$ 0.59,least_uriel_en_40,masakha_unseen_pos,"[42, 66, 17, 23]","[39.6104821156801, 41.02733325199722, 40.47685493404952, 40.15421896921275]",0.5120664961153012,0.000946391438285274,0.999461308154265
19.79 \scriptsize $\pm$ 0.55,53.85 \scriptsize $\pm$ 0.91,36.82 \scriptsize $\pm$ 0.65,least_uriel_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[36.285556888574725, 37.36838202954021, 36.2307881578689, 37.39208043247167]",0.016141544224847353,0.004771956560795618,0.004110361380885048
21.19 \scriptsize $\pm$ 1.71,55.09 \scriptsize $\pm$ 0.80,38.14 \scriptsize $\pm$ 0.56,most_distinct_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[37.69642296904946, 38.560563986292465, 38.69165225484028, 37.6152785377049]",0.05696826959449054,0.0712890526714649,0.017352569783000045
20.31 \scriptsize $\pm$ 1.35,55.89 \scriptsize $\pm$ 1.70,38.10 \scriptsize $\pm$ 1.45,most_distinct_script_18,masakha_unseen_pos,"[42, 66, 17, 23]","[36.380713950661374, 39.46532651891016, 37.44548532469489, 39.12463678714141]",0.030954217609420718,0.3673165117479427,0.009974373736043322
21.66 \scriptsize $\pm$ 1.27,54.72 \scriptsize $\pm$ 0.65,38.19 \scriptsize $\pm$ 0.66,most_distinct_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[37.85708746052209, 38.559357762916825, 38.89818562125311, 37.4370604733612]",0.0689289331786023,0.16395906594261217,0.02664181982143615
22.23 \scriptsize $\pm$ 1.05,56.21 \scriptsize $\pm$ 0.40,39.22 \scriptsize $\pm$ 0.49,most_family_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[39.86963445789241, 39.291492169710274, 38.70550511136436, 39.01656824095035]",0.23381797111586497,0.260359436832658,0.22962133580741753
22.13 \scriptsize $\pm$ 0.72,55.91 \scriptsize $\pm$ 0.29,39.02 \scriptsize $\pm$ 0.25,most_family_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[38.97822674684895, 38.68566503988684, 39.25758692912168, 39.15954241585181]",0.11668783071676804,0.3619590047534234,0.14099624254533055
25.43 \scriptsize $\pm$ 0.89,55.51 \scriptsize $\pm$ 0.65,40.47 \scriptsize $\pm$ 0.48,most_family_en_25,masakha_unseen_pos,"[42, 66, 17, 23]","[39.80463154078944, 40.468087503761886, 40.903675923994456, 40.70690389865789]",0.5517382453096993,0.00446204447621415,0.7758644165240811
22.05 \scriptsize $\pm$ 0.93,56.02 \scriptsize $\pm$ 0.56,39.04 \scriptsize $\pm$ 0.35,most_family_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[39.526765463366246, 38.93379512016719, 38.68461643161815, 38.99769904974356]",0.17535919835306907,0.4063587526348509,0.17005566207059458
23.40 \scriptsize $\pm$ 1.19,56.18 \scriptsize $\pm$ 0.75,39.79 \scriptsize $\pm$ 0.24,most_same_script_10,masakha_unseen_pos,"[42, 66, 17, 23]","[39.956291099758474, 40.01998271674783, 39.67755921880253, 39.50471878039128]",0.3445284025081162,0.011916635587451733,0.42785129985037723
24.78 \scriptsize $\pm$ 1.17,55.14 \scriptsize $\pm$ 1.18,39.96 \scriptsize $\pm$ 0.80,most_same_script_20,masakha_unseen_pos,"[42, 66, 17, 23]","[39.10600941637271, 40.221663840918076, 39.57258611815957, 40.937398359847116]",0.23867359322427548,0.038980635786472186,0.5213082948151132
25.00 \scriptsize $\pm$ 1.05,56.70 \scriptsize $\pm$ 0.36,40.85 \scriptsize $\pm$ 0.63,most_same_script_41,masakha_unseen_pos,"[42, 66, 17, 23]","[40.39704699244755, 41.78125164992069, 40.62334270233994, 40.61087671481637]",0.924888294046784,0.0007346448591709917,0.19510988722896178
23.37 \scriptsize $\pm$ 1.70,55.25 \scriptsize $\pm$ 1.37,39.31 \scriptsize $\pm$ 0.63,most_same_script_5,masakha_unseen_pos,"[42, 66, 17, 23]","[38.64496579651421, 38.966494137380145, 40.055491457146054, 39.56578995626447]",0.1002430128442927,0.1909112404424811,0.19396260400117094
25.00 \scriptsize $\pm$ 1.43,55.56 \scriptsize $\pm$ 1.42,40.28 \scriptsize $\pm$ 0.94,most_uriel_en_10,masakha_unseen_pos,"[42, 66, 17, 23]","[40.157291384242946, 39.155816509875855, 41.45066367907111, 40.352459909769884]",0.503097083852157,0.07677327553889256,0.9684994068684181
23.76 \scriptsize $\pm$ 0.92,55.57 \scriptsize $\pm$ 0.63,39.67 \scriptsize $\pm$ 0.53,most_uriel_en_20,masakha_unseen_pos,"[42, 66, 17, 23]","[39.12374795309075, 40.075251641514555, 39.29372397083669, 40.168389215061794]",0.20874791993044275,0.017922550660708626,0.23071377816196154
24.54 \scriptsize $\pm$ 0.58,57.26 \scriptsize $\pm$ 1.08,40.90 \scriptsize $\pm$ 0.53,most_uriel_en_40,masakha_unseen_pos,"[42, 66, 17, 23]","[40.56584413555786, 40.624128618763685, 40.723408863260275, 41.69522330937143]",0.9513818849506499,0.007560309732997056,0.4262894915818265
24.22 \scriptsize $\pm$ 0.84,56.46 \scriptsize $\pm$ 1.34,40.34 \scriptsize $\pm$ 0.47,most_uriel_en_5,masakha_unseen_pos,"[42, 66, 17, 23]","[40.34755297004725, 40.96390000863068, 40.20161361596462, 39.84640890028183]",0.6063230392803776,0.0028474886452794354,0.9662711561100829
20.91 \scriptsize $\pm$ 0.68,56.71 \scriptsize $\pm$ 1.34,38.81 \scriptsize $\pm$ 0.97,random_langs_with_seed_10,masakha_unseen_pos,"[42, 66, 17, 23]","[37.55659893717614, 38.70765702538176, 39.882779125990695, 39.07986474061678]",0.034303444279100814,0.8605152297985904,0.07190038194467435
22.89 \scriptsize $\pm$ 1.15,57.51 \scriptsize $\pm$ 1.60,40.20 \scriptsize $\pm$ 0.89,random_langs_with_seed_20,masakha_unseen_pos,"[42, 66, 17, 23]","[39.73185726329852, 39.36208718444376, 41.39011788688779, 40.31358871375651]",0.4085427319110306,0.06618665588861732,0.8909720337831404
22.95 \scriptsize $\pm$ 1.26,57.53 \scriptsize $\pm$ 0.51,40.24 \scriptsize $\pm$ 0.66,random_langs_with_seed_40,masakha_unseen_pos,"[42, 66, 17, 23]","[40.00329062918742, 40.375315539686504, 39.50587246539794, 41.07976510483866]",0.47318137713313685,0.02312795443007389,0.9078896203930966
18.82 \scriptsize $\pm$ 2.37,56.81 \scriptsize $\pm$ 1.68,37.82 \scriptsize $\pm$ 1.86,random_langs_with_seed_5,masakha_unseen_pos,"[42, 66, 17, 23]","[37.361213780840096, 35.516310241573436, 38.450469474228825, 39.935948675109]",0.03280285476247157,0.44873450942439685,0.14862743428062078
24.69 \scriptsize $\pm$ 2.05,57.22 \scriptsize $\pm$ 2.12,40.95 \scriptsize $\pm$ 1.88,xt_afri,masakha_unseen_pos,"[42, 66, 17, 23]","[38.46362277877132, 40.65779851624737, 41.89863819971823, 42.79067205296742]",-1.0,0.08736013904683809,0.5100591207306793
21.87 \scriptsize $\pm$ 0.78,55.58 \scriptsize $\pm$ 0.82,38.72 \scriptsize $\pm$ 0.37,xt_only,masakha_unseen_pos,"[42, 66, 17, 23]","[38.314087785079664, 39.21628025583911, 38.703746155558825, 38.65228518298811]",0.08736013904683809,-1.0,0.02764745606827353
