final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
77.86 \scriptsize $\pm$ 5.35,81.70 \scriptsize $\pm$ 2.72,79.78 \scriptsize $\pm$ 3.48,most_distinct_script_5,masakha_unseen_ner,"[42, 66, 17, 23]","[74.7249035806004, 80.70120763424947, 81.02943702136096, 82.65939313987211]",0.2311159610724607,0.18085507565306908,0.013097223116642203
66.46 \scriptsize $\pm$ 5.99,77.61 \scriptsize $\pm$ 2.53,72.03 \scriptsize $\pm$ 2.24,most_family_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[69.08747654351725, 73.04318182866048, 74.33053642152049, 71.67770187559648]",0.6462615810268548,0.4888763058321201,0.17912983939110946
64.02 \scriptsize $\pm$ 9.02,79.22 \scriptsize $\pm$ 3.55,71.62 \scriptsize $\pm$ 5.10,most_family_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[68.9236370457972, 68.69683965678612, 69.62095447713367, 79.24869519712666]",0.5548404490397991,0.5876553679031657,0.3537992943219868
68.19 \scriptsize $\pm$ 4.25,81.29 \scriptsize $\pm$ 1.85,74.74 \scriptsize $\pm$ 3.03,most_family_en_25,masakha_unseen_ner,"[42, 66, 17, 23]","[77.14895961565948, 77.35272988505747, 71.17203457036022, 73.28287740155193]",0.8713987832817074,0.5994807112415713,0.18476141461810375
61.53 \scriptsize $\pm$ 7.58,77.76 \scriptsize $\pm$ 3.43,69.64 \scriptsize $\pm$ 5.08,most_family_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[63.48943709052013, 75.90829466183474, 70.05752601537178, 69.12082710900867]",0.4949681173302152,0.315592560943092,0.2136380953215769
61.03 \scriptsize $\pm$ 12.89,77.30 \scriptsize $\pm$ 4.91,69.16 \scriptsize $\pm$ 8.63,most_same_script_10,masakha_unseen_ner,"[42, 66, 17, 23]","[67.48538724520611, 70.26517928360329, 58.974519459083126, 79.92316272920499]",0.4864044261429326,0.42106194321063645,0.7205521980674896
71.06 \scriptsize $\pm$ 13.91,83.02 \scriptsize $\pm$ 2.48,77.04 \scriptsize $\pm$ 7.32,most_same_script_20,masakha_unseen_ner,"[42, 66, 17, 23]","[72.00909817604234, 80.74201442199077, 85.46924059781179, 69.92632243845988]",0.6043656147185705,0.5109530671677405,0.06865162209903714
69.63 \scriptsize $\pm$ 18.98,81.21 \scriptsize $\pm$ 3.28,75.42 \scriptsize $\pm$ 8.60,most_same_script_41,masakha_unseen_ner,"[42, 66, 17, 23]","[72.41575549469549, 82.9314292663135, 81.7133894444675, 64.614593274963]",0.8354610925240121,0.7567507913037319,0.15412836091733034
67.37 \scriptsize $\pm$ 12.45,75.81 \scriptsize $\pm$ 1.59,71.59 \scriptsize $\pm$ 6.99,most_same_script_5,masakha_unseen_ner,"[42, 66, 17, 23]","[77.81537010526026, 77.12532014929158, 63.707645775988865, 67.72730887865333]",0.7379127565177908,0.4204120328263582,0.5036707238915749
76.40 \scriptsize $\pm$ 7.58,80.24 \scriptsize $\pm$ 3.70,78.32 \scriptsize $\pm$ 2.96,most_uriel_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[74.90924012522419, 77.29663604068404, 81.90198360005718, 79.16461062238636]",0.2529808021522269,0.23192109936268743,0.03572237162016792
70.99 \scriptsize $\pm$ 8.66,80.33 \scriptsize $\pm$ 2.80,75.66 \scriptsize $\pm$ 5.33,most_uriel_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[80.19531700254967, 80.0890035202014, 72.73150885698345, 69.61544335634028]",0.7739865030942867,0.35422574585173283,0.20135008024664033
64.94 \scriptsize $\pm$ 11.47,78.15 \scriptsize $\pm$ 2.31,71.54 \scriptsize $\pm$ 5.72,most_uriel_en_40,masakha_unseen_ner,"[42, 66, 17, 23]","[65.5645332793892, 70.42456377858002, 79.32690844710015, 70.85219073175006]",0.5623948450291779,0.5849817903981572,0.2398398092576989
64.00 \scriptsize $\pm$ 17.12,75.66 \scriptsize $\pm$ 4.96,69.83 \scriptsize $\pm$ 10.38,most_uriel_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[62.99969368254101, 77.95915488655592, 79.42722813533067, 58.9381993720348]",0.608856791929322,0.5000923468520158,0.5631435908205771
56.21 \scriptsize $\pm$ 11.23,79.72 \scriptsize $\pm$ 3.88,67.97 \scriptsize $\pm$ 4.55,random_langs_with_seed_10,masakha_unseen_ner,"[42, 66, 17, 23]","[74.51635124325122, 67.50627619403295, 65.45571133656998, 64.38850044492395]",0.2571990350446106,0.004927009863149277,0.8798497095543453
68.84 \scriptsize $\pm$ 9.22,81.48 \scriptsize $\pm$ 3.53,75.16 \scriptsize $\pm$ 4.85,random_langs_with_seed_20,masakha_unseen_ner,"[42, 66, 17, 23]","[76.71080029830651, 69.56030333208847, 73.39741794265322, 80.9683867703132]",0.6573689641843921,0.743355072475399,0.22288030383605456
63.50 \scriptsize $\pm$ 10.56,79.13 \scriptsize $\pm$ 4.98,71.32 \scriptsize $\pm$ 3.94,random_langs_with_seed_40,masakha_unseen_ner,"[42, 66, 17, 23]","[76.36726224232449, 71.39950770202543, 70.73331045317694, 66.76034419362722]",0.5731126632169125,0.007008853947844678,0.4825936826232785
54.84 \scriptsize $\pm$ 10.48,76.34 \scriptsize $\pm$ 10.37,65.59 \scriptsize $\pm$ 9.90,random_langs_with_seed_5,masakha_unseen_ner,"[42, 66, 17, 23]","[72.73600276175591, 55.55340297661037, 58.737413032352656, 75.34254677464718]",0.14650894214150367,0.20363117420931995,0.8702747676212408
69.24 \scriptsize $\pm$ 9.32,78.60 \scriptsize $\pm$ 4.66,73.92 \scriptsize $\pm$ 6.86,xt_afri,masakha_unseen_ner,"[66, 17, 23, 42]","[63.85507870312738, 79.14127372735614, 76.96716178864038, 75.72207785246968]",-1.0,0.9880973155237274,0.3391885878192441
66.75 \scriptsize $\pm$ 7.64,81.22 \scriptsize $\pm$ 1.61,73.99 \scriptsize $\pm$ 3.25,xt_only,masakha_unseen_ner,"[42, 66, 17, 23]","[78.28038046760815, 74.19772201243943, 72.95815063787802, 70.5093874918738]",0.9880973155237274,-1.0,0.26587882816101555
