final_eval_af_f1,final_eval_ar_f1,final_eval_az_f1,final_eval_bg_f1,final_eval_bn_f1,final_eval_de_f1,final_eval_el_f1,final_eval_es_f1,final_eval_et_f1,final_eval_eu_f1,final_eval_fa_f1,final_eval_fi_f1,final_eval_fr_f1,final_eval_gu_f1,final_eval_he_f1,final_eval_hi_f1,final_eval_hu_f1,final_eval_id_f1,final_eval_it_f1,final_eval_ja_f1,final_eval_jv_f1,final_eval_ka_f1,final_eval_kk_f1,final_eval_ko_f1,final_eval_lt_f1,final_eval_ml_f1,final_eval_mr_f1,final_eval_ms_f1,final_eval_my_f1,final_eval_nl_f1,final_eval_pa_f1,final_eval_pl_f1,final_eval_pt_f1,final_eval_qu_f1,final_eval_ro_f1,final_eval_ru_f1,final_eval_ta_f1,final_eval_te_f1,final_eval_th_f1,final_eval_tl_f1,final_eval_tr_f1,final_eval_uk_f1,final_eval_ur_f1,final_eval_vi_f1,final_eval_zh_f1,final_eval_bam_f1,final_eval_ewe_f1,final_eval_fon_f1,final_eval_hau_f1,final_eval_ibo_f1,final_eval_kin_f1,final_eval_lug_f1,final_eval_luo_f1,final_eval_mos_f1,final_eval_nya_f1,final_eval_sna_f1,final_eval_swa_f1,final_eval_tsn_f1,final_eval_twi_f1,final_eval_wol_f1,final_eval_xho_f1,final_eval_yor_f1,final_eval_zul_f1,final_eval_same_f1,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
74.44 \scriptsize $\pm$ 1.24,53.74 \scriptsize $\pm$ 0.97,64.35 \scriptsize $\pm$ 0.82,76.42 \scriptsize $\pm$ 0.14,65.99 \scriptsize $\pm$ 1.43,73.11 \scriptsize $\pm$ 0.44,73.06 \scriptsize $\pm$ 1.76,73.95 \scriptsize $\pm$ 3.75,70.34 \scriptsize $\pm$ 0.96,55.16 \scriptsize $\pm$ 2.10,49.05 \scriptsize $\pm$ 1.44,74.83 \scriptsize $\pm$ 1.00,75.83 \scriptsize $\pm$ 0.80,54.90 \scriptsize $\pm$ 1.40,50.69 \scriptsize $\pm$ 0.43,66.54 \scriptsize $\pm$ 0.89,77.27 \scriptsize $\pm$ 1.13,46.79 \scriptsize $\pm$ 0.91,76.85 \scriptsize $\pm$ 0.35,19.56 \scriptsize $\pm$ 1.85,57.23 \scriptsize $\pm$ 0.65,65.49 \scriptsize $\pm$ 1.21,45.26 \scriptsize $\pm$ 1.56,49.41 \scriptsize $\pm$ 1.58,72.20 \scriptsize $\pm$ 0.42,62.39 \scriptsize $\pm$ 0.76,61.32 \scriptsize $\pm$ 4.19,65.42 \scriptsize $\pm$ 1.21,57.55 \scriptsize $\pm$ 2.31,79.31 \scriptsize $\pm$ 0.31,46.80 \scriptsize $\pm$ 3.94,76.64 \scriptsize $\pm$ 0.50,76.30 \scriptsize $\pm$ 0.98,60.23 \scriptsize $\pm$ 2.18,74.65 \scriptsize $\pm$ 3.62,63.60 \scriptsize $\pm$ 0.73,54.33 \scriptsize $\pm$ 1.04,47.91 \scriptsize $\pm$ 1.64,3.69 \scriptsize $\pm$ 0.50,72.00 \scriptsize $\pm$ 0.84,77.04 \scriptsize $\pm$ 1.21,73.97 \scriptsize $\pm$ 1.71,58.09 \scriptsize $\pm$ 1.79,68.53 \scriptsize $\pm$ 1.72,31.63 \scriptsize $\pm$ 2.15,19.85 \scriptsize $\pm$ 6.00,43.09 \scriptsize $\pm$ 4.81,17.58 \scriptsize $\pm$ 2.65,52.72 \scriptsize $\pm$ 1.76,37.63 \scriptsize $\pm$ 4.29,29.12 \scriptsize $\pm$ 4.14,44.43 \scriptsize $\pm$ 6.82,37.18 \scriptsize $\pm$ 4.04,29.00 \scriptsize $\pm$ 7.80,27.22 \scriptsize $\pm$ 5.77,16.37 \scriptsize $\pm$ 3.49,56.29 \scriptsize $\pm$ 3.89,31.85 \scriptsize $\pm$ 5.75,15.11 \scriptsize $\pm$ 4.14,24.60 \scriptsize $\pm$ 4.45,12.81 \scriptsize $\pm$ 1.18,17.57 \scriptsize $\pm$ 3.20,25.46 \scriptsize $\pm$ 2.08,81.91 \scriptsize $\pm$ 0.16,53.02 \scriptsize $\pm$ 1.29,abla_most_family_joshi2,wikiann,"[42, 66, 17, 23]","[52.742714060583836, 51.7342962287386, 54.819983186941975, 52.80269527638968]",0.006942106478341424,0.01673208462920256,0.001855092025904261
74.67 \scriptsize $\pm$ 1.09,48.82 \scriptsize $\pm$ 4.13,62.67 \scriptsize $\pm$ 0.64,77.00 \scriptsize $\pm$ 0.75,71.14 \scriptsize $\pm$ 0.89,72.37 \scriptsize $\pm$ 0.60,74.33 \scriptsize $\pm$ 1.08,75.33 \scriptsize $\pm$ 2.46,71.69 \scriptsize $\pm$ 1.22,60.58 \scriptsize $\pm$ 1.43,51.65 \scriptsize $\pm$ 5.12,74.27 \scriptsize $\pm$ 0.91,76.66 \scriptsize $\pm$ 0.49,59.05 \scriptsize $\pm$ 2.34,52.43 \scriptsize $\pm$ 0.90,68.10 \scriptsize $\pm$ 0.51,76.89 \scriptsize $\pm$ 0.38,47.84 \scriptsize $\pm$ 0.95,77.56 \scriptsize $\pm$ 0.23,19.87 \scriptsize $\pm$ 1.57,57.37 \scriptsize $\pm$ 2.49,66.48 \scriptsize $\pm$ 0.81,48.01 \scriptsize $\pm$ 3.76,48.82 \scriptsize $\pm$ 1.46,73.34 \scriptsize $\pm$ 0.92,61.78 \scriptsize $\pm$ 0.96,62.76 \scriptsize $\pm$ 3.66,61.79 \scriptsize $\pm$ 6.90,63.20 \scriptsize $\pm$ 2.91,79.58 \scriptsize $\pm$ 0.59,53.62 \scriptsize $\pm$ 3.11,76.84 \scriptsize $\pm$ 0.38,78.18 \scriptsize $\pm$ 1.48,61.46 \scriptsize $\pm$ 0.76,71.15 \scriptsize $\pm$ 3.10,65.12 \scriptsize $\pm$ 1.01,57.16 \scriptsize $\pm$ 1.15,50.25 \scriptsize $\pm$ 1.02,3.20 \scriptsize $\pm$ 0.56,72.82 \scriptsize $\pm$ 1.13,76.54 \scriptsize $\pm$ 0.95,74.18 \scriptsize $\pm$ 3.42,57.01 \scriptsize $\pm$ 6.65,70.88 \scriptsize $\pm$ 0.75,31.13 \scriptsize $\pm$ 1.45,12.17 \scriptsize $\pm$ 2.56,28.39 \scriptsize $\pm$ 3.06,15.84 \scriptsize $\pm$ 0.65,49.10 \scriptsize $\pm$ 1.40,21.29 \scriptsize $\pm$ 6.23,18.85 \scriptsize $\pm$ 2.00,29.80 \scriptsize $\pm$ 2.59,16.81 \scriptsize $\pm$ 1.74,12.88 \scriptsize $\pm$ 3.68,16.37 \scriptsize $\pm$ 2.46,11.06 \scriptsize $\pm$ 1.13,53.25 \scriptsize $\pm$ 3.73,18.76 \scriptsize $\pm$ 1.14,8.25 \scriptsize $\pm$ 1.77,15.04 \scriptsize $\pm$ 3.32,11.33 \scriptsize $\pm$ 1.20,13.38 \scriptsize $\pm$ 3.22,23.28 \scriptsize $\pm$ 0.31,81.86 \scriptsize $\pm$ 0.26,51.15 \scriptsize $\pm$ 0.83,abla_most_family_joshi3,wikiann,"[42, 66, 17, 23]","[50.648629190644726, 52.30353065611408, 51.16696392429145, 50.461371927144846]",0.0005240335466466436,2.6144971974723657e-06,0.03552551972452054
74.91 \scriptsize $\pm$ 0.68,49.18 \scriptsize $\pm$ 3.08,63.12 \scriptsize $\pm$ 1.84,77.31 \scriptsize $\pm$ 0.21,71.74 \scriptsize $\pm$ 0.93,72.64 \scriptsize $\pm$ 0.44,74.39 \scriptsize $\pm$ 0.99,75.32 \scriptsize $\pm$ 2.79,72.20 \scriptsize $\pm$ 0.74,59.38 \scriptsize $\pm$ 1.41,51.38 \scriptsize $\pm$ 3.29,75.43 \scriptsize $\pm$ 1.00,76.97 \scriptsize $\pm$ 0.28,57.67 \scriptsize $\pm$ 1.44,51.70 \scriptsize $\pm$ 1.55,67.96 \scriptsize $\pm$ 0.93,76.90 \scriptsize $\pm$ 0.93,48.09 \scriptsize $\pm$ 0.95,77.59 \scriptsize $\pm$ 0.53,20.23 \scriptsize $\pm$ 2.03,57.38 \scriptsize $\pm$ 3.29,66.56 \scriptsize $\pm$ 1.25,48.26 \scriptsize $\pm$ 2.28,48.86 \scriptsize $\pm$ 0.97,72.84 \scriptsize $\pm$ 1.08,61.64 \scriptsize $\pm$ 2.42,64.88 \scriptsize $\pm$ 2.15,56.74 \scriptsize $\pm$ 5.91,62.60 \scriptsize $\pm$ 2.15,79.48 \scriptsize $\pm$ 0.59,50.65 \scriptsize $\pm$ 5.21,77.32 \scriptsize $\pm$ 0.45,78.54 \scriptsize $\pm$ 0.48,61.52 \scriptsize $\pm$ 1.37,72.58 \scriptsize $\pm$ 2.35,66.22 \scriptsize $\pm$ 1.82,56.23 \scriptsize $\pm$ 1.74,49.49 \scriptsize $\pm$ 1.60,3.44 \scriptsize $\pm$ 1.42,72.74 \scriptsize $\pm$ 0.64,76.21 \scriptsize $\pm$ 1.41,74.44 \scriptsize $\pm$ 1.04,55.88 \scriptsize $\pm$ 7.02,70.27 \scriptsize $\pm$ 0.82,32.30 \scriptsize $\pm$ 1.76,20.01 \scriptsize $\pm$ 2.41,36.12 \scriptsize $\pm$ 7.13,34.10 \scriptsize $\pm$ 4.24,51.01 \scriptsize $\pm$ 0.14,31.49 \scriptsize $\pm$ 2.29,21.20 \scriptsize $\pm$ 3.93,32.00 \scriptsize $\pm$ 7.69,16.50 \scriptsize $\pm$ 2.04,20.58 \scriptsize $\pm$ 3.13,20.31 \scriptsize $\pm$ 6.26,13.62 \scriptsize $\pm$ 3.44,55.84 \scriptsize $\pm$ 1.99,21.10 \scriptsize $\pm$ 4.64,11.46 \scriptsize $\pm$ 3.51,19.71 \scriptsize $\pm$ 3.60,11.82 \scriptsize $\pm$ 0.68,22.57 \scriptsize $\pm$ 2.33,23.65 \scriptsize $\pm$ 3.47,81.93 \scriptsize $\pm$ 0.06,52.44 \scriptsize $\pm$ 0.68,abla_most_family_joshi35,wikiann,"[42, 66, 17, 23]","[53.371002684660596, 52.46229260517627, 52.154055072380594, 51.77512280349029]",0.0064205690557083495,0.00203487508169605,0.10024026570933212
74.93 \scriptsize $\pm$ 0.69,49.89 \scriptsize $\pm$ 2.56,63.08 \scriptsize $\pm$ 0.59,77.18 \scriptsize $\pm$ 0.40,71.81 \scriptsize $\pm$ 0.82,72.06 \scriptsize $\pm$ 0.91,74.43 \scriptsize $\pm$ 1.74,75.12 \scriptsize $\pm$ 1.63,71.58 \scriptsize $\pm$ 1.10,58.30 \scriptsize $\pm$ 1.31,50.75 \scriptsize $\pm$ 4.45,74.93 \scriptsize $\pm$ 0.91,76.82 \scriptsize $\pm$ 0.29,56.95 \scriptsize $\pm$ 3.06,52.55 \scriptsize $\pm$ 1.03,67.91 \scriptsize $\pm$ 0.68,77.27 \scriptsize $\pm$ 0.84,48.61 \scriptsize $\pm$ 0.99,77.51 \scriptsize $\pm$ 0.39,21.47 \scriptsize $\pm$ 2.07,57.88 \scriptsize $\pm$ 3.01,67.28 \scriptsize $\pm$ 1.49,44.74 \scriptsize $\pm$ 2.20,48.91 \scriptsize $\pm$ 0.45,72.62 \scriptsize $\pm$ 0.70,62.65 \scriptsize $\pm$ 0.95,62.23 \scriptsize $\pm$ 1.81,63.68 \scriptsize $\pm$ 4.33,62.01 \scriptsize $\pm$ 2.13,79.39 \scriptsize $\pm$ 0.61,57.60 \scriptsize $\pm$ 5.01,77.12 \scriptsize $\pm$ 0.46,78.42 \scriptsize $\pm$ 0.92,60.86 \scriptsize $\pm$ 1.96,73.68 \scriptsize $\pm$ 3.35,66.52 \scriptsize $\pm$ 0.79,56.20 \scriptsize $\pm$ 0.23,50.69 \scriptsize $\pm$ 1.44,5.65 \scriptsize $\pm$ 1.72,73.36 \scriptsize $\pm$ 0.89,75.73 \scriptsize $\pm$ 1.06,74.85 \scriptsize $\pm$ 1.85,58.90 \scriptsize $\pm$ 3.56,71.63 \scriptsize $\pm$ 0.73,33.52 \scriptsize $\pm$ 3.30,32.32 \scriptsize $\pm$ 2.35,53.79 \scriptsize $\pm$ 2.10,55.01 \scriptsize $\pm$ 4.04,53.50 \scriptsize $\pm$ 1.20,46.49 \scriptsize $\pm$ 0.25,37.49 \scriptsize $\pm$ 0.50,53.23 \scriptsize $\pm$ 1.58,35.29 \scriptsize $\pm$ 1.68,36.66 \scriptsize $\pm$ 2.63,33.66 \scriptsize $\pm$ 1.70,20.04 \scriptsize $\pm$ 1.29,55.60 \scriptsize $\pm$ 1.93,33.93 \scriptsize $\pm$ 0.94,30.16 \scriptsize $\pm$ 3.26,39.95 \scriptsize $\pm$ 1.40,12.04 \scriptsize $\pm$ 0.74,34.06 \scriptsize $\pm$ 1.71,24.51 \scriptsize $\pm$ 1.34,81.89 \scriptsize $\pm$ 0.21,56.23 \scriptsize $\pm$ 0.43,abla_most_family_seen_mbert,wikiann,"[42, 66, 17, 23]","[55.683072323562186, 56.65562644164318, 56.47887183519306, 56.114311083412964]",0.04242359093581672,0.029632086395005627,0.03870246781332205
74.64 \scriptsize $\pm$ 0.53,54.96 \scriptsize $\pm$ 4.74,61.97 \scriptsize $\pm$ 1.00,76.87 \scriptsize $\pm$ 0.21,70.50 \scriptsize $\pm$ 1.15,72.77 \scriptsize $\pm$ 0.52,73.77 \scriptsize $\pm$ 1.72,76.75 \scriptsize $\pm$ 2.09,71.58 \scriptsize $\pm$ 0.27,59.90 \scriptsize $\pm$ 0.44,50.29 \scriptsize $\pm$ 6.13,75.61 \scriptsize $\pm$ 0.76,76.73 \scriptsize $\pm$ 0.57,55.60 \scriptsize $\pm$ 2.56,52.38 \scriptsize $\pm$ 1.49,67.35 \scriptsize $\pm$ 1.00,77.00 \scriptsize $\pm$ 1.00,48.39 \scriptsize $\pm$ 1.20,77.46 \scriptsize $\pm$ 0.15,20.62 \scriptsize $\pm$ 1.11,57.26 \scriptsize $\pm$ 1.11,66.80 \scriptsize $\pm$ 0.41,48.18 \scriptsize $\pm$ 1.73,48.68 \scriptsize $\pm$ 0.77,72.30 \scriptsize $\pm$ 0.64,62.65 \scriptsize $\pm$ 1.09,64.04 \scriptsize $\pm$ 1.52,62.83 \scriptsize $\pm$ 5.67,62.23 \scriptsize $\pm$ 3.24,79.76 \scriptsize $\pm$ 0.64,54.73 \scriptsize $\pm$ 4.74,77.33 \scriptsize $\pm$ 0.65,78.49 \scriptsize $\pm$ 0.92,59.78 \scriptsize $\pm$ 0.65,75.19 \scriptsize $\pm$ 2.14,64.64 \scriptsize $\pm$ 0.73,56.46 \scriptsize $\pm$ 0.57,50.65 \scriptsize $\pm$ 2.48,4.38 \scriptsize $\pm$ 0.54,73.26 \scriptsize $\pm$ 0.72,76.10 \scriptsize $\pm$ 1.39,74.19 \scriptsize $\pm$ 1.06,56.84 \scriptsize $\pm$ 6.69,68.99 \scriptsize $\pm$ 0.85,33.37 \scriptsize $\pm$ 0.79,26.71 \scriptsize $\pm$ 6.58,49.94 \scriptsize $\pm$ 5.33,42.15 \scriptsize $\pm$ 11.03,52.13 \scriptsize $\pm$ 0.62,39.97 \scriptsize $\pm$ 6.84,34.84 \scriptsize $\pm$ 5.47,53.40 \scriptsize $\pm$ 5.97,26.91 \scriptsize $\pm$ 7.60,32.02 \scriptsize $\pm$ 8.36,33.65 \scriptsize $\pm$ 4.10,21.56 \scriptsize $\pm$ 4.99,55.36 \scriptsize $\pm$ 3.51,30.95 \scriptsize $\pm$ 4.19,20.71 \scriptsize $\pm$ 11.10,33.27 \scriptsize $\pm$ 8.29,12.26 \scriptsize $\pm$ 0.78,25.25 \scriptsize $\pm$ 1.60,28.18 \scriptsize $\pm$ 2.04,81.71 \scriptsize $\pm$ 0.09,55.08 \scriptsize $\pm$ 1.52,abla_most_family_seen_xlmr,wikiann,"[42, 66, 17, 23]","[55.610923484742074, 56.98331435441863, 54.07557126896958, 53.65722398964729]",0.10810914283599936,0.02257924633253811,0.4725230454136955
73.78 \scriptsize $\pm$ 1.11,53.22 \scriptsize $\pm$ 1.63,62.12 \scriptsize $\pm$ 0.58,75.90 \scriptsize $\pm$ 0.32,67.65 \scriptsize $\pm$ 1.23,72.19 \scriptsize $\pm$ 0.36,71.36 \scriptsize $\pm$ 1.88,72.58 \scriptsize $\pm$ 3.28,70.18 \scriptsize $\pm$ 0.77,54.99 \scriptsize $\pm$ 2.23,50.06 \scriptsize $\pm$ 1.16,74.51 \scriptsize $\pm$ 0.28,76.23 \scriptsize $\pm$ 0.96,57.99 \scriptsize $\pm$ 3.46,49.76 \scriptsize $\pm$ 1.25,67.53 \scriptsize $\pm$ 1.48,76.19 \scriptsize $\pm$ 0.90,47.29 \scriptsize $\pm$ 1.06,76.81 \scriptsize $\pm$ 0.25,23.30 \scriptsize $\pm$ 1.84,57.11 \scriptsize $\pm$ 1.44,65.31 \scriptsize $\pm$ 0.27,44.14 \scriptsize $\pm$ 2.04,47.33 \scriptsize $\pm$ 0.88,71.46 \scriptsize $\pm$ 0.65,61.38 \scriptsize $\pm$ 1.18,63.78 \scriptsize $\pm$ 1.11,63.19 \scriptsize $\pm$ 3.79,59.09 \scriptsize $\pm$ 3.06,79.46 \scriptsize $\pm$ 0.45,44.86 \scriptsize $\pm$ 1.93,76.19 \scriptsize $\pm$ 0.12,76.19 \scriptsize $\pm$ 1.23,57.79 \scriptsize $\pm$ 2.28,71.40 \scriptsize $\pm$ 3.04,62.14 \scriptsize $\pm$ 1.03,53.65 \scriptsize $\pm$ 0.85,50.39 \scriptsize $\pm$ 1.99,6.66 \scriptsize $\pm$ 0.72,71.11 \scriptsize $\pm$ 1.80,75.51 \scriptsize $\pm$ 1.48,71.54 \scriptsize $\pm$ 0.49,62.01 \scriptsize $\pm$ 1.36,67.99 \scriptsize $\pm$ 1.93,34.01 \scriptsize $\pm$ 1.84,20.82 \scriptsize $\pm$ 2.41,52.60 \scriptsize $\pm$ 3.38,45.57 \scriptsize $\pm$ 4.83,53.76 \scriptsize $\pm$ 0.68,41.10 \scriptsize $\pm$ 4.01,31.99 \scriptsize $\pm$ 3.89,48.41 \scriptsize $\pm$ 5.70,37.57 \scriptsize $\pm$ 3.58,32.06 \scriptsize $\pm$ 8.33,29.99 \scriptsize $\pm$ 3.33,18.25 \scriptsize $\pm$ 1.72,55.61 \scriptsize $\pm$ 2.80,31.36 \scriptsize $\pm$ 2.56,31.99 \scriptsize $\pm$ 6.28,25.00 \scriptsize $\pm$ 5.85,11.73 \scriptsize $\pm$ 0.93,21.43 \scriptsize $\pm$ 3.89,23.85 \scriptsize $\pm$ 1.59,81.73 \scriptsize $\pm$ 0.15,54.10 \scriptsize $\pm$ 1.09,abla_most_family_unseen_mbert,wikiann,"[42, 66, 17, 23]","[54.17328697340279, 53.1805191685822, 53.43109809809948, 55.59868633856306]",0.0420846594663631,0.035617348523017754,0.9992264118499026
73.82 \scriptsize $\pm$ 0.84,48.28 \scriptsize $\pm$ 4.16,60.13 \scriptsize $\pm$ 0.50,75.97 \scriptsize $\pm$ 0.36,66.23 \scriptsize $\pm$ 1.94,72.00 \scriptsize $\pm$ 0.19,72.47 \scriptsize $\pm$ 0.86,71.10 \scriptsize $\pm$ 2.26,69.49 \scriptsize $\pm$ 1.02,51.66 \scriptsize $\pm$ 1.74,42.00 \scriptsize $\pm$ 2.09,74.43 \scriptsize $\pm$ 0.93,75.26 \scriptsize $\pm$ 0.46,60.20 \scriptsize $\pm$ 2.05,48.29 \scriptsize $\pm$ 0.23,66.85 \scriptsize $\pm$ 0.91,75.50 \scriptsize $\pm$ 1.25,48.11 \scriptsize $\pm$ 0.13,76.84 \scriptsize $\pm$ 0.42,23.33 \scriptsize $\pm$ 1.63,56.56 \scriptsize $\pm$ 1.02,62.95 \scriptsize $\pm$ 0.94,45.49 \scriptsize $\pm$ 1.15,44.90 \scriptsize $\pm$ 0.44,71.51 \scriptsize $\pm$ 0.52,57.11 \scriptsize $\pm$ 0.69,59.84 \scriptsize $\pm$ 1.73,66.37 \scriptsize $\pm$ 1.20,60.50 \scriptsize $\pm$ 2.74,78.88 \scriptsize $\pm$ 0.32,47.62 \scriptsize $\pm$ 4.77,76.29 \scriptsize $\pm$ 0.29,76.15 \scriptsize $\pm$ 1.24,61.13 \scriptsize $\pm$ 1.76,71.06 \scriptsize $\pm$ 1.31,61.17 \scriptsize $\pm$ 0.29,52.69 \scriptsize $\pm$ 0.70,47.26 \scriptsize $\pm$ 1.53,6.79 \scriptsize $\pm$ 0.50,70.11 \scriptsize $\pm$ 1.42,74.39 \scriptsize $\pm$ 0.61,72.07 \scriptsize $\pm$ 1.38,55.91 \scriptsize $\pm$ 5.23,66.90 \scriptsize $\pm$ 1.08,32.99 \scriptsize $\pm$ 2.09,21.47 \scriptsize $\pm$ 5.53,49.61 \scriptsize $\pm$ 5.18,42.42 \scriptsize $\pm$ 8.97,51.79 \scriptsize $\pm$ 1.22,37.86 \scriptsize $\pm$ 6.09,31.38 \scriptsize $\pm$ 3.87,50.96 \scriptsize $\pm$ 5.35,30.44 \scriptsize $\pm$ 5.32,29.74 \scriptsize $\pm$ 7.64,30.18 \scriptsize $\pm$ 4.46,18.63 \scriptsize $\pm$ 2.35,54.11 \scriptsize $\pm$ 2.11,28.94 \scriptsize $\pm$ 2.14,29.11 \scriptsize $\pm$ 6.36,29.34 \scriptsize $\pm$ 7.29,12.63 \scriptsize $\pm$ 0.56,31.66 \scriptsize $\pm$ 2.46,23.44 \scriptsize $\pm$ 0.50,81.55 \scriptsize $\pm$ 0.15,53.34 \scriptsize $\pm$ 0.98,abla_most_family_unseen_xlmr,wikiann,"[42, 66, 17, 23]","[54.601427979371415, 52.56409669920245, 53.641429186798895, 52.55756144170357]",0.017340830090480954,0.01171427256340598,0.2724827250269221
74.71 \scriptsize $\pm$ 0.48,54.29 \scriptsize $\pm$ 2.85,62.42 \scriptsize $\pm$ 1.71,76.19 \scriptsize $\pm$ 0.52,66.84 \scriptsize $\pm$ 0.61,72.30 \scriptsize $\pm$ 0.70,73.49 \scriptsize $\pm$ 0.53,74.61 \scriptsize $\pm$ 1.19,70.54 \scriptsize $\pm$ 1.00,57.49 \scriptsize $\pm$ 0.94,45.30 \scriptsize $\pm$ 3.49,75.44 \scriptsize $\pm$ 0.51,75.89 \scriptsize $\pm$ 0.32,55.21 \scriptsize $\pm$ 3.30,51.43 \scriptsize $\pm$ 1.93,66.19 \scriptsize $\pm$ 1.39,76.85 \scriptsize $\pm$ 1.08,47.06 \scriptsize $\pm$ 1.50,76.97 \scriptsize $\pm$ 0.21,19.23 \scriptsize $\pm$ 2.47,60.28 \scriptsize $\pm$ 1.80,66.27 \scriptsize $\pm$ 0.63,46.72 \scriptsize $\pm$ 2.44,50.80 \scriptsize $\pm$ 1.47,72.05 \scriptsize $\pm$ 0.64,63.32 \scriptsize $\pm$ 1.23,62.47 \scriptsize $\pm$ 0.55,65.69 \scriptsize $\pm$ 1.12,60.57 \scriptsize $\pm$ 1.93,78.93 \scriptsize $\pm$ 0.76,46.30 \scriptsize $\pm$ 3.49,76.51 \scriptsize $\pm$ 0.51,76.76 \scriptsize $\pm$ 0.66,61.43 \scriptsize $\pm$ 3.43,70.10 \scriptsize $\pm$ 3.58,63.18 \scriptsize $\pm$ 0.17,55.52 \scriptsize $\pm$ 0.86,48.19 \scriptsize $\pm$ 0.55,3.96 \scriptsize $\pm$ 1.13,71.66 \scriptsize $\pm$ 1.60,74.13 \scriptsize $\pm$ 1.16,72.56 \scriptsize $\pm$ 1.18,56.38 \scriptsize $\pm$ 2.78,69.31 \scriptsize $\pm$ 1.07,30.23 \scriptsize $\pm$ 2.14,30.79 \scriptsize $\pm$ 2.79,49.48 \scriptsize $\pm$ 1.97,43.57 \scriptsize $\pm$ 6.90,52.63 \scriptsize $\pm$ 0.54,41.03 \scriptsize $\pm$ 3.29,33.43 \scriptsize $\pm$ 4.58,50.73 \scriptsize $\pm$ 3.99,29.89 \scriptsize $\pm$ 7.03,23.33 \scriptsize $\pm$ 2.44,31.34 \scriptsize $\pm$ 3.61,19.52 \scriptsize $\pm$ 2.42,57.98 \scriptsize $\pm$ 1.52,31.64 \scriptsize $\pm$ 1.60,20.36 \scriptsize $\pm$ 4.36,28.24 \scriptsize $\pm$ 4.92,12.93 \scriptsize $\pm$ 1.04,33.49 \scriptsize $\pm$ 2.32,29.35 \scriptsize $\pm$ 1.40,81.89 \scriptsize $\pm$ 0.03,54.33 \scriptsize $\pm$ 0.30,abla_most_script_joshi2,wikiann,"[42, 66, 17, 23]","[54.37445742223188, 53.927771723143536, 54.397363249120055, 54.6387441180904]",0.012356278884901125,0.010805731099938166,0.6798416593442194
74.49 \scriptsize $\pm$ 0.89,48.95 \scriptsize $\pm$ 4.09,61.70 \scriptsize $\pm$ 1.57,77.18 \scriptsize $\pm$ 0.69,68.19 \scriptsize $\pm$ 2.02,71.67 \scriptsize $\pm$ 0.37,73.87 \scriptsize $\pm$ 1.42,74.61 \scriptsize $\pm$ 2.90,69.88 \scriptsize $\pm$ 1.59,58.89 \scriptsize $\pm$ 0.79,46.02 \scriptsize $\pm$ 3.11,74.17 \scriptsize $\pm$ 1.17,76.86 \scriptsize $\pm$ 1.15,56.63 \scriptsize $\pm$ 2.84,51.57 \scriptsize $\pm$ 0.73,65.87 \scriptsize $\pm$ 0.73,76.55 \scriptsize $\pm$ 0.83,47.68 \scriptsize $\pm$ 1.12,77.48 \scriptsize $\pm$ 0.29,20.52 \scriptsize $\pm$ 1.70,55.88 \scriptsize $\pm$ 2.51,65.18 \scriptsize $\pm$ 0.74,46.01 \scriptsize $\pm$ 1.69,48.07 \scriptsize $\pm$ 0.96,71.55 \scriptsize $\pm$ 1.08,59.50 \scriptsize $\pm$ 2.31,60.44 \scriptsize $\pm$ 2.45,64.65 \scriptsize $\pm$ 2.84,62.43 \scriptsize $\pm$ 1.41,79.16 \scriptsize $\pm$ 0.76,53.07 \scriptsize $\pm$ 6.47,76.61 \scriptsize $\pm$ 0.55,77.66 \scriptsize $\pm$ 1.60,60.19 \scriptsize $\pm$ 2.15,73.91 \scriptsize $\pm$ 2.74,66.90 \scriptsize $\pm$ 0.80,55.04 \scriptsize $\pm$ 0.93,48.61 \scriptsize $\pm$ 1.46,4.00 \scriptsize $\pm$ 1.44,72.41 \scriptsize $\pm$ 1.51,75.58 \scriptsize $\pm$ 1.28,75.81 \scriptsize $\pm$ 0.46,50.82 \scriptsize $\pm$ 3.23,69.95 \scriptsize $\pm$ 1.81,32.92 \scriptsize $\pm$ 1.27,11.44 \scriptsize $\pm$ 5.74,32.19 \scriptsize $\pm$ 7.98,21.16 \scriptsize $\pm$ 7.67,48.03 \scriptsize $\pm$ 1.87,26.03 \scriptsize $\pm$ 11.05,18.59 \scriptsize $\pm$ 3.10,26.46 \scriptsize $\pm$ 7.48,15.31 \scriptsize $\pm$ 2.31,15.32 \scriptsize $\pm$ 6.33,18.60 \scriptsize $\pm$ 5.59,11.30 \scriptsize $\pm$ 2.53,52.37 \scriptsize $\pm$ 4.51,19.17 \scriptsize $\pm$ 4.09,8.84 \scriptsize $\pm$ 2.84,16.12 \scriptsize $\pm$ 5.51,11.19 \scriptsize $\pm$ 0.89,19.82 \scriptsize $\pm$ 5.60,24.22 \scriptsize $\pm$ 1.98,81.95 \scriptsize $\pm$ 0.18,50.89 \scriptsize $\pm$ 1.63,abla_most_script_joshi3,wikiann,"[42, 66, 17, 23]","[48.60785257317341, 50.85962474490634, 52.10303423176538, 52.00768032766232]",0.0018530879367264315,0.005818092692568991,0.03053467827448146
