final_eval_bbj_accuracy,final_eval_pcm_accuracy,final_eval_avg_performance,exp,task,seeds,list_final_avg,p_val_xt_afri,p_val_xt_only,p_val_afri_only
53.29 \scriptsize $\pm$ 16.67,70.81 \scriptsize $\pm$ 2.06,62.05 \scriptsize $\pm$ 9.12,abla_most_uriel_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[55.39281157981847, 75.53097034578147, 59.00623967200799, 58.2607602196548]",0.07809898601622287,0.01642441262326036,0.47324960370222374
73.91 \scriptsize $\pm$ 8.42,64.54 \scriptsize $\pm$ 4.75,69.22 \scriptsize $\pm$ 3.41,abla_most_uriel_unseen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[69.20552663253308, 74.00562478950005, 67.4283046034727, 66.25229720040903]",0.12537241035232324,0.0015057254287782738,0.4154786273725116
79.91 \scriptsize $\pm$ 4.84,67.10 \scriptsize $\pm$ 7.73,73.51 \scriptsize $\pm$ 4.92,abla_most_uriel_unseen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[75.65298280001124, 78.15973193236863, 66.69124691125248, 73.523614723686]",0.44576744906026383,0.01996981652911133,0.1654050486607704
68.37 \scriptsize $\pm$ 15.95,74.10 \scriptsize $\pm$ 3.48,71.24 \scriptsize $\pm$ 9.53,abla_random_joshi2,masakha_unseen_ner,"[42, 66, 17, 23]","[57.29405087799584, 75.31092137044578, 73.63892385342432, 78.70164443191295]",0.20006324494457772,0.11193801839935377,0.5309150457800368
41.84 \scriptsize $\pm$ 26.95,72.07 \scriptsize $\pm$ 10.40,56.96 \scriptsize $\pm$ 15.69,abla_random_joshi3,masakha_unseen_ner,"[42, 66, 17, 23]","[74.50932904417948, 38.795855515712326, 50.189242705001256, 64.34272839849999]",0.08649333692523897,0.051531184639581194,0.291687218125411
52.44 \scriptsize $\pm$ 11.54,80.98 \scriptsize $\pm$ 2.71,66.71 \scriptsize $\pm$ 5.53,abla_random_joshi35,masakha_unseen_ner,"[42, 66, 17, 23]","[64.64730666085451, 74.42240109072694, 61.442017043985736, 66.31782759495314]",0.0847985408408379,0.006227781186592013,0.9963097517076183
58.04 \scriptsize $\pm$ 19.87,84.44 \scriptsize $\pm$ 3.39,71.24 \scriptsize $\pm$ 10.07,abla_random_joshi45,masakha_unseen_ner,"[42, 66, 17, 23]","[66.26414125659497, 78.27419746060411, 59.54210873659791, 80.88147019288571]",0.3149564442892394,0.10548960304783185,0.5600122859486166
44.61 \scriptsize $\pm$ 20.38,76.43 \scriptsize $\pm$ 3.90,60.52 \scriptsize $\pm$ 10.71,abla_random_seen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[62.39237297751065, 74.85955212207982, 51.031982026915415, 53.80580591316123]",0.10294786418553603,0.01953354929937104,0.38014244471183234
58.77 \scriptsize $\pm$ 18.93,72.84 \scriptsize $\pm$ 6.44,65.80 \scriptsize $\pm$ 10.77,abla_random_seen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[66.47465915263905, 64.1742046232886, 79.4065262626746, 53.16077926675766]",0.188709110679503,0.05965647562272468,0.8355162235114673
68.97 \scriptsize $\pm$ 6.06,66.90 \scriptsize $\pm$ 8.94,67.94 \scriptsize $\pm$ 4.19,abla_random_unseen_mbert,masakha_unseen_ner,"[42, 66, 17, 23]","[67.21723701303756, 71.56557110908787, 62.30665140463894, 70.65505360385217]",0.057678728217754396,0.003861175183850633,0.7699166992890576
66.08 \scriptsize $\pm$ 15.56,65.80 \scriptsize $\pm$ 4.79,65.94 \scriptsize $\pm$ 7.07,abla_random_unseen_xlmr,masakha_unseen_ner,"[42, 66, 17, 23]","[63.71587466147827, 62.07990198782434, 76.44815225483936, 61.50717040455649]",0.07304777633740432,0.025718280399750545,0.8063105754199241
63.99 \scriptsize $\pm$ 7.54,69.38 \scriptsize $\pm$ 5.19,66.69 \scriptsize $\pm$ 4.08,afri_only,masakha_unseen_ner,"[42, 66, 17, 23]","[70.38290314621878, 64.66934809256367, 69.7624541817232, 61.929554485509435]",0.07570061196423424,0.005771150474949267,-1.0
33.16 \scriptsize $\pm$ 21.26,74.23 \scriptsize $\pm$ 7.80,53.69 \scriptsize $\pm$ 9.13,baseline,masakha_unseen_ner,"[42, 66, 17, 23]","[49.46215270830518, 64.95597271465678, 43.823281293675635, 56.522060523658865]",0.02126900267961982,0.006158042276218378,0.12788916288792626
60.89 \scriptsize $\pm$ 14.65,81.13 \scriptsize $\pm$ 6.08,71.01 \scriptsize $\pm$ 9.38,least_family_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[59.72416232949463, 81.49598223372351, 67.78337979147875, 75.04217366844702]",0.28234359825807515,0.08812115408399276,0.5499378949002223
65.02 \scriptsize $\pm$ 15.53,75.24 \scriptsize $\pm$ 2.22,70.13 \scriptsize $\pm$ 7.21,least_family_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[68.31850792184575, 69.43752585501663, 62.75655448096069, 80.01188986405187]",0.09402891239459514,0.04512783088639779,0.5717617850465472
46.71 \scriptsize $\pm$ 12.01,82.37 \scriptsize $\pm$ 2.68,64.54 \scriptsize $\pm$ 6.94,least_family_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[65.97624522597148, 72.70230371281403, 63.596455477028705, 55.88259488811124]",0.11047259028100442,0.009672065335351749,0.5744107001896052
55.64 \scriptsize $\pm$ 20.39,81.75 \scriptsize $\pm$ 2.22,68.69 \scriptsize $\pm$ 9.99,least_same_script_10,masakha_unseen_ner,"[42, 66, 17, 23]","[54.7893715884752, 69.08125693965144, 78.15529625740766, 72.75086069136051]",0.12106677167761924,0.0850246483019648,0.7604305527978993
74.43 \scriptsize $\pm$ 0.81,68.87 \scriptsize $\pm$ 7.44,71.65 \scriptsize $\pm$ 4.09,least_same_script_20,masakha_unseen_ner,"[42, 66, 17, 23]","[77.43944968928491, 70.31297455587674, 71.00419218853519, 67.83427345168933]",0.27764354009845027,0.012610650303189952,0.030238259617709408
34.48 \scriptsize $\pm$ 15.63,79.12 \scriptsize $\pm$ 3.90,56.80 \scriptsize $\pm$ 8.61,least_same_script_5,masakha_unseen_ner,"[42, 66, 17, 23]","[50.76812711753267, 55.990465525160275, 51.230682935057956, 69.21386718781282]",0.005499839878444906,0.010673448591364416,0.21073876054136317
65.03 \scriptsize $\pm$ 17.78,75.53 \scriptsize $\pm$ 4.69,70.28 \scriptsize $\pm$ 10.24,least_uriel_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[55.74136395195159, 79.6235775456376, 71.84884631127835, 73.9107770404313]",0.24695357856638414,0.10025861921225228,0.6274270808640942
59.11 \scriptsize $\pm$ 6.76,78.45 \scriptsize $\pm$ 1.02,68.78 \scriptsize $\pm$ 3.39,least_uriel_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[70.96719801228458, 71.24142552028607, 68.98129584750734, 63.93190263515675]",0.12719179922848473,0.0022896071065065474,0.2810598366741102
63.40 \scriptsize $\pm$ 5.88,79.09 \scriptsize $\pm$ 3.05,71.25 \scriptsize $\pm$ 3.23,least_uriel_en_40,masakha_unseen_ner,"[42, 66, 17, 23]","[68.40251041840648, 75.24493017439727, 72.46907248297148, 68.87014145917465]",0.1637845729617767,0.004795431216049429,0.19087136602156693
59.26 \scriptsize $\pm$ 4.89,80.08 \scriptsize $\pm$ 3.65,69.67 \scriptsize $\pm$ 2.58,least_uriel_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[67.0666545452006, 72.99991982021791, 68.33893839021421, 70.27617001778435]",0.06134476995959366,0.0013881702962982708,0.4087532880155024
62.21 \scriptsize $\pm$ 15.58,73.81 \scriptsize $\pm$ 7.24,68.01 \scriptsize $\pm$ 11.15,most_distinct_script_10,masakha_unseen_ner,"[42, 66, 17, 23]","[54.578370947997946, 77.63418213066544, 63.09874596642521, 76.71847632402833]",0.1631795558356265,0.08026536322709056,0.8712776953535042
48.75 \scriptsize $\pm$ 19.61,71.74 \scriptsize $\pm$ 3.39,60.25 \scriptsize $\pm$ 11.33,most_distinct_script_18,masakha_unseen_ner,"[42, 66, 17, 23]","[50.69903091697801, 70.41186845287874, 69.69908924993175, 50.17718482538522]",0.08544419797089181,0.029183065716573253,0.342240683466594
44.83 \scriptsize $\pm$ 19.43,69.16 \scriptsize $\pm$ 9.00,56.99 \scriptsize $\pm$ 12.53,most_distinct_script_5,masakha_unseen_ner,"[42, 66, 17, 23]","[39.04000119036384, 58.56497602326604, 67.628106502071, 62.735848204392525]",0.028300896883403818,0.031194425938751175,0.2790534656625869
47.17 \scriptsize $\pm$ 10.97,71.64 \scriptsize $\pm$ 4.72,59.40 \scriptsize $\pm$ 6.61,most_family_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[57.02960142736029, 67.5473083137817, 61.115541340381725, 51.91527156088157]",0.03990162833718629,0.004556062528526712,0.13095485473597157
55.93 \scriptsize $\pm$ 12.21,75.02 \scriptsize $\pm$ 3.44,65.48 \scriptsize $\pm$ 6.16,most_family_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[72.00472182997235, 69.25155777175932, 58.92207444540609, 61.72294451296405]",0.10783119848230294,0.007368149014127411,0.742330234814093
49.38 \scriptsize $\pm$ 5.53,75.88 \scriptsize $\pm$ 4.01,62.63 \scriptsize $\pm$ 3.79,most_family_en_25,masakha_unseen_ner,"[42, 66, 17, 23]","[66.80649325538435, 59.330742594197474, 59.50929284635536, 64.86849458631109]",0.015500868147208498,0.0023714091384131404,0.23346636840672366
47.65 \scriptsize $\pm$ 11.54,64.97 \scriptsize $\pm$ 3.31,56.31 \scriptsize $\pm$ 4.57,most_family_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[56.37969352039087, 55.23452265929333, 51.29238981430388, 62.3408605907754]",0.00254420113348462,0.001618640103041639,0.08267572421611069
80.11 \scriptsize $\pm$ 5.26,76.29 \scriptsize $\pm$ 3.04,78.20 \scriptsize $\pm$ 3.07,most_same_script_10,masakha_unseen_ner,"[42, 66, 17, 23]","[80.81183983417424, 73.79521116240952, 79.59632330692045, 78.59619248221807]",0.6780265697786021,0.13540608896955053,0.007006924717768533
62.56 \scriptsize $\pm$ 11.45,78.07 \scriptsize $\pm$ 2.85,70.32 \scriptsize $\pm$ 4.87,most_same_script_20,masakha_unseen_ner,"[42, 66, 17, 23]","[65.40164657174893, 69.67370400417768, 69.15532249282178, 77.03125467488492]",0.006462948301365138,0.02183780610269439,0.46398978528976137
75.15 \scriptsize $\pm$ 4.27,79.36 \scriptsize $\pm$ 2.39,77.25 \scriptsize $\pm$ 1.39,most_same_script_41,masakha_unseen_ner,"[42, 66, 17, 23]","[75.4981658274217, 78.85886215311193, 77.07138701028589, 77.58734054458057]",0.9266848523686615,0.007181249297080316,0.026099279875355486
71.21 \scriptsize $\pm$ 7.43,69.83 \scriptsize $\pm$ 8.10,70.52 \scriptsize $\pm$ 1.84,most_same_script_5,masakha_unseen_ner,"[42, 66, 17, 23]","[69.05800608418153, 69.81274801515798, 73.21055960362548, 69.99032124639936]",0.057607547168915085,0.0036370548690380215,0.14629252731794765
77.10 \scriptsize $\pm$ 4.92,77.01 \scriptsize $\pm$ 3.82,77.05 \scriptsize $\pm$ 1.56,most_uriel_en_10,masakha_unseen_ner,"[42, 66, 17, 23]","[75.5974436455937, 76.52120715194687, 76.82619640375579, 79.2634205675268]",0.9902197170371334,0.02281100194157988,0.03149802145223166
62.00 \scriptsize $\pm$ 7.84,72.20 \scriptsize $\pm$ 6.38,67.10 \scriptsize $\pm$ 6.32,most_uriel_en_20,masakha_unseen_ner,"[42, 66, 17, 23]","[72.42211445521346, 59.99683317089159, 72.42407890792511, 63.55257298298196]",0.10015504365882866,0.023138823911394393,0.8246368601913023
75.63 \scriptsize $\pm$ 5.83,74.11 \scriptsize $\pm$ 5.03,74.87 \scriptsize $\pm$ 4.93,most_uriel_en_40,masakha_unseen_ner,"[42, 66, 17, 23]","[67.61280827652678, 78.40928918172608, 77.3744701103034, 76.08475845448233]",0.45502004683405683,0.06510819319888782,0.12973095739122897
76.85 \scriptsize $\pm$ 8.86,66.66 \scriptsize $\pm$ 7.43,71.76 \scriptsize $\pm$ 4.06,most_uriel_en_5,masakha_unseen_ner,"[42, 66, 17, 23]","[65.85352787517556, 73.03969274005549, 73.00938010553492, 75.1285951726966]",0.0406095113650363,0.019520224411897186,0.2733066668127604
55.31 \scriptsize $\pm$ 8.78,75.48 \scriptsize $\pm$ 6.82,65.39 \scriptsize $\pm$ 7.79,random_langs_with_seed_10,masakha_unseen_ner,"[42, 66, 17, 23]","[71.74727649813664, 54.34990501755017, 65.64744725576608, 69.83197098177405]",0.05656910404648575,0.02950497380555022,0.7613249499027579
74.75 \scriptsize $\pm$ 8.99,76.74 \scriptsize $\pm$ 2.58,75.75 \scriptsize $\pm$ 5.35,random_langs_with_seed_20,masakha_unseen_ner,"[42, 66, 17, 23]","[79.87822315196173, 73.88081853595114, 80.22010471357815, 69.01559360619574]",0.7933625379417266,0.10196826176499549,0.0010407984968622338
66.13 \scriptsize $\pm$ 2.09,79.47 \scriptsize $\pm$ 2.95,72.80 \scriptsize $\pm$ 2.52,random_langs_with_seed_40,masakha_unseen_ner,"[42, 66, 17, 23]","[74.7121188649413, 70.82932738740827, 75.22215853967856, 70.4382898213064]",0.25310385494608445,0.009505468170348837,0.006169078517751278
59.09 \scriptsize $\pm$ 11.05,72.42 \scriptsize $\pm$ 6.47,65.75 \scriptsize $\pm$ 8.63,random_langs_with_seed_5,masakha_unseen_ner,"[42, 66, 17, 23]","[66.86039149516427, 54.65283563823779, 65.79182387894217, 75.70770574154511]",0.033939300119321156,0.04111177633611035,0.867100463075247
75.26 \scriptsize $\pm$ 9.56,78.81 \scriptsize $\pm$ 1.17,77.03 \scriptsize $\pm$ 4.55,xt_afri,masakha_unseen_ner,"[66, 17, 23, 42]","[74.08225590349673, 78.12436057184362, 82.98312963568395, 72.93643252056086]",-1.0,0.1528991988997277,0.07570061196423424
83.86 \scriptsize $\pm$ 1.76,80.67 \scriptsize $\pm$ 2.20,82.26 \scriptsize $\pm$ 1.23,xt_only,masakha_unseen_ner,"[42, 66, 17, 23]","[82.68953116642265, 83.79192100443132, 81.0420860248658, 81.53052809165776]",0.1528991988997277,-1.0,0.005771150474949267
