seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,udpos,before_dico,1970,24544,392704,392704,0.10250243544578552,0,0.10250243544578552,0.8947468837445942,0.8725877796112944,0.8876699260672549,0.873165960221715,0.8641742669782166,0.8856433184302037,0.6819934091898278,0.897895516985815,0.901227177491769,0.8431749519362812,0.7500921036473044,0.8806800227516905,0.8771606137114003,0.6549105078924774,0.721337849280271,0.8534788017992152,0.8674137158225012,0.5431947214976216,0.6583882846621564,0.8710361356932154,0.9195087766134953,0.8547639434290945,0.8403004572175049,0.8687821612349914,0.8721348906647932,0.866180981595092,0.868224763799105,0.9186271941315169,0.6532295006871278,0.676014694023833,0.7230090550267008,0.862473036786568,0.6398996235884568,0.7312078581536668,0.811009673069611,0.9667335142149345,0.8947468837445942,0.8725877796112944,0.8876699260672549,0.873165960221715,0.8641742669782166,0.8856433184302037,0.6819934091898278,0.897895516985815,0.901227177491769,0.8431749519362812,0.7500921036473044,0.8806800227516905,0.8771606137114003,0.6549105078924774,0.721337849280271,0.8534788017992152,0.8674137158225012,0.5431947214976216,0.6583882846621564,0.8710361356932154,0.9195087766134953,0.8547639434290945,0.8403004572175049,0.8687821612349914,0.8721348906647932,0.866180981595092,0.868224763799105,0.9186271941315169,0.6532295006871278,0.676014694023833,0.7230090550267008,0.862473036786568,0.6398996235884568,0.7312078581536668,0.811009673069611,0.9667335142149345
42,xlm-roberta-base,udpos,before_dico,1970,24544,392704,392704,0.10076052695512772,0,0.10076052695512772,0.8936021368608497,0.8754984873487349,0.8931552587646077,0.8723508314313662,0.8625913921760759,0.8905116741182315,0.6826773611888329,0.8968441372653786,0.9030230469919186,0.8388721047331319,0.7440746653567482,0.8854199582885672,0.8753155952612157,0.630341456971138,0.7131809201241885,0.8550100488084984,0.8701030927835052,0.5787172011661808,0.6534212554594502,0.8696533923303835,0.9220116131615831,0.8630310903776315,0.8416364823941571,0.8727640284244058,0.8799508211117941,0.8743098159509203,0.864530794913689,0.9222425988996594,0.6614750343563903,0.6746259295762028,0.7281750638495472,0.8674867370139334,0.638728565453785,0.7406975776242404,0.8128244167804982,0.9681097872675082,0.8936021368608497,0.8754984873487349,0.8931552587646077,0.8723508314313662,0.8625913921760759,0.8905116741182315,0.6826773611888329,0.8968441372653786,0.9030230469919186,0.8388721047331319,0.7440746653567482,0.8854199582885672,0.8753155952612157,0.630341456971138,0.7131809201241885,0.8550100488084984,0.8701030927835052,0.5787172011661808,0.6534212554594502,0.8696533923303835,0.9220116131615831,0.8630310903776315,0.8416364823941571,0.8727640284244058,0.8799508211117941,0.8743098159509203,0.864530794913689,0.9222425988996594,0.6614750343563903,0.6746259295762028,0.7281750638495472,0.8674867370139334,0.638728565453785,0.7406975776242404,0.8128244167804982,0.9681097872675082
66,xlm-roberta-base,udpos,before_dico,1970,24544,392704,392704,0.0974775180220604,0,0.0974775180220604,0.8937929280081405,0.8714819398606527,0.894168852849988,0.8726768829475057,0.8630813296148337,0.8880278191753601,0.6692159422993222,0.8985504748444475,0.9010276364361968,0.8514144465806097,0.7402267796471407,0.8852303608670922,0.8769664012429598,0.6463245492371706,0.7286762630539091,0.8523303665422528,0.8653518601523981,0.5810955961331902,0.6523935942450972,0.868547197640118,0.921143963158246,0.8480911748206325,0.8459711418561843,0.8678020093114432,0.8768771405989286,0.865260736196319,0.8603395609860055,0.9202515064186534,0.6642235455794778,0.679509004569483,0.7232992802414674,0.8610738646300938,0.6419907988289418,0.7466078415050362,0.8124418467670382,0.9671660571743148,0.8937929280081405,0.8714819398606527,0.894168852849988,0.8726768829475057,0.8630813296148337,0.8880278191753601,0.6692159422993222,0.8985504748444475,0.9010276364361968,0.8514144465806097,0.7402267796471407,0.8852303608670922,0.8769664012429598,0.6463245492371706,0.7286762630539091,0.8523303665422528,0.8653518601523981,0.5810955961331902,0.6523935942450972,0.868547197640118,0.921143963158246,0.8480911748206325,0.8459711418561843,0.8678020093114432,0.8768771405989286,0.865260736196319,0.8603395609860055,0.9202515064186534,0.6642235455794778,0.679509004569483,0.7232992802414674,0.8610738646300938,0.6419907988289418,0.7466078415050362,0.8124418467670382,0.9671660571743148
23,xlm-roberta-base,udpos,before_dico,1970,24544,392704,392704,0.11323695629835129,0,0.11323695629835129,0.8544263546171458,0.8560746699669967,0.8917839255902695,0.8693348549070753,0.8624029546996307,0.8879284649776453,0.6648324317602438,0.8941036556989952,0.8997306195749776,0.8526961457475053,0.7488640550165787,0.8888959110156102,0.8750242765585551,0.6625718248464434,0.7119390347163421,0.8514690400995311,0.8694755714926042,0.5509436857449747,0.6557334931917445,0.8709439528023599,0.9223786958553026,0.8337712952847737,0.8435366070898402,0.873192844890958,0.875120751734434,0.8488496932515337,0.8492576543297577,0.9188891799842809,0.6591846083371508,0.6757906997580861,0.7205711632226608,0.8623564391068618,0.6411543287327478,0.7294597519354034,0.8080202540158536,0.9679131768314262,0.8544263546171458,0.8560746699669967,0.8917839255902695,0.8693348549070753,0.8624029546996307,0.8879284649776453,0.6648324317602438,0.8941036556989952,0.8997306195749776,0.8526961457475053,0.7488640550165787,0.8888959110156102,0.8750242765585551,0.6625718248464434,0.7119390347163421,0.8514690400995311,0.8694755714926042,0.5509436857449747,0.6557334931917445,0.8709439528023599,0.9223786958553026,0.8337712952847737,0.8435366070898402,0.873192844890958,0.875120751734434,0.8488496932515337,0.8492576543297577,0.9188891799842809,0.6591846083371508,0.6757906997580861,0.7205711632226608,0.8623564391068618,0.6411543287327478,0.7294597519354034,0.8080202540158536,0.9679131768314262
17,xlm-roberta-base,udpos,before_dico,1970,24544,392704,392704,0.0537194088101387,0,0.0537194088101387,0.8857796998219283,0.8776929776310964,0.8898163606010017,0.8727583958265406,0.8567121429109822,0.8897168405365127,0.680905303736865,0.8996535617642496,0.903422129103063,0.8474777991394306,0.7405542592820009,0.881817607280541,0.8800738007380073,0.6624397331748233,0.7183460344340954,0.8489807637094459,0.8679515912147019,0.5079024090839344,0.6478547572150382,0.8678097345132744,0.9247480477874925,0.8603147420945407,0.8423193397066683,0.875520705709385,0.8795117238956704,0.8724693251533743,0.8680116502095617,0.9237097196751376,0.6587265231333028,0.6821073380521459,0.724286045971674,0.8655628752987815,0.6357172731074864,0.7416132523099975,0.811243660700669,0.9676379222209115,0.8857796998219283,0.8776929776310964,0.8898163606010017,0.8727583958265406,0.8567121429109822,0.8897168405365127,0.680905303736865,0.8996535617642496,0.903422129103063,0.8474777991394306,0.7405542592820009,0.881817607280541,0.8800738007380073,0.6624397331748233,0.7183460344340954,0.8489807637094459,0.8679515912147019,0.5079024090839344,0.6478547572150382,0.8678097345132744,0.9247480477874925,0.8603147420945407,0.8423193397066683,0.875520705709385,0.8795117238956704,0.8724693251533743,0.8680116502095617,0.9237097196751376,0.6587265231333028,0.6821073380521459,0.724286045971674,0.8655628752987815,0.6357172731074864,0.7416132523099975,0.811243660700669,0.9676379222209115
