seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_bg_accuracy,eval_cs_accuracy,eval_de_accuracy,eval_es_accuracy,eval_lv_accuracy,eval_af_accuracy,eval_ar_accuracy,eval_ca_accuracy,eval_da_accuracy,eval_el_accuracy,eval_fa_accuracy,eval_fi_accuracy,eval_fr_accuracy,eval_he_accuracy,eval_hi_accuracy,eval_hu_accuracy,eval_it_accuracy,eval_ja_accuracy,eval_ko_accuracy,eval_lt_accuracy,eval_no_accuracy,eval_pl_accuracy,eval_pt_accuracy,eval_ro_accuracy,eval_ru_accuracy,eval_sk_accuracy,eval_sl_accuracy,eval_sv_accuracy,eval_ta_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_uk_accuracy,eval_vi_accuracy,eval_zh_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_bg_accuracy,final_eval_cs_accuracy,final_eval_de_accuracy,final_eval_es_accuracy,final_eval_lv_accuracy,final_eval_af_accuracy,final_eval_ar_accuracy,final_eval_ca_accuracy,final_eval_da_accuracy,final_eval_el_accuracy,final_eval_fa_accuracy,final_eval_fi_accuracy,final_eval_fr_accuracy,final_eval_he_accuracy,final_eval_hi_accuracy,final_eval_hu_accuracy,final_eval_it_accuracy,final_eval_ja_accuracy,final_eval_ko_accuracy,final_eval_lt_accuracy,final_eval_no_accuracy,final_eval_pl_accuracy,final_eval_pt_accuracy,final_eval_ro_accuracy,final_eval_ru_accuracy,final_eval_sk_accuracy,final_eval_sl_accuracy,final_eval_sv_accuracy,final_eval_ta_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_uk_accuracy,final_eval_vi_accuracy,final_eval_zh_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,distilbert-base-multilingual-cased,udpos,before_realign_only_0_1_dico,1965,1965,19782,31430,0.06693819910287857,0,0.06693819910287857,0.8792928008140423,0.8560853472675811,0.8895182446935368,0.8585751548744701,0.7620680559219203,0.857625434674615,0.6708896134140662,0.8840267484747165,0.880674448767834,0.795976223136717,0.7219288550493266,0.8406117676799596,0.8677413089920373,0.6429609086106709,0.70575783234547,0.8176859029572208,0.860229514075668,0.5588799386267741,0.6205360966001542,0.7643805309734514,0.9029233130881665,0.8380724599167331,0.8383754416174332,0.8386010045326473,0.8555877447107365,0.8543711656441718,0.8418099161812758,0.9032224259889966,0.5455377574370709,0.5436193545499306,0.7015904341769212,0.853345768244346,0.5755750731911334,0.6774059274059274,0.7795730151363449,0.9596948606032009,0.8792928008140423,0.8560853472675811,0.8895182446935368,0.8585751548744701,0.7620680559219203,0.857625434674615,0.6708896134140662,0.8840267484747165,0.880674448767834,0.795976223136717,0.7219288550493266,0.8406117676799596,0.8677413089920373,0.6429609086106709,0.70575783234547,0.8176859029572208,0.860229514075668,0.5588799386267741,0.6205360966001542,0.7643805309734514,0.9029233130881665,0.8380724599167331,0.8383754416174332,0.8386010045326473,0.8555877447107365,0.8543711656441718,0.8418099161812758,0.9032224259889966,0.5455377574370709,0.5436193545499306,0.7015904341769212,0.853345768244346,0.5755750731911334,0.6774059274059274,0.7795730151363449,0.9596948606032009
42,distilbert-base-multilingual-cased,udpos,before_realign_only_0_1_dico,1965,1965,19782,31430,0.06282605230808258,0,0.06282605230808258,0.8727423047570593,0.8516392221572874,0.8893989983305509,0.8579230518421911,0.7650827147002298,0.85424739195231,0.6680018630647415,0.884181862052325,0.8830689414347002,0.8002743484224966,0.7215604404601089,0.843961322126019,0.8667702466498349,0.6547807712625462,0.6434377646062659,0.8252464350655565,0.8600502062040524,0.5208285385500575,0.6220775884216837,0.7662241887905604,0.898718547687379,0.8334366787728468,0.8396817385624796,0.8291681979664339,0.8486524449126503,0.8456288343558283,0.8366955533456457,0.9021744825779408,0.5505720823798627,0.5488116019873774,0.7068725330856744,0.8476917696432735,0.578586365537432,0.6788211788211789,0.7763826532496054,0.9598521489520664,0.8727423047570593,0.8516392221572874,0.8893989983305509,0.8579230518421911,0.7650827147002298,0.85424739195231,0.6680018630647415,0.884181862052325,0.8830689414347002,0.8002743484224966,0.7215604404601089,0.843961322126019,0.8667702466498349,0.6547807712625462,0.6434377646062659,0.8252464350655565,0.8600502062040524,0.5208285385500575,0.6220775884216837,0.7662241887905604,0.898718547687379,0.8334366787728468,0.8396817385624796,0.8291681979664339,0.8486524449126503,0.8456288343558283,0.8366955533456457,0.9021744825779408,0.5505720823798627,0.5488116019873774,0.7068725330856744,0.8476917696432735,0.578586365537432,0.6788211788211789,0.7763826532496054,0.9598521489520664
66,distilbert-base-multilingual-cased,udpos,before_realign_only_0_1_dico,1965,1965,19782,31430,0.04335847496986389,0,0.04335847496986389,0.8759857542610023,0.853816448371091,0.8882065347006917,0.8584121291164004,0.7624072050344801,0.8568306010928962,0.6601459400714175,0.8830615973251525,0.8829691709069141,0.8063100137174212,0.7155839371239101,0.839284585729634,0.868032627694698,0.6539223454833597,0.6340671747106972,0.8185472293999426,0.8573605881298189,0.5149213655542769,0.6231052496360366,0.7578355457227138,0.9013214976973903,0.8344701331679806,0.8387910815544933,0.8355996569888522,0.8485646563076112,0.8520705521472393,0.8403182270208837,0.9009693476552266,0.565675057208238,0.5544066962087641,0.7094845600185744,0.8497318722312893,0.579004600585529,0.6816516816516817,0.7765548724772443,0.9585151979867091,0.8759857542610023,0.853816448371091,0.8882065347006917,0.8584121291164004,0.7624072050344801,0.8568306010928962,0.6601459400714175,0.8830615973251525,0.8829691709069141,0.8063100137174212,0.7155839371239101,0.839284585729634,0.868032627694698,0.6539223454833597,0.6340671747106972,0.8185472293999426,0.8573605881298189,0.5149213655542769,0.6231052496360366,0.7578355457227138,0.9013214976973903,0.8344701331679806,0.8387910815544933,0.8355996569888522,0.8485646563076112,0.8520705521472393,0.8403182270208837,0.9009693476552266,0.565675057208238,0.5544066962087641,0.7094845600185744,0.8497318722312893,0.579004600585529,0.6816516816516817,0.7765548724772443,0.9585151979867091
23,distilbert-base-multilingual-cased,udpos,before_realign_only_0_1_dico,1965,1965,19782,31430,0.0340716727077961,0,0.0340716727077961,0.8791020096667514,0.8595288024109915,0.8884450274266635,0.8555591783501794,0.7658363793948072,0.8593144560357675,0.6682813227759664,0.8828547792216745,0.8859622867404968,0.805761316872428,0.7236071881779852,0.8441509195474941,0.8638570596232278,0.6461304807184364,0.6778436353372848,0.8229495645516317,0.8574502420656267,0.5256616800920598,0.6260169564100369,0.763089970501475,0.8989521457652005,0.8391649688487318,0.8416708725469821,0.8361509249050594,0.8448775348959705,0.8575153374233129,0.8415968177297911,0.8955200419177365,0.5661327231121281,0.5583456425406204,0.700139308103088,0.8508393564933551,0.5710581346716855,0.665001665001665,0.7784814332316563,0.9603633360858794,0.8791020096667514,0.8595288024109915,0.8884450274266635,0.8555591783501794,0.7658363793948072,0.8593144560357675,0.6682813227759664,0.8828547792216745,0.8859622867404968,0.805761316872428,0.7236071881779852,0.8441509195474941,0.8638570596232278,0.6461304807184364,0.6778436353372848,0.8229495645516317,0.8574502420656267,0.5256616800920598,0.6260169564100369,0.763089970501475,0.8989521457652005,0.8391649688487318,0.8416708725469821,0.8361509249050594,0.8448775348959705,0.8575153374233129,0.8415968177297911,0.8955200419177365,0.5661327231121281,0.5583456425406204,0.700139308103088,0.8508393564933551,0.5710581346716855,0.665001665001665,0.7784814332316563,0.9603633360858794
17,distilbert-base-multilingual-cased,udpos,before_realign_only_0_1_dico,1965,1965,19782,31430,0.038887869566679,0,0.038887869566679,0.8728694988552531,0.8462305338787858,0.8910088242308609,0.8554776654711445,0.7655725967517052,0.8575260804769002,0.6688402421984164,0.8835097032160215,0.8821710066846253,0.8069501600365798,0.7240574726759179,0.8450989066548695,0.8657020780734123,0.6537242472266244,0.6438329099633079,0.8152933295052158,0.85771920387305,0.5152282316839278,0.6004110644857412,0.7605088495575221,0.9029900553961155,0.8327575515989016,0.8392067214915536,0.8298419698640206,0.8445263804758142,0.8466257668711656,0.8356300610882228,0.9018077023840713,0.5556064073226544,0.5420974889217134,0.7058277223125146,0.848915831196083,0.5693851944792974,0.6647519147519148,0.7744618639309977,0.9607565569580433,0.8728694988552531,0.8462305338787858,0.8910088242308609,0.8554776654711445,0.7655725967517052,0.8575260804769002,0.6688402421984164,0.8835097032160215,0.8821710066846253,0.8069501600365798,0.7240574726759179,0.8450989066548695,0.8657020780734123,0.6537242472266244,0.6438329099633079,0.8152933295052158,0.85771920387305,0.5152282316839278,0.6004110644857412,0.7605088495575221,0.9029900553961155,0.8327575515989016,0.8392067214915536,0.8298419698640206,0.8445263804758142,0.8466257668711656,0.8356300610882228,0.9018077023840713,0.5556064073226544,0.5420974889217134,0.7058277223125146,0.848915831196083,0.5693851944792974,0.6647519147519148,0.7744618639309977,0.9607565569580433
31,distilbert-base-multilingual-cased,udpos,before_realign_only_1_2_dico,1965,1965,19782,31430,0.06939788907766342,0,0.06939788907766342,0.8773212922920377,0.8504990431663745,0.8872525637968042,0.8580860776002608,0.7554358066096394,0.856333830104322,0.6651141127154169,0.8833201199545,0.8834680235458445,0.7956104252400549,0.7275778787506652,0.8457940972002781,0.8669644591182754,0.6414421553090333,0.6944397403330511,0.8217054263565892,0.8597812443966291,0.5476026083621021,0.6124004453198596,0.760877581120944,0.9012213842354668,0.8354740602946822,0.8406020841373987,0.8371309567560946,0.8523395663242911,0.8486196319018405,0.839820997300753,0.9001833900969347,0.5322654462242563,0.5278635692225057,0.7002553981889946,0.851830263464677,0.5766624843161857,0.6713286713286714,0.7766654363260419,0.9597735047776336,0.8773212922920377,0.8504990431663745,0.8872525637968042,0.8580860776002608,0.7554358066096394,0.856333830104322,0.6651141127154169,0.8833201199545,0.8834680235458445,0.7956104252400549,0.7275778787506652,0.8457940972002781,0.8669644591182754,0.6414421553090333,0.6944397403330511,0.8217054263565892,0.8597812443966291,0.5476026083621021,0.6124004453198596,0.760877581120944,0.9012213842354668,0.8354740602946822,0.8406020841373987,0.8371309567560946,0.8523395663242911,0.8486196319018405,0.839820997300753,0.9001833900969347,0.5322654462242563,0.5278635692225057,0.7002553981889946,0.851830263464677,0.5766624843161857,0.6713286713286714,0.7766654363260419,0.9597735047776336
42,distilbert-base-multilingual-cased,udpos,before_realign_only_1_2_dico,1965,1965,19782,31430,0.061939239501953125,0,0.061939239501953125,0.8727423047570593,0.8513813927372317,0.8900548533269735,0.8583306162373655,0.7590533971436108,0.8596125186289121,0.6619158515758422,0.8842163317362379,0.8829691709069141,0.7931412894375858,0.7223791395472594,0.84661568602667,0.865993396776073,0.6554410987849973,0.6271521309624611,0.8235237821801129,0.8597812443966291,0.5188339087073264,0.6070052239445063,0.7643805309734514,0.898718547687379,0.8338205332624679,0.8392957871923522,0.8282494181060884,0.8469844614169081,0.844861963190184,0.8379741440545532,0.9019648938957296,0.5386727688787185,0.5410232308312072,0.702403064778268,0.8480415015155047,0.5776662484316186,0.6794039294039294,0.7742236576891802,0.9600880814753647,0.8727423047570593,0.8513813927372317,0.8900548533269735,0.8583306162373655,0.7590533971436108,0.8596125186289121,0.6619158515758422,0.8842163317362379,0.8829691709069141,0.7931412894375858,0.7223791395472594,0.84661568602667,0.865993396776073,0.6554410987849973,0.6271521309624611,0.8235237821801129,0.8597812443966291,0.5188339087073264,0.6070052239445063,0.7643805309734514,0.898718547687379,0.8338205332624679,0.8392957871923522,0.8282494181060884,0.8469844614169081,0.844861963190184,0.8379741440545532,0.9019648938957296,0.5386727688787185,0.5410232308312072,0.702403064778268,0.8480415015155047,0.5776662484316186,0.6794039294039294,0.7742236576891802,0.9600880814753647
66,distilbert-base-multilingual-cased,udpos,before_realign_only_1_2_dico,1965,1965,19782,31430,0.042410679161548615,0,0.042410679161548615,0.8768761129483592,0.8513928518225675,0.8871929406153113,0.8587381806325399,0.7566416701209632,0.8540486835568802,0.6575376494333178,0.88469890731102,0.8836675646014167,0.8021947873799725,0.7208645462360309,0.8431397332996271,0.8679355214604778,0.6545826730058109,0.6259949195596952,0.8154847353813762,0.8584364353595123,0.5106252397391637,0.6180525819988011,0.7565449852507374,0.8998197957685377,0.835237842147223,0.8387020158536947,0.835232145044714,0.8487402335176895,0.8496932515337423,0.8406733911066913,0.8987686664920095,0.5446224256292906,0.5533324381182579,0.709600650104481,0.8513056656563301,0.5806775407779172,0.6794039294039294,0.7750135503196498,0.9588297746844402,0.8768761129483592,0.8513928518225675,0.8871929406153113,0.8587381806325399,0.7566416701209632,0.8540486835568802,0.6575376494333178,0.88469890731102,0.8836675646014167,0.8021947873799725,0.7208645462360309,0.8431397332996271,0.8679355214604778,0.6545826730058109,0.6259949195596952,0.8154847353813762,0.8584364353595123,0.5106252397391637,0.6180525819988011,0.7565449852507374,0.8998197957685377,0.835237842147223,0.8387020158536947,0.835232145044714,0.8487402335176895,0.8496932515337423,0.8406733911066913,0.8987686664920095,0.5446224256292906,0.5533324381182579,0.709600650104481,0.8513056656563301,0.5806775407779172,0.6794039294039294,0.7750135503196498,0.9588297746844402
23,distilbert-base-multilingual-cased,udpos,before_realign_only_1_2_dico,1965,1965,19782,31430,0.032129909843206406,0,0.032129909843206406,0.8764309336046807,0.8569791559237742,0.889279751967565,0.85507010107597,0.7603346271243924,0.8598112270243418,0.664306784660767,0.8833201199545,0.8860620572682829,0.7981710105166895,0.7296655614228991,0.8451621057953612,0.8645368032627695,0.6437533016376122,0.6683883714366357,0.8222796439850704,0.8604088219472835,0.525891829689298,0.630983985612743,0.7575589970501475,0.8958486284455717,0.8386630052853811,0.841700561113915,0.8327208134264363,0.8432095514002282,0.8576687116564418,0.8405313254723682,0.8964107938171338,0.5432494279176201,0.5534219596258001,0.7048409565823078,0.849382140359058,0.577749895441238,0.6672494172494172,0.7770894817280499,0.9599307931264992,0.8764309336046807,0.8569791559237742,0.889279751967565,0.85507010107597,0.7603346271243924,0.8598112270243418,0.664306784660767,0.8833201199545,0.8860620572682829,0.7981710105166895,0.7296655614228991,0.8451621057953612,0.8645368032627695,0.6437533016376122,0.6683883714366357,0.8222796439850704,0.8604088219472835,0.525891829689298,0.630983985612743,0.7575589970501475,0.8958486284455717,0.8386630052853811,0.841700561113915,0.8327208134264363,0.8432095514002282,0.8576687116564418,0.8405313254723682,0.8964107938171338,0.5432494279176201,0.5534219596258001,0.7048409565823078,0.849382140359058,0.577749895441238,0.6672494172494172,0.7770894817280499,0.9599307931264992
17,distilbert-base-multilingual-cased,udpos,before_realign_only_1_2_dico,1965,1965,19782,31430,0.03901933506131172,0,0.03901933506131172,0.8716611549224116,0.8433485739168299,0.8902337228714524,0.8532768177372024,0.7554734898443682,0.8599105812220567,0.6648036019251669,0.883699286477543,0.8812730719345505,0.8002743484224966,0.7279053583855254,0.8500284396132213,0.8646339094969897,0.650554675118859,0.642111205193339,0.8165374677002584,0.8578985117446656,0.5080935941695436,0.6134281065342125,0.7568215339233039,0.9011880130814923,0.8330528242832256,0.8395629842947481,0.8283719220874678,0.8425950311649548,0.8450920245398773,0.8358431595397073,0.8997642127325124,0.5308924485125858,0.530862539725169,0.7047248664964012,0.8479249242247611,0.5756587202007528,0.6699134199134199,0.7728651335867962,0.9604419802603122,0.8716611549224116,0.8433485739168299,0.8902337228714524,0.8532768177372024,0.7554734898443682,0.8599105812220567,0.6648036019251669,0.883699286477543,0.8812730719345505,0.8002743484224966,0.7279053583855254,0.8500284396132213,0.8646339094969897,0.650554675118859,0.642111205193339,0.8165374677002584,0.8578985117446656,0.5080935941695436,0.6134281065342125,0.7568215339233039,0.9011880130814923,0.8330528242832256,0.8395629842947481,0.8283719220874678,0.8425950311649548,0.8450920245398773,0.8358431595397073,0.8997642127325124,0.5308924485125858,0.530862539725169,0.7047248664964012,0.8479249242247611,0.5756587202007528,0.6699134199134199,0.7728651335867962,0.9604419802603122
