method,afri_only,afri_only,least_family_en_20,least_family_en_20,least_family_en_5,least_family_en_5,least_same_script_10,least_same_script_10,least_same_script_20,least_same_script_20,least_same_script_5,least_same_script_5,least_uriel_10,least_uriel_10,least_uriel_20,least_uriel_20,least_uriel_40,least_uriel_40,least_uriel_5,least_uriel_5,least_uriel_en_10,least_uriel_en_10,least_uriel_en_20,least_uriel_en_20,least_uriel_en_40,least_uriel_en_40,least_uriel_en_5,least_uriel_en_5,most_distinct_script_10,most_distinct_script_10,most_distinct_script_18,most_distinct_script_18,most_distinct_script_5,most_distinct_script_5,most_family_en_10,most_family_en_10,most_family_en_20,most_family_en_20,most_family_en_25,most_family_en_25,most_family_en_5,most_family_en_5,most_same_script_10,most_same_script_10,most_same_script_20,most_same_script_20,most_same_script_41,most_same_script_41,most_same_script_5,most_same_script_5,most_uriel_10,most_uriel_10,most_uriel_20,most_uriel_20,most_uriel_40,most_uriel_40,most_uriel_5,most_uriel_5,most_uriel_en_10,most_uriel_en_10,most_uriel_en_20,most_uriel_en_20,most_uriel_en_40,most_uriel_en_40,most_uriel_en_5,most_uriel_en_5,random_langs_with_seed_10,random_langs_with_seed_10,random_langs_with_seed_20,random_langs_with_seed_20,random_langs_with_seed_40,random_langs_with_seed_40,random_langs_with_seed_5,random_langs_with_seed_5,xt_afri,xt_afri,xt_only,xt_only
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
af,0.9218171724648407,0.0030095218296244224,0.9243153219837158,0.0023787861088421856,0.9228657784357267,0.002992882690342468,0.9222181100419443,0.0029900209691873614,0.9193498642980509,0.0021146014947474147,0.9213853935356527,0.003392408538475655,0.9225573649148778,0.004955870370407774,0.9219096965210954,0.0031129910883162634,0.9219096965210954,0.0031129910883162634,0.9199666913397483,0.003410863913983532,0.924037749814952,0.0016654330125832478,0.9244386873920553,0.00286725068896524,0.9221872686898593,0.004813919148530193,0.9224339995065384,0.0033119649046777205,0.9221564273377746,0.003567079370003907,0.9207068837897854,0.004063691942264569,0.9226498889711324,0.002967989439738152,0.9190106094251171,0.0006498676136721411,0.9226807303232173,0.0026321969273811817,0.9226190476190476,0.0019786596264921895,0.9147545028374044,0.0037105876559079157,0.9175302245250432,0.003081666912607073,0.9184554650875895,0.0030128386302544093,0.9176227485812979,0.0035981430568473704,0.9185171477917592,0.0013545639807548806,0.9204601529731063,0.001115417056502879,0.9219096965210954,0.0031129910883162634,0.9219096965210954,0.0031129910883162634,0.9160498396249692,0.004197710828033575,0.9205218356772761,0.0013052124333516948,0.9233283987169997,0.0008344281555926505,0.9207068837897854,0.0035438042195050294,0.9198433259314088,0.002399092459547775,0.9219713792252652,0.0027358556666229297,0.9189489267209474,0.009055548285060729,0.9231433506044905,0.001901438766567893,0.9178077966938071,0.0030495532193394316,0.9206452010856158,0.003289920912888047,0.9224956822107081,0.0033949310882393736
af_f1,0.7658221066034949,0.004985655023979581,0.7727614354672451,0.007567554318751305,0.7685764462466924,0.00843388971789949,0.7683352965624675,0.007372153917283117,0.7591314427226211,0.0037981800749714153,0.7683991445691114,0.002146742202709684,0.7742218784006827,0.010663295279035093,0.7683639559103138,0.006806181235425373,0.7683639559103138,0.006806181235425373,0.7603980373322372,0.012475437810970482,0.7749610340258801,0.0028452677410626234,0.773864396686185,0.006878612571373352,0.7703778151650008,0.012705070931834239,0.7681888581944337,0.010802357048125603,0.7636011284177145,0.01151295167780033,0.7623002202796902,0.00824492752328462,0.7683480453482603,0.010577132030128208,0.7597941704528139,0.001002517894616708,0.7645992025829274,0.011543871462128864,0.7659405300054365,0.004279757447230105,0.7506687659324126,0.007254619919934752,0.7537882730643085,0.006537386172754667,0.7580861070062994,0.007557534153565175,0.7532683668153126,0.00809951842961837,0.7551238701990738,0.001958532529323395,0.760721919162738,0.002477492567447903,0.7683639559103138,0.006806181235425373,0.7683639559103138,0.006806181235425373,0.7527711225621213,0.00970498672990617,0.764957519110343,0.0033093613282712936,0.7697317565453877,0.002772304160050716,0.7620263020674285,0.004517745363812822,0.7590796303709504,0.0061755129152997,0.7688998110054476,0.006926932430295757,0.7584200743966125,0.01865002053906359,0.7657925133131384,0.003213778825474968,0.759021450939434,0.007192331653635976,0.7630859314881598,0.005395413979097971,0.7617833512432162,0.012108949076079345
af_precision,0.7227331095659885,0.007214335628729743,0.7266306943373776,0.008437681329970515,0.717481059611274,0.013724503009275113,0.7201003982490329,0.01212034366727635,0.7102139807853786,0.0036024518001271143,0.7181043734605851,0.0029793977752456385,0.7266233493983417,0.012610184829601613,0.7207971143112651,0.00936056784182093,0.7207971143112651,0.00936056784182093,0.7122697238823011,0.013616072648814875,0.726897705959208,0.003758783957729001,0.7271912822244174,0.006939086350335127,0.7217506811770651,0.013676918237261946,0.7222145393493734,0.011330494624397886,0.7153213841164313,0.011952311309251017,0.7156147557063383,0.009616496434926406,0.7197644667733504,0.01346221322039986,0.7115464684709364,0.0004583396018953223,0.7207361436790173,0.008232559041619337,0.7205112087549317,0.006648013918325017,0.7046051625796079,0.0052636273065734965,0.7066365483772378,0.014193700954078835,0.7082477237974537,0.009267153279328382,0.7032365636918287,0.007935882304844485,0.7081453748869723,0.0003623511999697498,0.7084419635262668,0.0037676392815271893,0.7207971143112651,0.00936056784182093,0.7207971143112651,0.00936056784182093,0.6976945460569425,0.010127877213997149,0.7146981002409524,0.0073487367138905585,0.7246072269450021,0.004803981563087014,0.7158558354818064,0.008736015989792558,0.7130441722037842,0.007431524280149392,0.7186734294202788,0.00831298820492263,0.7096748324806564,0.01980278245613323,0.7198706031582267,0.003430997606997189,0.7141676518128968,0.005694728440734519,0.7173796881021756,0.00917996515850912,0.7152419799961288,0.015125827985128544
af_recall,0.8143913920645595,0.002424715047386708,0.8251513113651647,0.006415193015581334,0.8276171262048869,0.00472344933999225,0.8235821564671598,0.0044776920769868354,0.8152880520062767,0.004323537664645968,0.8262721362923111,0.0010272530138883823,0.8285137861466039,0.00826375637353361,0.8226854965254428,0.004957037522415562,0.8226854965254428,0.004957037522415562,0.812373907195696,0.01331472082933644,0.8298587760591797,0.005862675108998873,0.826944631248599,0.007127600580849384,0.8260479713068819,0.011808623349980655,0.82044384667115,0.011491598850460706,0.818874691773145,0.010892204091689096,0.8155122169917058,0.006462019863438535,0.8240304864380184,0.009130424503212834,0.8150638870208473,0.0024247150473866194,0.8141672270791301,0.015776183196514585,0.8175297018605693,0.006027495924567903,0.8031831427930957,0.009799369197217765,0.8078906074871105,0.007438090124652301,0.815512216991706,0.00796653469801249,0.8110289172831204,0.012123575236933313,0.8087872674288277,0.004477692076986821,0.8213405066128671,0.001692408526175918,0.8226854965254428,0.004957037522415562,0.8226854965254428,0.004957037522415562,0.8173055368751401,0.009845411905849685,0.822909661510872,0.007407626828898629,0.8208921766420084,0.0061020657201597195,0.8146155570499888,0.0010272530138883157,0.811477247253979,0.004577578537696042,0.8267204662631696,0.008408428304645157,0.8143913920645596,0.01762655335854893,0.8179780318314279,0.003823968193058012,0.8099080923559739,0.010184099252724123,0.8150638870208473,0.003081759041664983,0.8148397220354181,0.008079274284214283
ar,0.6710698763475117,0.013192361440583389,0.6875689620339721,0.01628016952676761,0.7152677410498288,0.03552648639330908,0.682046819069524,0.023787996791610904,0.6854606016338498,0.005632576813610756,0.6817256437751565,0.03309197251476057,0.6790526364865496,0.008431291905971906,0.6795603006615174,0.031193971504796882,0.6795603006615174,0.031193971504796882,0.7040266057469656,0.00759427167326411,0.694852388870758,0.020924902909955048,0.6469299268031143,0.03195543487242556,0.6931480877119368,0.016973248810803202,0.6928942556244527,0.023051362017714804,0.7052336032241855,0.01562918198329945,0.6997995244533545,0.044693668861071366,0.7060831636802544,0.023692378518890746,0.6951683839184422,0.030546284236477525,0.668671422133122,0.04071664105991745,0.6836993177615117,0.019931421708769242,0.6727379157795493,0.03199065523004878,0.7034360576250641,0.024070539500916307,0.6872995892064381,0.05135162206831085,0.6579120497718102,0.016253008902938317,0.6510534031630586,0.016382360395106897,0.7171222693624669,0.028980419103075066,0.6795603006615174,0.031193971504796882,0.6795603006615174,0.031193971504796882,0.7000533565408386,0.015388427404865132,0.7159826150921308,0.05524588680150926,0.6970747146979139,0.01147702679510236,0.6500484353064894,0.03980174469243029,0.6930962852451034,0.022821577204432585,0.6580519164322606,0.009712755319198164,0.6842173424298466,0.030109037152450852,0.6820260980827907,0.01056439269021064,0.7309742489937371,0.018550749072826122,0.6480799415668174,0.04553025225127254,0.6804357623510032,0.009905231757869969
ar_f1,0.39772404840651676,0.03206007404464487,0.4196645352159818,0.0246282653228287,0.4639910815756121,0.04317984798727975,0.4229824492528876,0.015632260142964535,0.4282025702544307,0.031947733777913906,0.4359261389532274,0.03268509932411415,0.42009496848471817,0.030706779339888347,0.43782287554467675,0.037795823519848254,0.43782287554467675,0.037795823519848254,0.45462911464324346,0.018951701706532962,0.42558266729798677,0.040843797723880214,0.3801065487858333,0.02879426623864934,0.4328254250751689,0.04876370223413326,0.44571755490461157,0.04397433297740199,0.46115838390867453,0.024873943438384626,0.4641307169662367,0.046513840070256225,0.465953687199613,0.028137800099059463,0.4503720202901332,0.025661127389398297,0.4317944307569459,0.047732864964330476,0.4537329391711193,0.03154193429815634,0.4122272141592691,0.023878823670724397,0.45624086080716575,0.04233907289045954,0.4299526218695769,0.061524484358096904,0.39827505299346705,0.02392038943229011,0.402628345305409,0.023332707982337737,0.4687523444826704,0.0392586087675855,0.43782287554467675,0.037795823519848254,0.43782287554467675,0.037795823519848254,0.4400954285616838,0.012191381116933884,0.4828501331515216,0.06761773131210878,0.44426935200742285,0.02231434114301775,0.38163234180946565,0.044305575505147944,0.44822154666844977,0.032316747955006365,0.39925656708356533,0.021496833101837785,0.4434167747700757,0.03242130223334757,0.39404749380517773,0.017385277008617285,0.4802745161939461,0.01677822384848118,0.40807296684101163,0.05729513950015329,0.410471873490223,0.02563276715808948
ar_precision,0.3865274400926693,0.02114737766600165,0.39484471825685596,0.013558556046650709,0.4352462658201459,0.03933525146183573,0.4055877768454816,0.018627465795209342,0.4154334623352017,0.03000245669432682,0.4174730370670767,0.03119796740004384,0.4073208739365169,0.033384505600317055,0.41544367665667803,0.027768419699005557,0.41544367665667803,0.027768419699005557,0.4282492818826504,0.0254001572869745,0.4084150053375038,0.04448157862470185,0.3702495693604499,0.024474078375424892,0.41069977046681466,0.03773586162257169,0.4268937408074532,0.03238817670740198,0.4333601400078854,0.03743912849094803,0.4461540106658304,0.03794235062251459,0.4363467902683397,0.021503856732646348,0.4189189156909041,0.02686261890724713,0.41377015354358543,0.053510078164862994,0.42866630749453477,0.039260094870312616,0.3941609409394548,0.0194100118276809,0.4316803421584632,0.02731060998234557,0.41653862110803147,0.05647436688785876,0.3818237248018548,0.021641514940369803,0.39005630614910425,0.02242849456743112,0.4411498798819071,0.04400326299910396,0.41544367665667803,0.027768419699005557,0.41544367665667803,0.027768419699005557,0.41317079812568713,0.011078243083734899,0.4544141328931593,0.05975175394443908,0.41668159628085744,0.01237107219741462,0.3698094811937023,0.03951085691853773,0.4262217743057324,0.02740750139891712,0.384781419862622,0.021193414847490266,0.42477388723238424,0.03356151564869403,0.37842909653128637,0.017243756650859275,0.46009232049903376,0.02798514226154628,0.395253578479541,0.04394871574191292,0.3912072772309894,0.014596414873408325
ar_recall,0.4099831246114219,0.04456239576940468,0.4485596707818929,0.04185613685441685,0.4969357847055689,0.0487561375318808,0.44210557479941964,0.01507951417776284,0.4418095153506824,0.03429810060843155,0.4561980045593155,0.035293924752026494,0.43399354590401745,0.030763597008789462,0.463066583770021,0.05054431964460747,0.463066583770021,0.05054431964460747,0.4847677413624656,0.011770625210964909,0.4444444444444444,0.03718371136900447,0.3906208366640021,0.034044352189206255,0.4577967255824969,0.061886998446228754,0.46664890309974244,0.057613617527965365,0.4936791307694585,0.009435754159910688,0.4837907451816325,0.056314079362685024,0.5005773159250377,0.041862136038854365,0.48704739911774286,0.02478038808739931,0.45184593066287704,0.04116563712466619,0.4823400538828197,0.02313109271008293,0.4322764011013411,0.031501796595176476,0.48447168191372825,0.06124003115329352,0.4444148384995707,0.06754421624196452,0.41649643248364265,0.029954179585771543,0.4160819492554105,0.024840481627585374,0.5002812564763005,0.03346645322711941,0.463066583770021,0.05054431964460747,0.463066583770021,0.05054431964460747,0.47079373538206476,0.01400573988648155,0.5151434408029132,0.07713418584471841,0.4763892589631998,0.03751040501607785,0.39429197382834474,0.04974134437725772,0.4727181217988572,0.0388043821783649,0.4149569233502087,0.02308375350935526,0.4638955502264855,0.03206459145000288,0.4110489386268763,0.018124279714912556,0.50297539745981,0.010002954596536906,0.4222991976788939,0.0723607752769979,0.43215797732184624,0.0392972833927356
