seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_th_accuracy,eval_ru_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_th_accuracy,final_eval_ru_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.557044267654419,0,0.557044267654419,0.7059880239520958,0.6954091816367265,0.745309381237525,0.715568862275449,0.8215568862275449,0.7059880239520958,0.6954091816367265,0.745309381237525,0.715568862275449,0.8215568862275449
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.12080785632133484,0,0.12080785632133484,0.6868263473053893,0.6750499001996008,0.7237524950099801,0.6952095808383234,0.8119760479041916,0.6868263473053893,0.6750499001996008,0.7237524950099801,0.6952095808383234,0.8119760479041916
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.698828399181366,0,0.698828399181366,0.6832335329341317,0.6778443113772455,0.7173652694610778,0.692814371257485,0.805189620758483,0.6832335329341317,0.6778443113772455,0.7173652694610778,0.692814371257485,0.805189620758483
