seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_bg_accuracy,eval_de_accuracy,eval_el_accuracy,eval_es_accuracy,eval_fr_accuracy,eval_hi_accuracy,eval_ru_accuracy,eval_th_accuracy,eval_tr_accuracy,eval_vi_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_bg_accuracy,final_eval_de_accuracy,final_eval_el_accuracy,final_eval_es_accuracy,final_eval_fr_accuracy,final_eval_hi_accuracy,final_eval_ru_accuracy,final_eval_th_accuracy,final_eval_tr_accuracy,final_eval_vi_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.5820757746696472,0,0.5820757746696472,0.7069860279441118,0.7562874251497006,0.7495009980039921,0.7357285429141717,0.767065868263473,0.7622754491017965,0.6790419161676646,0.7389221556886227,0.6960079840319361,0.7089820359281437,0.7337325349301397,0.7304119034657958,0.8197604790419162,0.7069860279441118,0.7562874251497006,0.7495009980039921,0.7357285429141717,0.767065868263473,0.7622754491017965,0.6790419161676646,0.7389221556886227,0.6960079840319361,0.7089820359281437,0.7337325349301397,0.7304119034657958,0.8197604790419162
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.1856357753276825,0,0.1856357753276825,0.691816367265469,0.7473053892215569,0.7327345309381238,0.7289421157684631,0.7636726546906187,0.7520958083832335,0.6692614770459082,0.7305389221556886,0.6934131736526946,0.6990019960079841,0.7221556886227545,0.7209943748865905,0.8115768463073852,0.691816367265469,0.7473053892215569,0.7327345309381238,0.7289421157684631,0.7636726546906187,0.7520958083832335,0.6692614770459082,0.7305389221556886,0.6934131736526946,0.6990019960079841,0.7221556886227545,0.7209943748865905,0.8115768463073852
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.723770260810852,0,0.723770260810852,0.6864271457085829,0.7457085828343314,0.7355289421157685,0.7253493013972055,0.7620758483033933,0.7558882235528942,0.6702594810379241,0.731936127744511,0.6932135728542914,0.7035928143712575,0.7291417165668662,0.7217383414988205,0.8105788423153693,0.6864271457085829,0.7457085828343314,0.7355289421157685,0.7253493013972055,0.7620758483033933,0.7558882235528942,0.6702594810379241,0.731936127744511,0.6932135728542914,0.7035928143712575,0.7291417165668662,0.7217383414988205,0.8105788423153693
