seed,model,task,method,finetuning_steps,realignment_steps,distinct_realignment_samples,repeated_realignment_samples,train_loss,realignment_loss,task_loss,eval_ar_accuracy,eval_th_accuracy,eval_ru_accuracy,eval_avg_accuracy,eval_same_accuracy,final_eval_ar_accuracy,final_eval_th_accuracy,final_eval_ru_accuracy,final_eval_avg_accuracy,final_eval_same_accuracy
31,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.54708331823349,0,0.54708331823349,0.7055888223552894,0.6990019960079841,0.7437125748502994,0.7161011310711909,0.8121756487025948,0.7055888223552894,0.6990019960079841,0.7437125748502994,0.7161011310711909,0.8121756487025948
42,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.1942986398935318,0,0.1942986398935318,0.6980039920159681,0.7019960079840319,0.7311377245508982,0.7103792415169661,0.8217564870259481,0.6980039920159681,0.7019960079840319,0.7311377245508982,0.7103792415169661,0.8217564870259481
66,xlm-roberta-base,xnli,before_oneatatime_bottomup_13_dico,24544,24544,392704,392704,0.7183699011802673,0,0.7183699011802673,0.6858283433133733,0.688622754491018,0.7255489021956087,0.7000000000000001,0.8101796407185629,0.6858283433133733,0.688622754491018,0.7255489021956087,0.7000000000000001,0.8101796407185629
